facts,exp_length,new_ranks,original_score,new_scores,exp,new_score,new_rank,prediction,original_rank
"[({(32701, 1, 1049), (1049, 1, 32701)}, 4.206099247179424, 'baseline'), ({(32701, 1, 1049)}, 0.7181826091953801, 'baseline'), ({(1049, 1, 32701)}, 0.7174315906230033, 'baseline')]",4,[221],6.671388,[0.7022148],"[(1048, 1, 1049), (32701, 1, 1049), (1049, 1, 32701), (1048, 0, 522)]",0.7022148,221.0,"(32701, 0, 522)",1
"[({(3103, 1, 3104)}, 8.067532968206326, 'baseline')]",1,[12529],9.955729,[-2.1211972],"[(3103, 1, 3104)]",-2.1211972,12529.0,"(3104, 1, 3103)",1
"[({(17169, 3, 17011)}, 2.28702604788479, 'baseline'), ({(17169, 3, 17011)}, 2.2854892015958, 'baseline'), ({(17169, 3, 17011)}, 2.2212649524967873, 'baseline'), ({(17169, 3, 17011)}, 2.0170832645248193, 'baseline'), ({(17169, 3, 17011)}, 1.8733445080448234, 'baseline'), ({(17169, 3, 17011)}, 1.843274678060478, 'baseline'), ({(17169, 3, 17011)}, 1.8423753631873332, 'baseline')]",1,[6275],8.8337755,[-0.045025244],"[(17169, 3, 17011)]",-0.045025244,6275.0,"(17011, 3, 17169)",1
"[({(23647, 0, 14302)}, 8.395473880489597, 'baseline')]",2,[144],7.0427074,[0.042897657],"[(14302, 0, 1338), (23647, 0, 14302)]",0.042897657,144.0,"(23647, 0, 1338)",1
"[({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.7266318147581137, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.429979935721279, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.3748937937077312, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.32370865739106, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.296191335906294, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.2326093862975136, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.228551501659603, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.4128142038413296, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.3709011697012683, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.3591204304678723, 'baseline')]",5,[5234],9.360676,[-0.52961886],"[(4765, 1, 29462), (21665, 1, 29462), (4764, 1, 4765), (29462, 1, 4765), (4764, 1, 21665)]",-0.52961886,5234.0,"(4765, 1, 4764)",1
"[({(19068, 1, 8742)}, 1.306679785288654, 'baseline'), ({(19068, 1, 8742)}, 1.2904081935244416, 'baseline'), ({(19068, 1, 8742)}, 1.1875978074974796, 'baseline'), ({(8742, 1, 1897), (19068, 1, 8742)}, 1.1675453738529276, 'baseline'), ({(19068, 1, 8742)}, 1.159036691336243, 'baseline'), ({(19068, 1, 8742)}, 1.1563778472593063, 'baseline'), ({(19068, 1, 8742)}, 1.1464734624134982, 'baseline'), ({(19068, 1, 8742)}, 1.1334777421023068, 'baseline'), ({(8742, 1, 1897)}, -0.18594737788207424, 'baseline'), ({(8742, 1, 1897)}, -0.21638198622571014, 'baseline')]",1,[15],8.114485,[4.4830327],"[(19068, 1, 8742)]",4.4830327,15.0,"(8742, 1, 19068)",1
"[({(28087, 1, 13806)}, 6.260065559268487, 'baseline'), ({(28087, 1, 13806)}, 4.412908922901865, 'baseline'), ({(28087, 1, 13806)}, 3.249389926650838, 'baseline'), ({(28087, 1, 13806)}, 2.6461559959756302, 'baseline'), ({(28087, 1, 13806)}, 2.392315994848119, 'baseline')]",1,[11559],9.769687,[-1.0609441],"[(28087, 1, 13806)]",-1.0609441,11559.0,"(13806, 1, 28087)",1
"[({(5796, 0, 3210), (8242, 0, 3210), (135, 0, 3210), (3210, 0, 14885)}, 1.2791300407099493, 'baseline'), ({(135, 0, 3210), (13794, 1, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.222811755797619, 'baseline'), ({(135, 0, 3210), (3210, 1, 13794), (8242, 0, 3210), (3210, 0, 14885)}, 1.2206678958605786, 'baseline'), ({(5796, 0, 3210), (13794, 1, 3210), (135, 0, 3210), (3210, 0, 14885)}, 1.1960650051629182, 'baseline'), ({(5796, 0, 3210), (3210, 1, 13794), (135, 0, 3210), (3210, 0, 14885)}, 1.1934385860246424, 'baseline'), ({(135, 0, 3210), (13794, 1, 3210), (3210, 1, 13794), (3210, 0, 14885)}, 1.19084506864138, 'baseline'), ({(135, 0, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.1186733784638605, 'baseline'), ({(135, 0, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.1163592876443347, 'baseline'), ({(135, 0, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.0967078741716754, 'baseline'), ({(135, 0, 3210), (3210, 0, 14885)}, 0.9090877067754906, 'baseline')]",12,[16],6.574163,[1.6124837],"[(13794, 1, 3210), (553, 1, 13794), (5796, 5, 1819), (3210, 0, 14885), (5796, 0, 3210), (8242, 5, 1819), (553, 0, 1819), (14885, 5, 1819), (135, 0, 3210), (8242, 0, 3210), (135, 5, 1819), (3210, 1, 13794)]",1.6124837,16.0,"(3210, 5, 1819)",1
"[({(11480, 2, 8721)}, 5.760177944211675, 'baseline')]",3,[516],5.108136,[-1.3468949],"[(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)]",-1.3468949,516.0,"(11480, 2, 1534)",1
"[({(26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)}, 3.1174252111610437, 'baseline'), ({(26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)}, 3.115998990875246, 'baseline'), ({(26647, 9, 12197), (3407, 1, 26647)}, 2.1450530164218886, 'baseline'), ({(12197, 9, 26647), (3407, 1, 26647)}, 2.14275704526866, 'baseline'), ({(3407, 1, 26647)}, 2.057930569076419, 'baseline'), ({(26647, 9, 12197), (3407, 1, 26647)}, 1.9861145962478655, 'baseline'), ({(12197, 9, 26647), (3407, 1, 26647)}, 1.9750333766689994, 'baseline'), ({(3407, 1, 26647)}, 1.9725204446279165, 'baseline'), ({(3407, 1, 26647)}, 1.8312359696953242, 'baseline'), ({(26647, 9, 12197), (3407, 1, 26647)}, 1.7675314752725815, 'baseline')]",4,[7610],8.59272,[-1.0076916],"[(12197, 1, 3407), (26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)]",-1.0076916,7610.0,"(26647, 1, 3407)",1
"[({(12274, 0, 9960), (9268, 1, 12274)}, 11.26221105432825, 'baseline'), ({(9268, 1, 12274)}, 2.9948713599899945, 'baseline'), ({(12274, 0, 9960)}, -0.3005246707091229, 'baseline')]",4,[11366],10.34638,[-2.1447468],"[(9960, 1, 469), (9268, 1, 12274), (9268, 0, 469), (12274, 0, 9960)]",-2.1447468,11366.0,"(12274, 1, 9268)",1
"[({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 4.9247984547742965, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 3.581492803404015, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 2.969454027066804, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578)}, 2.747566399714784, 'baseline'), ({(8885, 1, 17578)}, 2.7431375356365963, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 2.7421814769084367, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578)}, 2.643027943655908, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 2.640255135359894, 'baseline'), ({(8885, 1, 17578)}, 2.5304004224798526, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 1.8903990669657877, 'baseline')]",5,[1246],9.063567,[0.10856491],"[(8885, 1, 17578), (3300, 1, 17578), (26393, 1, 3300), (8885, 1, 26393), (17578, 1, 3300)]",0.10856491,1246.0,"(17578, 1, 8885)",1
"[({(34834, 1, 3152)}, 2.2406159598018656, 'baseline'), ({(34834, 1, 3152)}, 2.2369033052820178, 'baseline'), ({(34834, 1, 3152)}, 2.233603591932262, 'baseline'), ({(34834, 1, 3152)}, 1.4727593127271157, 'baseline'), ({(34834, 1, 3152)}, 1.4678612412131657, 'baseline'), ({(34834, 1, 3152)}, 1.4659500778196948, 'baseline'), ({(34834, 1, 3152)}, 1.3031225799478705, 'baseline'), ({(34834, 1, 3152)}, 1.1460810253818279, 'baseline'), ({(34834, 1, 3152)}, 1.1437254497394416, 'baseline'), ({(34834, 1, 3152)}, 1.1425600597005152, 'baseline')]",1,[24448],9.688642,[-1.7921563],"[(34834, 1, 3152)]",-1.7921563,24448.0,"(3152, 1, 34834)",1
"[({(16415, 4, 36104)}, 8.290613955810413, 'baseline')]",3,[14],7.7996135,[1.8609489],"[(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)]",1.8609489,14.0,"(36104, 0, 81)",1
"[({(1620, 6, 25305)}, 7.878408633620579, 'baseline')]",3,[127],7.398238,[0.16852592],"[(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",0.16852592,127.0,"(25305, 0, 2099)",1
"[({(24859, 1, 24512)}, 11.111385430382114, 'baseline'), ({(24859, 1, 24512)}, 5.277983261755385, 'baseline')]",1,[30501],10.221,[-3.292253],"[(24859, 1, 24512)]",-3.292253,30501.0,"(24512, 1, 24859)",1
"[({(3340, 1, 13731), (13731, 1, 11130), (13731, 1, 13730), (13730, 1, 13731)}, 1.175459917247279, 'baseline'), ({(3340, 1, 13731), (11130, 1, 13731), (13730, 1, 13731), (13731, 1, 11130)}, 1.1320477074068083, 'baseline'), ({(3340, 1, 13731), (11130, 1, 13731), (13731, 1, 13730), (13731, 1, 11130)}, 1.1206770482798964, 'baseline'), ({(3340, 1, 13731), (11130, 1, 13731), (13731, 1, 11130)}, 0.9656057858454711, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13730, 1, 13731)}, 0.5261707734232374, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13731, 1, 13730)}, 0.521060986406536, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130)}, 0.48509125179219775, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13731, 0, 586)}, 0.32900337514906336, 'baseline'), ({(13730, 1, 13731), (11130, 1, 13731), (13731, 1, 13730), (13731, 1, 11130)}, 0.22117332690695682, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13731, 0, 586), (13731, 1, 13730)}, 0.16054538935179644, 'baseline')]",9,[2740],9.419868,[-0.7428868],"[(11130, 1, 13731), (3340, 1, 13731), (25343, 1, 3340), (13730, 1, 13694), (13694, 1, 3340), (13731, 1, 11130), (13731, 1, 13730), (25343, 1, 11130), (13730, 1, 13731)]",-0.7428868,2740.0,"(13731, 1, 3340)",1
"[({(11202, 0, 21993), (19504, 1, 21993)}, 1.1761150915525693, 'baseline'), ({(11202, 0, 21993), (19504, 1, 21993)}, 1.1385317393257082, 'baseline'), ({(11202, 0, 21993), (19504, 1, 21993)}, 1.1378450937801872, 'baseline'), ({(19504, 1, 21993)}, 0.7220373608198155, 'baseline'), ({(11202, 0, 21993)}, 0.01338104433659458, 'baseline')]",4,[36806],8.579209,[-2.0156412],"[(11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245), (19504, 1, 21993)]",-2.0156412,36806.0,"(21993, 1, 19504)",1
"[({(14202, 0, 31982), (14201, 1, 14202)}, 11.215954638835232, 'baseline'), ({(14201, 1, 14202)}, 4.436533838854867, 'baseline'), ({(14202, 0, 31982)}, -0.6663808376867043, 'baseline')]",3,[1934],10.240109,[-1.1004446],"[(14202, 0, 31982), (14201, 1, 31982), (14201, 1, 14202)]",-1.1004446,1934.0,"(14202, 1, 14201)",1
