new_score,original_score,facts,#facts,prediction,new_ranks,new_scores,original_rank,new_rank
0.28798485,3.2678545,"[(5672, 26, 1098), (5672, 26, 1960), (5672, 26, 2948)]",3,"(5672, 26, 64)","[1, 1]","[0.26227802, 0.3136917]",1,1.0
0.796981,5.255939,"[(1253, 71, 11754), (11754, 43, 141), (11754, 100, 29)]",3,"(11754, 85, 434)","[1, 1]","[0.7120715, 0.8818905]",1,1.0
0.5139709,11.156679,"[(5981, 8, 2145), (2145, 6, 6714), (2145, 3, 6333)]",3,"(2145, 43, 141)","[2, 1]","[0.52817035, 0.49977148]",2,1.5
1.0848794,3.7750387,"[(3120, 148, 4558), (3120, 148, 7018), (3120, 148, 1264)]",3,"(3120, 148, 3021)","[3, 4]","[1.3636405, 0.80611825]",1,3.5
1.4058802,11.078495,"[(212, 92, 9475), (9475, 41, 1245), (139, 92, 9475)]",3,"(9475, 25, 62)","[1, 1]","[1.3794922, 1.4322684]",1,1.0
0.24976674,5.5329022,"[(5649, 77, 386), (2521, 8, 5649), (5649, 8, 1662)]",3,"(5649, 48, 32)","[1, 1]","[0.22732134, 0.27221215]",1,1.0
5.9671,12.986469,"[(13632, 83, 9277), (13632, 199, 9277), (13632, 46, 152)]",3,"(13632, 25, 62)","[1, 1]","[6.055341, 5.8788595]",1,1.0
2.2560544,9.799974,"[(11272, 124, 2846), (706, 89, 11272), (11272, 22, 6677)]",3,"(11272, 25, 62)","[1, 1]","[2.106081, 2.406028]",1,1.0
1.0697783,5.5377464,"[(8386, 85, 1665), (8386, 6, 2194), (8386, 6, 2490)]",3,"(8386, 85, 434)","[2, 1]","[1.5613952, 0.5781615]",1,1.5
0.11339378,1.2048147,"[(5649, 8, 80), (80, 8, 4656), (4602, 8, 80)]",3,"(80, 19, 559)","[2, 1]","[0.115736954, 0.11105062]",1,1.5
0.36269122,5.6463876,"[(2446, 19, 955), (2446, 85, 434), (9147, 71, 2446)]",3,"(2446, 48, 32)","[1, 1]","[0.31558785, 0.40979463]",1,1.0
1.6124475,9.008254,"[(595, 71, 11737), (11737, 17, 862), (11737, 19, 46)]",3,"(11737, 43, 141)","[2, 1]","[1.8290975, 1.3957975]",2,1.5
6.2867274,9.085274,"[(2899, 16, 32), (8796, 207, 2899), (2899, 46, 9740)]",3,"(2899, 25, 62)","[1, 1]","[6.323492, 6.249963]",1,1.0
0.3132276,5.3139343,"[(6597, 66, 592), (6597, 3, 5025), (5025, 3, 6597)]",3,"(6597, 48, 32)","[1, 1]","[0.2435163, 0.38293892]",1,1.0
5.5819645,8.62182,"[(12379, 25, 62), (12379, 127, 3796), (12379, 154, 2438)]",3,"(12379, 120, 791)","[1, 34]","[4.4950147, 6.668915]",1,17.5
0.3369636,3.7558599,"[(4551, 26, 342), (4551, 34, 90), (4551, 26, 990)]",3,"(4551, 26, 1098)","[3, 2]","[0.25557235, 0.41835484]",2,2.5
0.47976944,3.4511123,"[(5745, 35, 2792), (5745, 35, 7125), (5745, 35, 1551)]",3,"(5745, 35, 2589)","[12, 10]","[0.44182318, 0.5177157]",9,11.0
3.162159,9.557828,"[(6443, 21, 859), (6443, 25, 62), (6443, 24, 3765)]",3,"(6443, 43, 141)","[2, 1]","[2.1887152, 4.135603]",1,1.5
4.956753,12.060263,"[(8572, 120, 791), (4507, 15, 8572), (6490, 83, 8572)]",3,"(8572, 25, 62)","[1, 1]","[3.9753551, 5.938151]",1,1.0
0.017039023,0.2021465,"[(8630, 25, 62), (3389, 66, 8630), (32, 15, 8630)]",3,"(8630, 56, 8630)","[1, 1]","[0.013853275, 0.02022477]",1,1.0
0.31935653,4.6080956,"[(6404, 13, 1080), (6404, 13, 2394), (6404, 13, 68)]",3,"(6404, 13, 449)","[11, 12]","[0.2917201, 0.34699297]",6,11.5
6.5926595,13.831659,"[(3466, 15, 11326)]",1,"(11326, 25, 62)","[1, 1]","[6.701518, 6.483801]",1,1.0
0.017039021,0.2021465,"[(10156, 39, 6089), (6089, 120, 791), (6089, 133, 32)]",3,"(6089, 56, 6089)","[1, 1]","[0.013853273, 0.02022477]",1,1.0
1.4982907,3.695775,"[(9896, 213, 90), (9896, 166, 90), (236, 63, 9896)]",3,"(9896, 167, 1768)","[1, 2]","[1.1738511, 1.8227302]",1,1.5
0.4316272,3.9198654,"[(3785, 14, 160), (283, 6, 3785), (3785, 28, 32)]",3,"(3785, 14, 5334)","[4, 3]","[0.48932433, 0.37393007]",3,3.5
1.055872,3.145742,"[(6223, 16, 32), (6223, 101, 3232), (6223, 166, 90)]",3,"(6223, 167, 1768)","[1, 1]","[0.87683666, 1.2349072]",1,1.0
0.5620531,5.4018598,"[(3592, 26, 1881), (3592, 26, 64), (742, 32, 3592)]",3,"(3592, 26, 342)","[1, 3]","[0.4578332, 0.666273]",12,2.0
5.7303095,10.881088,"[(1014, 37, 6787), (6787, 120, 791), (6787, 154, 1437)]",3,"(6787, 25, 62)","[1, 1]","[6.084941, 5.375678]",1,1.0
0.21773508,5.030762,"[(1121, 7, 2789), (2789, 12, 2285), (1654, 7, 2789)]",3,"(2789, 11, 23)","[1, 1]","[0.2450124, 0.19045776]",3,1.0
0.41507325,5.0243015,"[(6491, 3, 2552), (2552, 3, 6491), (9203, 12, 2552)]",3,"(2552, 43, 141)","[2, 1]","[0.35519552, 0.47495097]",1,1.5
0.30323315,3.3159878,"[(7221, 13, 32), (7221, 28, 32), (7221, 31, 4)]",3,"(7221, 106, 592)","[3, 2]","[0.397028, 0.20943828]",3,2.5
0.6407644,6.757516,"[(1477, 17, 215), (1477, 6, 1525), (1477, 48, 32)]",3,"(1477, 60, 90)","[1, 1]","[0.47245434, 0.8090745]",1,1.0
6.831996,11.303192,"[(10456, 154, 2620), (6550, 226, 10456), (4358, 15, 10456)]",3,"(10456, 25, 62)","[2, 1]","[7.014308, 6.649684]",1,1.5
0.42876297,6.0524263,"[(848, 43, 141), (848, 6, 3893), (848, 38, 3430)]",3,"(848, 17, 862)","[1, 2]","[0.29678378, 0.56074214]",2,1.5
0.32041097,3.5137227,"[(4583, 31, 470), (4583, 31, 658), (3057, 6, 4583)]",3,"(4583, 11, 23)","[1, 1]","[0.38967723, 0.25114468]",1,1.0
1.9810554,4.4272175,"[(5481, 95, 2940), (5481, 68, 8919), (5481, 96, 4707)]",3,"(5481, 95, 521)","[3, 1]","[2.0865412, 1.8755696]",7,2.0
0.18966353,2.5623288,"[(8913, 13, 27), (8913, 13, 637), (8913, 13, 308)]",3,"(8913, 13, 4474)","[3, 5]","[0.15135664, 0.22797042]",2,4.0
1.006923,9.786621,"[(2181, 17, 393), (2181, 17, 215), (2181, 17, 862)]",3,"(2181, 17, 818)","[11, 12]","[0.85787034, 1.1559756]",60,11.5
0.5135418,5.5365562,"[(3196, 14, 160), (3333, 6, 3196), (1455, 38, 3196)]",3,"(3196, 11, 23)","[1, 1]","[0.76685846, 0.26022524]",4,1.0
3.1133678,6.379358,"[(12232, 120, 791), (32, 87, 12232), (9607, 58, 12232)]",3,"(12232, 33, 90)","[2, 2]","[3.197771, 3.0289645]",1,2.0
0.6499083,2.8489885,"[(9329, 30, 1121), (9329, 30, 467), (9329, 30, 1759)]",3,"(9329, 172, 2759)","[1, 1]","[0.51812685, 0.7816898]",1,1.0
0.41532636,5.4222198,"[(738, 14, 160), (2214, 6, 738), (738, 26, 1098)]",3,"(738, 115, 6114)","[1, 1]","[0.38984355, 0.4408092]",1,1.0
1.105968,3.1120298,"[(8753, 10, 1171), (8753, 10, 6209), (8753, 10, 5491)]",3,"(8753, 10, 2875)","[1, 2]","[0.98732644, 1.2246096]",1,1.5
0.37455696,6.4752617,"[(6021, 12, 5263), (5263, 85, 434), (2109, 8, 5263)]",3,"(5263, 48, 32)","[1, 1]","[0.31026956, 0.43884435]",1,1.0
0.38137326,4.163462,"[(148, 28, 32), (148, 11, 23), (148, 13, 32)]",3,"(148, 26, 1098)","[6, 10]","[0.33188853, 0.430858]",2,8.0
2.2421765,8.3503,"[(1927, 43, 141), (1927, 17, 862), (1927, 85, 434)]",3,"(1927, 212, 4563)","[2, 5139]","[1.4143519, 3.0700014]",2,2570.5
0.14254571,2.024353,"[(5819, 13, 449), (5819, 13, 1705), (5819, 13, 1682)]",3,"(5819, 13, 68)","[1, 1]","[0.11787876, 0.16721267]",3,1.0
0.45565858,3.294287,"[(8165, 34, 90), (2319, 38, 8165), (2319, 6, 8165)]",3,"(8165, 106, 592)","[4, 1]","[0.62716556, 0.2841516]",3,2.5
4.673712,7.7777796,"[(7935, 83, 8023), (1551, 15, 8023), (3039, 24, 8023)]",3,"(8023, 120, 791)","[1, 4]","[4.3762646, 4.971159]",1,2.5
0.25675058,5.6515408,"[(8848, 14, 160), (8848, 26, 1098), (8848, 28, 32)]",3,"(8848, 34, 90)","[1, 1]","[0.20497492, 0.30852622]",1,1.0
3.6331897,11.653254,"[(9092, 226, 10221), (10221, 76, 12756), (10221, 76, 3874)]",3,"(10221, 25, 62)","[1, 1]","[3.1236265, 4.1427526]",1,1.0
0.20583628,3.449703,"[(7664, 26, 1960), (7664, 34, 90), (2810, 6, 7664)]",3,"(7664, 26, 342)","[1, 1]","[0.16717464, 0.24449793]",6,1.0
2.278141,3.8528743,"[(8397, 95, 926), (8397, 95, 4288), (399, 130, 8397)]",3,"(8397, 80, 344)","[2, 3]","[2.0690901, 2.4871922]",1,2.5
0.83904195,5.7174397,"[(229, 66, 5302), (740, 37, 5302), (5302, 135, 32)]",3,"(5302, 122, 3325)","[839, 1573]","[0.8214959, 0.85658807]",338,1206.0
1.0587237,7.1802206,"[(4945, 17, 862), (4945, 17, 215), (4945, 17, 393)]",3,"(4945, 17, 871)","[2, 2]","[0.8094038, 1.3080436]",6,2.0
0.13726664,4.1493998,"[(552, 34, 90), (552, 28, 32), (281, 38, 552)]",3,"(552, 26, 64)","[1, 2]","[0.12374732, 0.15078595]",2,1.5
0.39888942,9.394058,"[(7366, 3, 9906), (7366, 8, 9906), (9906, 3, 7366)]",3,"(9906, 43, 141)","[2, 2]","[0.3281306, 0.46964824]",2,2.0
3.6050625,8.240005,"[(9530, 85, 434), (9530, 110, 494), (9530, 66, 592)]",3,"(9530, 48, 32)","[3, 5]","[2.9892757, 4.2208495]",1,4.0
6.6993313,15.6308975,"[(7155, 67, 911), (7155, 47, 996)]",2,"(7155, 25, 62)","[1, 1]","[6.3981533, 7.0005093]",3,1.0
0.24413419,2.8738413,"[(3861, 26, 990), (3861, 28, 32), (3861, 26, 1881)]",3,"(3861, 14, 160)","[2, 2]","[0.19589461, 0.29237378]",1,2.0
2.4500227,9.411259,"[(1392, 179, 98), (1392, 48, 382), (4784, 71, 1392)]",3,"(1392, 43, 141)","[2, 2]","[2.7333698, 2.1666758]",1,2.0
1.30353,7.8994675,"[(10238, 100, 160), (10238, 66, 592), (10238, 19, 77)]",3,"(10238, 85, 434)","[1, 1]","[0.9837111, 1.623349]",2,1.0
0.21790308,4.157199,"[(1897, 31, 4), (931, 7, 1897), (1121, 7, 1897)]",3,"(1897, 14, 160)","[1, 1]","[0.19298813, 0.24281803]",2,1.0
1.1024901,3.708118,"[(1432, 98, 556), (1432, 80, 4791), (1432, 98, 11218)]",3,"(1432, 98, 8236)","[1, 1]","[1.3534224, 0.8515577]",1,1.0
0.6792737,6.1907783,"[(8789, 43, 141), (2279, 71, 8789), (8789, 19, 1126)]",3,"(8789, 17, 862)","[5, 9]","[0.43437803, 0.9241694]",26,7.0
0.25146616,4.5881968,"[(1259, 13, 1682), (1259, 13, 293), (1259, 13, 1934)]",3,"(1259, 13, 202)","[5, 1]","[0.28555766, 0.21737465]",7,3.0
1.30316,7.894772,"[(4819, 43, 141), (4819, 82, 2456), (4819, 21, 4732)]",3,"(4819, 85, 434)","[1, 1]","[1.4429023, 1.1634176]",1,1.0
0.9383801,3.0339537,"[(4123, 101, 1800), (4123, 61, 7766), (4123, 101, 1481)]",3,"(4123, 172, 1978)","[1, 1]","[0.8058938, 1.0708665]",1,1.0
5.634034,12.2361145,"[(32, 15, 1309), (1308, 66, 1309), (1308, 24, 1309)]",3,"(1309, 25, 62)","[1, 1]","[5.3443317, 5.923736]",1,1.0
0.49941397,5.9332037,"[(3866, 28, 382), (3866, 28, 32), (3866, 11, 23)]",3,"(3866, 28, 274)","[15, 25]","[0.37846506, 0.6203629]",14,20.0
0.81782246,3.366718,"[(8425, 124, 2846), (8425, 217, 3433), (8425, 166, 90)]",3,"(8425, 124, 4722)","[2, 5]","[0.7345647, 0.90108025]",5,3.5
0.6555601,5.5954394,"[(11039, 85, 434), (11039, 17, 818), (9562, 22, 11039)]",3,"(11039, 43, 141)","[2, 1]","[0.4685553, 0.8425649]",1,1.5
2.0809507,9.356104,"[(7474, 19, 838), (7474, 19, 601), (7474, 19, 1513)]",3,"(7474, 85, 434)","[1, 1]","[2.671402, 1.4904997]",3,1.0
0.7993441,4.5499496,"[(1925, 145, 1431), (1430, 145, 1431), (2577, 162, 1431)]",3,"(1431, 91, 494)","[1, 1]","[0.76067185, 0.8380164]",1,1.0
0.30756456,4.9227076,"[(1598, 26, 990), (2319, 38, 1598), (69, 7, 1598)]",3,"(1598, 26, 342)","[1, 2]","[0.29669422, 0.31843486]",4,1.5
1.1709187,8.570226,"[(6433, 102, 11715), (6433, 39, 1327), (6433, 48, 32)]",3,"(6433, 85, 434)","[1, 1]","[1.5578873, 0.7839502]",1,1.0
1.7524378,3.3958833,"[(1956, 98, 3175), (1956, 98, 11218), (1956, 98, 9735)]",3,"(1956, 98, 8986)","[2, 12]","[1.624414, 1.8804616]",1,7.0
0.8945342,2.8390942,"[(9448, 0, 1), (9448, 195, 2550), (7415, 168, 9448)]",3,"(9448, 0, 4494)","[2, 3]","[0.9282596, 0.86080873]",1,2.5
1.9777806,6.228981,"[(7729, 85, 1665), (7729, 48, 32), (7729, 85, 434)]",3,"(7729, 43, 141)","[1, 1]","[2.904255, 1.0513062]",1,1.0
0.1783483,2.5320902,"[(5958, 13, 1405), (5958, 13, 1304), (5958, 13, 853)]",3,"(5958, 13, 308)","[2, 4]","[0.1757515, 0.18094508]",19,3.0
1.7517403,13.760386,"[(4282, 13, 32), (4282, 116, 527), (4282, 86, 690)]",3,"(4282, 25, 62)","[1, 1]","[1.6695905, 1.8338902]",1,1.0
0.23667923,5.4507256,"[(7349, 26, 990), (7349, 28, 32), (6254, 6, 7349)]",3,"(7349, 11, 23)","[1, 1]","[0.25708163, 0.21627682]",2,1.0
0.3078693,5.48673,"[(4270, 141, 4480), (4270, 141, 6638), (4270, 141, 5928)]",3,"(4270, 14, 160)","[2, 1]","[0.3628486, 0.25288996]",1,1.5
0.19064714,3.426412,"[(5563, 11, 23), (2678, 6, 5563), (5563, 28, 32)]",3,"(5563, 34, 90)","[1, 1]","[0.20755607, 0.17373821]",1,1.0
0.21481757,5.8760414,"[(1174, 6, 7867), (1174, 6, 941), (1900, 12, 1174)]",3,"(1174, 60, 90)","[1, 1]","[0.17800537, 0.25162977]",1,1.0
1.564402,14.561535,"[(6349, 97, 7448), (7448, 106, 592), (6349, 141, 7448)]",3,"(7448, 43, 141)","[2, 1]","[1.7452898, 1.3835142]",2102,1.5
2.4274344,8.304846,"[(12589, 48, 32), (53, 22, 12589), (12589, 24, 1327)]",3,"(12589, 43, 141)","[2, 2]","[2.867383, 1.9874856]",1,2.0
0.16655695,3.670332,"[(1612, 77, 2302), (4268, 8, 2302), (2810, 45, 2302)]",3,"(2302, 60, 90)","[1, 1]","[0.13017343, 0.20294046]",1,1.0
