original_rank,new_score,facts,perspective,prediction,new_scores,new_rank,#facts,original_score,new_ranks
1,5.033478,"[(36226, 1, 1771), (36226, 1, 1771), (36226, 1, 1771)]",all,"(1771, 1, 36226)","[4.9184985, 5.1484575]",16.0,3,9.191784,"[16, 16]"
1,-1.0843524,"[(38840, 1, 26984), (38840, 1, 26984), (38840, 1, 26984)]",all,"(26984, 1, 38840)","[-1.685546, -0.4831587]",23003.0,3,9.220281,"[31708, 14298]"
1,-0.66145825,"[(34834, 1, 3152), (34834, 1, 3152), (34834, 1, 3152)]",all,"(3152, 1, 34834)","[-1.1690308, -0.15388566]",17512.0,3,9.688642,"[26555, 8469]"
1,6.447751,"[(16054, 1, 26644), (16054, 1, 26644), (16054, 1, 26644)]",all,"(26644, 1, 16054)","[7.000992, 5.8945107]",1.0,3,9.2418165,"[1, 1]"
1,4.833235,"[(19068, 1, 8742), (19068, 1, 8742), (19068, 1, 8742)]",all,"(8742, 1, 19068)","[4.8992243, 4.7672453]",14.5,3,8.114485,"[13, 16]"
1,7.4631424,"[(8589, 1, 2035), (8589, 1, 2035), (8589, 1, 2035)]",all,"(2035, 1, 8589)","[7.335722, 7.590563]",1.0,3,8.747489,"[1, 1]"
1,5.020837,"[(7703, 1, 26785), (7703, 1, 26785), (7703, 1, 26785)]",all,"(26785, 1, 7703)","[5.227765, 4.813908]",4.0,3,10.314679,"[3, 5]"
1,6.5444393,"[(10563, 9, 6882), (10563, 9, 6882), (10563, 9, 6882)]",all,"(6882, 9, 10563)","[6.45929, 6.629589]",2.0,3,10.239602,"[2, 2]"
1,-0.56776106,"[(15849, 1, 22500), (15849, 1, 22500), (15849, 1, 22500)]",all,"(22500, 1, 15849)","[-0.2908298, -0.84469235]",14086.0,3,8.751211,"[10820, 17352]"
1,1.347418,"[(1620, 6, 25305), (33663, 0, 2099), (1620, 4, 33663), (16667, 0, 2099), (1620, 6, 25305), (1620, 4, 16667), (1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",all,"(25305, 0, 2099)","[2.0114076, 0.6834283]",217.0,9,7.398238,"[176, 258]"
1,-1.3565366,"[(31140, 1, 25999), (31140, 1, 25999), (31140, 1, 25999)]",all,"(25999, 1, 31140)","[-1.1750182, -1.5380552]",25566.5,3,9.611744,"[26014, 25119]"
1,7.5279036,"[(3340, 1, 13731), (3340, 1, 13731), (13731, 1, 13730), (13730, 1, 13731)]",all,"(13731, 1, 3340)","[7.4162364, 7.639571]",1.0,4,9.419868,"[1, 1]"
1,7.246413,"[(16026, 1, 21645), (16026, 1, 21645), (16026, 1, 21645)]",all,"(21645, 1, 16026)","[7.3437557, 7.1490707]",1.0,3,9.251232,"[1, 1]"
1,0.06862119,"[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252), (31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985), (14768, 0, 21985)]",all,"(14768, 6, 24252)","[-0.6005301, 0.73777246]",13463.0,7,7.281294,"[25169, 1757]"
1,-0.61177766,"[(5782, 1, 6726), (5782, 1, 6726), (5782, 1, 6726)]",all,"(6726, 1, 5782)","[-1.0634836, -0.16007179]",25216.5,3,9.564367,"[36402, 14031]"
1,7.5547266,"[(33614, 0, 5517), (33614, 0, 5517), (26672, 0, 5517), (26672, 5, 172), (27866, 0, 5517), (33614, 0, 5517), (27866, 5, 172)]",all,"(33614, 5, 172)","[7.6721096, 7.437343]",1.0,7,7.783125,"[1, 1]"
1,1.2462115,"[(16202, 0, 14302), (23647, 0, 14302), (16202, 0, 1338), (23589, 0, 14302), (23589, 0, 1338), (23647, 0, 14302), (128, 0, 1338), (23647, 0, 14302), (128, 0, 14302)]",all,"(23647, 0, 1338)","[1.2165068, 1.2759163]",226.0,9,7.0427074,"[253, 199]"
1,2.6336365,"[(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970), (16415, 4, 36104), (3970, 0, 81)]",all,"(36104, 0, 81)","[2.5120869, 2.755186]",119.0,5,7.7996135,"[143, 95]"
1,4.798343,"[(14201, 1, 14202), (14201, 1, 14202), (14201, 1, 14202)]",all,"(14202, 1, 14201)","[4.3440437, 5.2526426]",2.0,3,10.240109,"[2, 2]"
1,5.295827,"[(6485, 1, 30984), (6485, 1, 30984), (6485, 1, 30984)]",all,"(30984, 1, 6485)","[5.3625116, 5.2291417]",2.5,3,9.050512,"[3, 2]"
1,-1.0456383,"[(28087, 1, 13806), (28087, 1, 13806), (28087, 1, 13806)]",all,"(13806, 1, 28087)","[-0.80355275, -1.2877238]",16417.5,3,9.769687,"[13303, 19532]"
1,6.52724,"[(1038, 4, 39279), (22149, 0, 184), (1038, 4, 22149), (6598, 0, 184), (1038, 4, 39279), (1038, 4, 6598), (1038, 4, 39279), (1038, 4, 32299), (32299, 0, 184)]",all,"(39279, 0, 184)","[6.753148, 6.3013315]",9.5,9,8.77287,"[8, 11]"
1,6.5402365,"[(2617, 1, 11144), (2617, 1, 11144), (2617, 1, 11144)]",all,"(11144, 1, 2617)","[6.486656, 6.5938168]",2.0,3,9.984545,"[2, 2]"
1,6.8946996,"[(5596, 1, 32633), (5596, 1, 32633), (5596, 1, 32633)]",all,"(32633, 1, 5596)","[6.955026, 6.834373]",1.0,3,9.348708,"[1, 1]"
1,5.0084586,"[(14576, 1, 904), (17185, 0, 904), (904, 1, 14576), (17185, 5, 2971), (14576, 1, 904), (11097, 0, 904), (904, 1, 14576), (11097, 5, 2971), (14576, 1, 904), (904, 1, 14576)]",all,"(14576, 5, 2971)","[4.8824844, 5.134433]",1.5,10,5.459032,"[2, 1]"
1,0.8286333,"[(15125, 1, 2869), (15125, 1, 2869), (15125, 1, 2869)]",all,"(2869, 1, 15125)","[0.60900223, 1.0482644]",402.5,3,8.738957,"[643, 162]"
1,6.2256813,"[(5832, 1, 12905), (5832, 1, 12905), (5832, 1, 12905)]",all,"(12905, 1, 5832)","[6.402628, 6.048735]",3.0,3,9.152345,"[4, 2]"
1,5.9380646,"[(653, 1, 17819), (653, 1, 17819), (653, 1, 17819)]",all,"(17819, 1, 653)","[5.8319817, 6.044148]",1.5,3,9.249761,"[2, 1]"
1,5.849172,"[(4764, 1, 4765), (4764, 1, 4765), (4764, 1, 4765)]",all,"(4765, 1, 4764)","[6.414445, 5.2838993]",1.5,3,9.360676,"[1, 2]"
1,-0.0028490126,"[(13752, 1, 11251), (13752, 1, 11251), (13752, 1, 11251)]",all,"(11251, 1, 13752)","[0.27923092, -0.28492895]",4222.5,3,9.526362,"[2925, 5520]"
1,6.422265,"[(7329, 1, 5855), (7329, 1, 5855), (7329, 1, 5855)]",all,"(5855, 1, 7329)","[6.206312, 6.638218]",3.5,3,8.925503,"[4, 3]"
1,4.9118686,"[(2938, 1, 15497), (2938, 1, 15497), (2938, 1, 15497)]",all,"(15497, 1, 2938)","[5.1755514, 4.6481857]",2.0,3,9.88568,"[2, 2]"
1,-0.5462243,"[(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)]",all,"(11480, 2, 1534)","[-0.4612801, -0.6311685]",585.5,5,5.108136,"[604, 567]"
1,-4.0435433,"[(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951), (35121, 0, 22951), (4747, 5, 3149), (35121, 5, 3149), (4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951)]",all,"(4747, 0, 22951)","[-2.9348576, -5.1522293]",2648.0,9,7.647258,"[1687, 3609]"
1,1.796341,"[(8629, 1, 7673), (8629, 1, 7673), (8629, 1, 7673)]",all,"(7673, 1, 8629)","[1.7238822, 1.8687997]",91.0,3,9.002323,"[122, 60]"
1,1.1287338,"[(8993, 1, 7948), (8993, 1, 7948), (8993, 1, 7948)]",all,"(7948, 1, 8993)","[0.74531394, 1.5121536]",354.5,3,9.079611,"[574, 135]"
1,-1.1386,"[(14159, 1, 40286), (14159, 1, 40286), (14159, 1, 40286)]",all,"(40286, 1, 14159)","[-0.49044067, -1.7867594]",10979.5,3,10.40897,"[4185, 17774]"
1,0.92422855,"[(29197, 1, 4359), (29197, 1, 4359), (29197, 1, 4359)]",all,"(4359, 1, 29197)","[1.5272627, 0.32119435]",1259.0,3,8.654919,"[159, 2359]"
1,1.2784762,"[(8221, 2, 3167), (8221, 2, 909), (17014, 2, 909), (28036, 2, 909), (28036, 2, 3167), (17014, 2, 909), (17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)]",all,"(17014, 2, 3167)","[1.3729441, 1.1840085]",285.5,9,7.138199,"[334, 237]"
1,4.8536253,"[(25165, 1, 7514), (25165, 1, 7514), (25165, 1, 7514)]",all,"(7514, 1, 25165)","[4.735878, 4.9713726]",5.0,3,9.075606,"[6, 4]"
1,5.469363,"[(13776, 2, 916), (27523, 2, 121), (27523, 2, 916), (13776, 2, 916), (6932, 2, 121), (6932, 2, 916), (13776, 2, 916)]",all,"(13776, 2, 121)","[4.8176622, 6.1210647]",1.0,7,8.00515,"[1, 1]"
1,6.763139,"[(1508, 1, 9372), (1508, 1, 9372), (1508, 1, 9372)]",all,"(9372, 1, 1508)","[6.8338585, 6.692419]",1.0,3,9.9936285,"[1, 1]"
1,5.862547,"[(4691, 1, 36188), (4691, 1, 36188), (4691, 1, 36188)]",all,"(36188, 1, 4691)","[6.2980366, 5.4270577]",2.0,3,9.827701,"[2, 2]"
1,4.8101053,"[(3407, 1, 26647), (3407, 1, 26647), (3407, 1, 26647)]",all,"(26647, 1, 3407)","[5.1959686, 4.4242425]",6.0,3,8.59272,"[6, 6]"
1,5.866664,"[(3847, 1, 17802), (3847, 1, 17802), (3847, 1, 17802)]",all,"(17802, 1, 3847)","[5.5810933, 6.152234]",3.5,3,8.961193,"[5, 2]"
1,4.075425,"[(27614, 5, 172), (27614, 0, 28580), (27614, 0, 28580), (27614, 5, 172)]",all,"(28580, 5, 172)","[2.9763224, 5.174528]",2.0,4,7.0875874,"[2, 2]"
1,0.8568976,"[(4393, 1, 522), (522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (1049, 0, 4393), (1048, 1, 1049), (1048, 0, 522), (1049, 1, 32701), (1049, 1, 1048), (32701, 1, 1049), (32701, 1, 1049), (1049, 1, 32701)]",all,"(32701, 0, 522)","[0.7854488, 0.9283464]",262.0,12,6.671388,"[302, 222]"
1,-0.6547468,"[(19910, 9, 8634), (19910, 9, 8634), (19910, 9, 8634)]",all,"(8634, 9, 19910)","[-0.2556445, -1.053849]",15656.5,3,9.567928,"[6709, 24604]"
1,3.4609823,"[(17826, 3, 14917), (17826, 3, 14917), (17826, 3, 14917)]",all,"(14917, 3, 17826)","[3.781158, 3.1408067]",12.0,3,8.515327,"[12, 12]"
1,5.6334915,"[(5305, 1, 29442), (5305, 1, 29442), (5305, 1, 29442)]",all,"(29442, 1, 5305)","[5.6805744, 5.5864086]",1.0,3,8.90522,"[1, 1]"
1,-5.649221,"[(25496, 0, 25497), (5309, 0, 5310), (5309, 0, 25497), (25496, 0, 25497), (15830, 0, 5310), (15830, 0, 25497), (25496, 0, 25497)]",all,"(25496, 0, 5310)","[-3.5686433, -7.7297983]",5559.5,7,7.0187235,"[2316, 8803]"
1,4.328292,"[(8774, 1, 16865), (8774, 1, 16865), (8774, 1, 16865)]",all,"(16865, 1, 8774)","[4.247887, 4.408696]",13.5,3,10.44133,"[14, 13]"
1,-0.17069384,"[(5862, 1, 14121), (5862, 1, 14121), (5862, 1, 14121)]",all,"(14121, 1, 5862)","[0.19593765, -0.5373253]",14567.5,3,7.876352,"[5901, 23234]"
1,-0.12612553,"[(17169, 3, 17011), (17169, 3, 17011), (17169, 3, 17011)]",all,"(17011, 3, 17169)","[0.1970292, -0.44928026]",10623.5,3,8.8337755,"[4119, 17128]"
1,5.866949,"[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278), (21810, 4, 9817), (21810, 4, 21811), (9817, 0, 278), (21810, 4, 17429), (17429, 0, 278), (21810, 4, 21811)]",all,"(21811, 0, 278)","[5.979256, 5.7546425]",18.5,9,7.6046906,"[17, 20]"
1,8.043692,"[(5116, 1, 15028), (5116, 1, 15028), (5116, 1, 15028)]",all,"(15028, 1, 5116)","[8.046616, 8.040767]",1.0,3,9.27175,"[1, 1]"
1,3.1163294,"[(2573, 1, 17030), (2573, 1, 17030), (2573, 1, 17030)]",all,"(17030, 1, 2573)","[3.0436134, 3.1890454]",36.0,3,8.604788,"[42, 30]"
1,6.978543,"[(2601, 1, 5394), (2601, 1, 5394), (2601, 1, 5394)]",all,"(5394, 1, 2601)","[7.071658, 6.8854275]",1.0,3,9.64728,"[1, 1]"
1,2.323161,"[(1019, 4, 28305), (1019, 4, 23273), (1019, 4, 28305), (23273, 0, 3141), (15755, 0, 3141), (1019, 4, 28305), (1019, 4, 15755)]",all,"(28305, 0, 3141)","[2.1879215, 2.4584002]",48.0,7,8.571083,"[70, 26]"
1,-0.5972243,"[(18271, 1, 3741), (18271, 1, 3741), (18271, 1, 3741)]",all,"(3741, 1, 18271)","[-1.0347728, -0.15967587]",11712.5,3,10.975729,"[19557, 3868]"
1,-1.1061386,"[(3103, 1, 3104), (3103, 1, 3104), (3103, 1, 3104)]",all,"(3104, 1, 3103)","[-1.2692066, -0.9430705]",11818.0,3,9.955729,"[12702, 10934]"
1,0.7464536,"[(1287, 1, 18173), (1287, 1, 18173), (1287, 1, 6371), (23932, 1, 6371), (6371, 1, 23932), (6371, 1, 1287), (23932, 1, 18173)]",all,"(18173, 1, 1287)","[0.53069365, 0.9622135]",469.5,7,8.870047,"[854, 85]"
1,-0.5676456,"[(15171, 1, 12999), (15729, 1, 16455), (16455, 1, 15729), (16455, 1, 15171), (12999, 1, 15171), (15171, 1, 16455), (15171, 1, 12999), (12999, 1, 15171), (15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)]",all,"(12999, 1, 15729)","[-0.9415753, -0.19371596]",11865.0,13,6.798723,"[20320, 3410]"
1,-1.4398609,"[(37187, 1, 22873), (37187, 1, 22873), (37187, 1, 22873)]",all,"(22873, 1, 37187)","[-1.5814576, -1.2982643]",40682.0,3,9.392544,"[40680, 40684]"
1,6.7577877,"[(5336, 1, 11686), (5336, 1, 11686), (5336, 1, 11686)]",all,"(11686, 1, 5336)","[6.725238, 6.7903376]",2.0,3,9.1733055,"[1, 3]"
1,4.7755556,"[(8153, 1, 10925), (8153, 1, 10925), (8153, 1, 10925)]",all,"(10925, 1, 8153)","[4.4996686, 5.051443]",4.5,3,9.006329,"[6, 3]"
1,-4.681694,"[(28165, 1, 40453), (28165, 1, 40453), (28165, 1, 40453)]",all,"(40453, 1, 28165)","[-4.9203606, -4.443028]",21418.0,3,9.401691,"[25443, 17393]"
1,2.2401125,"[(7833, 1, 36078), (7833, 1, 36078), (7833, 1, 36078)]",all,"(36078, 1, 7833)","[2.4755187, 2.0047064]",16.5,3,10.850468,"[16, 17]"
1,3.8068511,"[(4301, 1, 10990), (4301, 1, 10990), (4301, 1, 10990)]",all,"(10990, 1, 4301)","[3.2966933, 4.317009]",22.5,3,9.040138,"[30, 15]"
1,1.0797391,"[(5908, 1, 4050), (5908, 1, 4050), (5908, 1, 4050)]",all,"(4050, 1, 5908)","[1.0264215, 1.1330568]",437.0,3,10.466581,"[554, 320]"
1,6.1330805,"[(23887, 6, 31376), (23887, 6, 13632), (13632, 2, 743), (23887, 6, 31376), (23887, 6, 742), (742, 2, 743), (23887, 6, 31376)]",all,"(31376, 2, 743)","[6.153141, 6.11302]",1.0,7,7.7001705,"[1, 1]"
1,-0.15742141,"[(7531, 1, 7532), (7531, 1, 7532), (7531, 1, 7532)]",all,"(7532, 1, 7531)","[-0.19479042, -0.12005241]",6887.0,3,8.390123,"[8023, 5751]"
1,5.8181257,"[(29963, 2, 1137), (39696, 5, 774), (29963, 2, 1137), (39696, 2, 1137), (38592, 2, 1137), (29963, 2, 1137), (38592, 5, 774)]",all,"(29963, 5, 774)","[5.786251, 5.8500004]",1.0,7,8.869197,"[1, 1]"
1,-4.4390426,"[(32885, 1, 37429), (32885, 1, 37429), (32885, 1, 37429)]",all,"(37429, 1, 32885)","[-5.1675167, -3.7105684]",38940.0,3,10.5282135,"[38761, 39119]"
1,3.2574322,"[(16736, 1, 7605), (16736, 1, 7605), (16736, 1, 7605)]",all,"(7605, 1, 16736)","[3.2365289, 3.2783356]",9.5,3,9.469548,"[10, 9]"
