facts,new_score,exp_length,prediction,exp,original_rank,new_scores,original_score,new_ranks,new_rank
"[([(6914, 3, 33), (24167, 3, 33), (24167, 9, 7790)], 0.21210003, 'xrule')]",8.106395,3,"(6914, 9, 7790)","[(6914, 3, 33), (24167, 3, 33), (24167, 9, 7790)]",1,[8.106395],9.0881,[1],1.0
"[([(20181, 2, 171), (20181, 9, 8151), (4870, 2, 171)], 0.17970085, 'xrule')]",8.483387,3,"(4870, 9, 8151)","[(20181, 2, 171), (20181, 9, 8151), (4870, 2, 171)]",1,[8.483387],8.065897,[1],1.0
"[([(20058, 9, 8151), (6054, 3, 177), (20058, 3, 177)], 0.24310017, 'xrule')]",7.4090548,3,"(6054, 9, 8151)","[(6054, 3, 177), (20058, 9, 8151), (20058, 3, 177)]",1,[7.4090548],7.925308,[1],1.0
"[([(12809, 3, 50), (12809, 12, 11744), (5964, 3, 50)], 0.7564001, 'xrule')]",5.873292,3,"(5964, 12, 11744)","[(12809, 3, 50), (12809, 12, 11744), (5964, 3, 50)]",1,[5.873292],7.914914,[10],10.0
"[([(22679, 11, 7984), (22679, 3, 41), (7426, 3, 41)], 0.4712, 'xrule')]",5.6065354,3,"(7426, 11, 7984)","[(22679, 11, 7984), (22679, 3, 41), (7426, 3, 41)]",2,[5.6065354],6.122612,[3],3.0
"[([(24175, 9, 8339), (24175, 2, 1662), (7382, 2, 1662)], 0.19470024, 'xrule')]",7.8817177,3,"(7382, 9, 8339)","[(24175, 9, 8339), (24175, 2, 1662), (7382, 2, 1662)]",1,[7.8817177],8.900803,[1],1.0
"[([(23503, 3, 9), (23503, 11, 7992), (5844, 3, 9)], 0.14120007, 'xrule')]",5.9168434,3,"(5844, 11, 7992)","[(23503, 3, 9), (23503, 11, 7992), (5844, 3, 9)]",1,[5.9168434],6.604808,[1],1.0
"[([(25177, 3, 346), (6263, 3, 346), (25177, 11, 8038)], 0.5566006, 'xrule')]",7.04547,3,"(6263, 11, 8038)","[(25177, 3, 346), (6263, 3, 346), (25177, 11, 8038)]",1,[7.04547],7.416071,[1],1.0
"[([(23192, 3, 748), (23192, 12, 8676), (5920, 3, 748)], 0.2177, 'xrule')]",9.089685,3,"(5920, 12, 8676)","[(5920, 3, 748), (23192, 12, 8676), (23192, 3, 748)]",1,[9.089685],9.47781,[1],1.0
"[([(6419, 3, 506), (19523, 9, 8339), (19523, 3, 506)], 0.2585001, 'xrule')]",6.149106,3,"(6419, 9, 8339)","[(6419, 3, 506), (19523, 9, 8339), (19523, 3, 506)]",1,[6.149106],6.532011,[1],1.0
"[([(21902, 12, 8626), (7769, 3, 219), (21902, 3, 219)], 0.28779984, 'xrule')]",7.3906164,3,"(7769, 12, 8626)","[(21902, 3, 219), (7769, 3, 219), (21902, 12, 8626)]",1,[7.3906164],8.398724,[3],3.0
"[([(17411, 11, 7984), (4757, 2, 30), (17411, 2, 30)], 0.9244003, 'xrule')]",5.763505,3,"(4757, 11, 7984)","[(17411, 11, 7984), (4757, 2, 30), (17411, 2, 30)]",4,[5.763505],5.4328356,[3],3.0
"[([(6853, 3, 1839), (25070, 11, 8038), (25070, 3, 1839)], 0.77149963, 'xrule')]",6.3952155,3,"(6853, 11, 8038)","[(6853, 3, 1839), (25070, 11, 8038), (25070, 3, 1839)]",1,[6.3952155],6.491535,[2],2.0
"[([(6437, 2, 68), (25103, 11, 8038), (25103, 2, 68)], 0.7539005, 'xrule')]",5.791581,3,"(6437, 11, 8038)","[(6437, 2, 68), (25103, 11, 8038), (25103, 2, 68)]",1,[5.791581],6.6256256,[2],2.0
"[([(21822, 3, 1123), (21822, 9, 7903), (5517, 3, 1123)], 0.18910027, 'xrule')]",9.120205,3,"(5517, 9, 7903)","[(21822, 3, 1123), (5517, 3, 1123), (21822, 9, 7903)]",1,[9.120205],9.563314,[1],1.0
"[([(5675, 3, 1838), (18934, 3, 1838), (18934, 11, 8038)], 0.4548006, 'xrule')]",6.393669,3,"(5675, 11, 8038)","[(5675, 3, 1838), (18934, 3, 1838), (18934, 11, 8038)]",2,[6.393669],7.0910316,[3],3.0
"[([(15334, 9, 7758), (6566, 3, 489), (15334, 3, 489)], 0.57040024, 'xrule')]",7.5816197,3,"(6566, 9, 7758)","[(15334, 9, 7758), (6566, 3, 489), (15334, 3, 489)]",1,[7.5816197],8.5208435,[1],1.0
"[([(6619, 3, 40), (20090, 3, 40), (20090, 11, 6729)], 0.15810013, 'xrule')]",6.668627,3,"(6619, 11, 6729)","[(6619, 3, 40), (20090, 3, 40), (20090, 11, 6729)]",1,[6.668627],7.5059404,[1],1.0
"[([(24384, 1, 65), (24384, 11, 6729), (5781, 1, 65)], 0.29769993, 'xrule')]",5.087807,3,"(5781, 11, 6729)","[(24384, 1, 65), (24384, 11, 6729), (5781, 1, 65)]",2,[5.087807],5.655415,[3],3.0
"[([(18666, 11, 7992), (6976, 3, 40), (18666, 3, 40)], -0.5274, 'xrule')]",6.4875784,3,"(6976, 11, 7992)","[(18666, 11, 7992), (6976, 3, 40), (18666, 3, 40)]",3,[6.4875784],5.79963,[3],3.0
"[([(5834, 3, 40), (21072, 11, 6729), (21072, 3, 40)], 0.17350006, 'xrule')]",5.651883,3,"(5834, 11, 6729)","[(5834, 3, 40), (21072, 3, 40), (21072, 11, 6729)]",2,[5.651883],6.3059583,[4],4.0
"[([(5133, 3, 4866), (10165, 3, 4866), (10165, 9, 10166)], 1.2229004, 'xrule')]",6.378171,3,"(5133, 9, 10166)","[(5133, 3, 4866), (10165, 3, 4866), (10165, 9, 10166)]",1,[6.378171],6.655379,[1],1.0
"[([(22756, 3, 177), (22756, 9, 6144), (5907, 3, 177)], 0.3139, 'xrule')]",6.0761843,3,"(5907, 9, 6144)","[(22756, 3, 177), (5907, 3, 177), (22756, 9, 6144)]",2,[6.0761843],6.9573603,[1],1.0
"[([(21887, 11, 7992), (21887, 3, 6), (6504, 3, 6)], 0.083999634, 'xrule')]",6.227434,3,"(6504, 11, 7992)","[(6504, 3, 6), (21887, 3, 6), (21887, 11, 7992)]",1,[6.227434],6.168879,[1],1.0
"[([(11465, 11, 8097), (5411, 1, 65), (11465, 1, 65)], 0.18529987, 'xrule')]",6.7545633,3,"(5411, 11, 8097)","[(11465, 11, 8097), (5411, 1, 65), (11465, 1, 65)]",1,[6.7545633],7.0618706,[1],1.0
"[([(6766, 2, 2082), (14173, 2, 2082), (14173, 11, 7992)], 1.1702003, 'xrule')]",6.1266146,3,"(6766, 11, 7992)","[(6766, 2, 2082), (14173, 2, 2082), (14173, 11, 7992)]",1,[6.1266146],6.3387327,[1],1.0
"[([(7392, 3, 100), (17937, 9, 7790), (17937, 3, 100)], 0.10809994, 'xrule')]",9.932674,3,"(7392, 9, 7790)","[(7392, 3, 100), (17937, 9, 7790), (17937, 3, 100)]",1,[9.932674],9.634243,[1],1.0
"[([(7281, 3, 75), (24092, 11, 7992), (24092, 3, 75)], 0.6342001, 'xrule')]",5.3639765,3,"(7281, 11, 7992)","[(7281, 3, 75), (24092, 11, 7992), (24092, 3, 75)]",1,[5.3639765],6.138865,[1],1.0
"[([(12131, 9, 8418), (12131, 3, 73), (6083, 3, 73)], 0.18090057, 'xrule')]",8.86668,3,"(6083, 9, 8418)","[(12131, 9, 8418), (12131, 3, 73), (6083, 3, 73)]",1,[8.86668],8.809921,[1],1.0
"[([(7080, 1, 1054), (24223, 9, 6144), (24223, 1, 1054)], 0.23460007, 'xrule')]",6.2975225,3,"(7080, 9, 6144)","[(24223, 9, 6144), (7080, 1, 1054), (24223, 1, 1054)]",1,[6.2975225],6.4506083,[2],2.0
"[([(20123, 3, 40), (20123, 9, 6144), (4777, 3, 40)], 0.30239964, 'xrule')]",6.889818,3,"(4777, 9, 6144)","[(20123, 3, 40), (20123, 9, 6144), (4777, 3, 40)]",1,[6.889818],7.26068,[1],1.0
"[([(25356, 11, 7869), (7407, 3, 6), (25356, 3, 6)], 0.5482998, 'xrule')]",7.1216993,3,"(7407, 11, 7869)","[(25356, 11, 7869), (7407, 3, 6), (25356, 3, 6)]",1,[7.1216993],7.057395,[1],1.0
"[([(22756, 9, 8151), (22756, 3, 177), (6300, 3, 177)], 0.19320011, 'xrule')]",8.158934,3,"(6300, 9, 8151)","[(22756, 9, 8151), (22756, 3, 177), (6300, 3, 177)]",2,[8.158934],8.371053,[1],1.0
"[([(10914, 11, 7869), (10914, 3, 40), (7125, 3, 40)], 0.8422003, 'xrule')]",5.4610453,3,"(7125, 11, 7869)","[(10914, 11, 7869), (10914, 3, 40), (7125, 3, 40)]",2,[5.4610453],5.6012373,[2],2.0
"[([(4978, 3, 94), (17301, 3, 94), (17301, 11, 90)], 0.28849983, 'xrule')]",7.6759863,3,"(4978, 11, 90)","[(4978, 3, 94), (17301, 3, 94), (17301, 11, 90)]",1,[7.6759863],7.456912,[1],1.0
"[([(6394, 3, 2586), (25754, 9, 3917), (25754, 3, 2586)], 0.6541004, 'xrule')]",7.1414585,3,"(6394, 9, 3917)","[(6394, 3, 2586), (25754, 9, 3917), (25754, 3, 2586)]",1,[7.1414585],8.089542,[2],2.0
"[([(18756, 11, 6729), (18756, 1, 65), (7868, 1, 65)], 0.12129974, 'xrule')]",6.0236034,3,"(7868, 11, 6729)","[(18756, 11, 6729), (18756, 1, 65), (7868, 1, 65)]",1,[6.0236034],7.079462,[3],3.0
"[([(6115, 3, 138), (15932, 3, 138), (15932, 11, 6729)], 0.1427002, 'xrule')]",7.0281677,3,"(6115, 11, 6729)","[(6115, 3, 138), (15932, 3, 138), (15932, 11, 6729)]",1,[7.0281677],7.6898937,[1],1.0
"[([(6263, 3, 2132), (23688, 9, 9452), (23688, 3, 2132)], 0.18859959, 'xrule')]",6.863558,3,"(6263, 9, 9452)","[(6263, 3, 2132), (23688, 9, 9452), (23688, 3, 2132)]",1,[6.863558],7.2706003,[1],1.0
"[([(24537, 2, 1166), (24537, 9, 1470), (5834, 2, 1166)], 0.2152996, 'xrule')]",8.349169,3,"(5834, 9, 1470)","[(24537, 2, 1166), (5834, 2, 1166), (24537, 9, 1470)]",1,[8.349169],8.630572,[1],1.0
"[([(7610, 3, 1005), (22486, 3, 1005), (22486, 9, 7903)], 0.16720009, 'xrule')]",8.986587,3,"(7610, 9, 7903)","[(7610, 3, 1005), (22486, 3, 1005), (22486, 9, 7903)]",1,[8.986587],9.556608,[1],1.0
"[([(22042, 9, 11980), (6766, 3, 629), (22042, 3, 629)], 0.27719975, 'xrule')]",7.9964023,3,"(6766, 9, 11980)","[(22042, 9, 11980), (6766, 3, 629), (22042, 3, 629)]",1,[7.9964023],8.600188,[1],1.0
"[([(8486, 11, 7984), (8486, 3, 278), (5067, 3, 278)], 1.0783005, 'xrule')]",5.3102083,3,"(5067, 11, 7984)","[(8486, 11, 7984), (8486, 3, 278), (5067, 3, 278)]",1,[5.3102083],5.666048,[1],1.0
"[([(7628, 3, 279), (16674, 3, 279), (16674, 12, 8676)], 0.32219982, 'xrule')]",7.0302305,3,"(7628, 12, 8676)","[(7628, 3, 279), (16674, 3, 279), (16674, 12, 8676)]",2,[7.0302305],8.142027,[2],2.0
"[([(22455, 11, 7869), (22455, 2, 266), (5200, 2, 266)], 0.41969967, 'xrule')]",6.867005,3,"(5200, 11, 7869)","[(22455, 2, 266), (22455, 11, 7869), (5200, 2, 266)]",2,[6.867005],6.3907385,[1],1.0
"[([(6246, 3, 6), (17331, 11, 90), (17331, 3, 6)], 1.5476999, 'xrule')]",7.289212,3,"(6246, 11, 90)","[(6246, 3, 6), (17331, 3, 6), (17331, 11, 90)]",1,[7.289212],6.5092406,[1],1.0
"[([(9442, 3, 94), (9442, 12, 9444), (5305, 3, 94)], 2.7465997, 'xrule')]",4.0584507,3,"(5305, 12, 9444)","[(9442, 3, 94), (9442, 12, 9444), (5305, 3, 94)]",1,[4.0584507],7.808302,[24],24.0
"[([(4952, 3, 6), (15349, 11, 7869), (15349, 3, 6)], 0.3942995, 'xrule')]",5.368807,3,"(4952, 11, 7869)","[(4952, 3, 6), (15349, 11, 7869), (15349, 3, 6)]",1,[5.368807],5.530306,[1],1.0
