original_score,new_score,prediction,new_scores,original_rank,exp_length,facts,new_rank,new_ranks,exp
8.005735,7.7652965,"(7706, 17, 1002)",[7.7652965],1,11,"[({(7706, 17, 60), (138, 42, 7706), (1374, 20, 7706), (7706, 41, 212)}, 0.22942356346508097, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 41, 212), (985, 42, 7706)}, 0.2215290474244592, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (1374, 20, 7706), (985, 42, 7706)}, 0.22064022298343344, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 48, 32), (1374, 20, 7706)}, 0.21283821334310757, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 48, 32), (7706, 41, 212)}, 0.21245006793004323, 'baseline'), ({(138, 42, 7706), (7706, 41, 212), (1374, 20, 7706), (985, 42, 7706)}, 0.2086000846680809, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 48, 32), (985, 42, 7706)}, 0.2036981986798242, 'baseline'), ({(7706, 17, 60), (1374, 20, 7706), (7706, 41, 212), (985, 42, 7706)}, 0.20129207835708215, 'baseline'), ({(138, 42, 7706), (7706, 48, 32), (1374, 20, 7706), (7706, 41, 212)}, 0.20074466928824874, 'baseline'), ({(138, 42, 7706), (7706, 17, 60), (5392, 76, 7706), (1374, 20, 7706)}, 0.19685940012207603, 'baseline')]",1.0,[1],"[(138, 42, 7706), (9812, 17, 1002), (9812, 17, 60), (9411, 41, 138), (7706, 17, 60), (9411, 17, 1002), (7706, 41, 212), (1374, 20, 9757), (9757, 17, 1002), (1374, 20, 7706), (212, 42, 9757)]"
8.090952,7.7483287,"(2494, 85, 434)",[7.7483287],1,6,"[({(2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.356674235598793, 'baseline'), ({(2494, 24, 1445), (2494, 48, 32), (2494, 48, 1080), (2934, 8, 2494)}, 0.35433105781742624, 'baseline'), ({(2494, 192, 2500), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.3530493195094441, 'baseline'), ({(2500, 192, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.351191561927401, 'baseline'), ({(2494, 24, 1445), (2494, 48, 32), (2494, 48, 1080), (2494, 8, 360)}, 0.34430698701307705, 'baseline'), ({(2494, 24, 1445), (2494, 48, 32), (2494, 48, 1080), (2494, 45, 4028)}, 0.3436842376368318, 'baseline'), ({(5700, 84, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.34345630952607015, 'baseline'), ({(360, 8, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.34232525173746803, 'baseline'), ({(4028, 45, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.3402204924962192, 'baseline'), ({(4181, 84, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.3396625930330502, 'baseline')]",1.0,[1],"[(434, 161, 32), (434, 161, 1445), (2494, 48, 32), (2494, 48, 1080), (434, 161, 1080), (2494, 24, 1445)]"
7.616864,7.1059885,"(5672, 26, 64)",[7.1059885],1,11,"[({(5672, 14, 160), (5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098)}, 0.3932152209939866, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (5672, 28, 32), (5672, 26, 1098)}, 0.3907223163203349, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (658, 2, 5672), (5672, 26, 1098)}, 0.376247447450623, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (5672, 26, 1098), (5672, 106, 592)}, 0.37330822316718076, 'baseline'), ({(5672, 31, 1211), (5672, 26, 1960), (5672, 28, 32), (5672, 26, 1098)}, 0.3684254106590675, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (268, 32, 5672), (5672, 26, 1098)}, 0.3610697205883254, 'baseline'), ({(658, 2, 5672), (5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098)}, 0.35944656688226106, 'baseline'), ({(5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098), (5672, 106, 592)}, 0.35931972820610925, 'baseline'), ({(5672, 14, 160), (5672, 26, 1098), (5672, 26, 1960), (5672, 28, 32)}, 0.35913566907948863, 'baseline'), ({(5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098)}, 0.2866650035680029, 'baseline')]",2.0,[2],"[(5672, 14, 160), (5672, 31, 1211), (13009, 26, 1960), (9994, 31, 1211), (5672, 26, 1960), (13009, 26, 1098), (5672, 26, 1098), (5849, 26, 64), (13009, 26, 64), (5849, 14, 160), (9994, 26, 64)]"
8.392536,6.21839,"(3350, 48, 32)",[6.21839],1,11,"[({(3350, 17, 862), (3350, 85, 434), (3350, 43, 384), (3350, 17, 1002)}, 2.25765812141947, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 24, 1327), (3350, 17, 1002)}, 2.0669880916590553, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 17, 1192), (3350, 17, 1002)}, 1.9039746217141391, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 24, 1327), (3350, 43, 384)}, 1.6921807097541401, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 43, 384), (3350, 17, 1192)}, 1.5674687132471736, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 17, 1002)}, 1.556526253618596, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 6, 4497), (3350, 17, 1002)}, 1.5203791343574016, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (11316, 1, 3350), (3350, 17, 1002)}, 1.5100355822899656, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 24, 1327), (3350, 17, 1192)}, 1.5028553680341306, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 6, 6439), (3350, 17, 1002)}, 1.4978714658544534, 'baseline')]",1.0,[1],"[(8188, 48, 32), (12820, 17, 862), (12820, 48, 32), (3350, 85, 434), (434, 161, 32), (10159, 48, 32), (3350, 17, 862), (3350, 17, 1002), (8188, 43, 384), (3350, 43, 384), (10159, 17, 1002)]"
5.3587217,5.5838833,"(6933, 25, 62)",[5.5838833],1,6,"[({(382, 15, 6933), (1124, 15, 6933)}, 0.7785826193358167, 'baseline'), ({(1124, 15, 6933)}, 0.3429382259099383, 'baseline'), ({(382, 15, 6933)}, 0.25453047050651606, 'baseline'), ({(434, 161, 6933)}, 0.19402984839791806, 'baseline'), ({(6933, 133, 1124)}, 0.08630422786022103, 'baseline'), ({(8925, 160, 6933)}, 0.04236392207244916, 'baseline'), ({(6933, 154, 5054)}, 0.026160995450134842, 'baseline'), ({(6933, 94, 1495)}, 0.018702308602084827, 'baseline'), ({(5570, 83, 6933)}, 0.003590146978564502, 'baseline')]",1.0,[1],"[(382, 15, 14394), (382, 15, 6933), (1124, 15, 13902), (1124, 15, 6933), (14394, 25, 62), (13902, 25, 62)]"
7.438649,8.720977,"(10762, 25, 62)",[8.720977],1,8,"[({(10762, 62, 7983), (1080, 15, 10762), (10762, 154, 2620)}, 3.517329096325302, 'baseline'), ({(10762, 62, 7983), (1080, 15, 10762)}, 2.703915289319436, 'baseline'), ({(1080, 15, 10762)}, 1.7662704793380586, 'baseline'), ({(1080, 15, 10762), (10762, 154, 2620)}, 1.6975897123060713, 'baseline'), ({(1080, 15, 10762), (7983, 15, 10762)}, 1.538040706649122, 'baseline'), ({(10762, 62, 7983)}, 0.5934787232838075, 'baseline'), ({(10762, 62, 7983), (10762, 154, 2620)}, 0.1968589232932988, 'baseline'), ({(10762, 62, 7983), (7983, 15, 10762)}, 0.0349769992175673, 'baseline'), ({(10762, 154, 2620)}, -0.5892266791612208, 'baseline'), ({(7983, 15, 10762)}, -0.6452164207065214, 'baseline')]",1.0,[1],"[(1080, 15, 12003), (10762, 62, 7983), (12003, 25, 62), (1080, 15, 10762), (7983, 25, 62), (10958, 25, 62), (10958, 154, 2620), (10762, 154, 2620)]"
7.2906313,6.8150682,"(1892, 26, 1098)",[6.8150682],1,9,"[({(1892, 28, 32), (1892, 26, 1881), (1892, 26, 1960), (1892, 26, 990)}, 0.3156090192964498, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (2116, 7, 1892), (1892, 26, 990)}, 0.27235130569102334, 'baseline'), ({(326, 6, 1892), (1892, 26, 1960), (1892, 28, 32), (1892, 26, 990)}, 0.26121429696473114, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (1892, 116, 527), (1892, 26, 990)}, 0.2599735666847394, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (1892, 26, 990)}, 0.25761608376122813, 'baseline'), ({(1892, 84, 1917), (1892, 26, 1881), (1892, 28, 32), (1892, 26, 990)}, 0.25211242927687827, 'baseline'), ({(326, 6, 1892), (1892, 26, 1881), (1892, 26, 1960), (1892, 26, 990)}, 0.2513752389797627, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (7642, 6, 1892), (1892, 26, 990)}, 0.25022320040293966, 'baseline'), ({(1892, 26, 1960), (1892, 28, 32), (2116, 7, 1892), (1892, 26, 990)}, 0.24711040742535037, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (2937, 6, 1892), (1892, 26, 990)}, 0.24693302403091597, 'baseline')]",2.0,[2],"[(13009, 26, 1960), (13009, 26, 1098), (1892, 26, 1881), (1892, 28, 32), (1892, 26, 990), (13009, 26, 1881), (13009, 13, 32), (13009, 26, 990), (1892, 26, 1960)]"
5.9206314,6.084181,"(6342, 13, 1682)",[6.084181],1,9,"[({(6342, 13, 834), (6342, 13, 2282), (6342, 13, 1934), (6342, 13, 202)}, 0.19740967023947445, 'baseline'), ({(6342, 13, 1046), (6342, 13, 834), (6342, 13, 2282), (6342, 13, 202)}, 0.19353203042983483, 'baseline'), ({(6342, 13, 1046), (6342, 13, 2282), (6342, 13, 1934), (6342, 13, 202)}, 0.19349006876781422, 'baseline'), ({(6342, 13, 834), (6342, 13, 2282), (6342, 13, 202)}, 0.15070060939488497, 'baseline'), ({(6342, 13, 2282), (6342, 13, 1934), (6342, 13, 202)}, 0.14964012352950595, 'baseline'), ({(6342, 13, 834), (6342, 13, 1934), (6342, 13, 202)}, 0.1475887700860212, 'baseline'), ({(6342, 13, 1046), (6342, 13, 2282), (6342, 13, 202)}, 0.14616398064976646, 'baseline'), ({(6342, 13, 1046), (6342, 13, 1934), (6342, 13, 202)}, 0.14259056294185854, 'baseline'), ({(6342, 13, 1046), (6342, 13, 834), (6342, 13, 202)}, 0.1424904271520227, 'baseline'), ({(6342, 13, 119), (6342, 13, 2282), (6342, 13, 202)}, 0.13241008964163, 'baseline')]",2.0,[2],"[(6342, 13, 834), (1682, 58, 202), (1682, 152, 834), (6076, 29, 1934), (6342, 13, 2282), (2282, 58, 1682), (6342, 13, 202), (6076, 29, 1682), (6342, 13, 1934)]"
6.6341934,5.655463,"(12508, 17, 2123)",[5.655463],1,11,"[({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002), (12508, 41, 138)}, 0.7323427656639658, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002), (1374, 20, 12508)}, 0.7050466989413813, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002), (12508, 41, 139)}, 0.6720600575333971, 'baseline'), ({(12508, 17, 60), (12508, 17, 1002), (1374, 20, 12508), (12508, 41, 138)}, 0.6525145021005567, 'baseline'), ({(12508, 17, 60), (12508, 17, 1002), (12508, 41, 138), (12508, 41, 139)}, 0.6447630371676004, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 2424), (12508, 17, 1002)}, 0.6367187942104423, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 2424), (12508, 41, 138)}, 0.6152744732031863, 'baseline'), ({(12508, 17, 60), (12508, 17, 1002), (1374, 20, 12508), (12508, 41, 139)}, 0.5974655588114236, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 2424), (1374, 20, 12508)}, 0.5719004111280053, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002)}, 0.5471888018998841, 'baseline')]",2.0,[2],"[(12508, 17, 60), (138, 42, 5203), (7323, 17, 2123), (12508, 17, 1002), (5203, 17, 2123), (2123, 181, 1002), (7323, 43, 141), (8666, 17, 60), (12508, 43, 141), (8666, 17, 2123), (12508, 41, 138)]"
6.046425,6.174823,"(2457, 13, 382)",[6.174823],1,5,"[({(2457, 13, 32), (2457, 13, 1080)}, 0.09160427287938697, 'baseline'), ({(2457, 13, 1080)}, 0.05308918184613766, 'baseline'), ({(2457, 13, 637)}, 0.05188183017232641, 'baseline'), ({(2457, 13, 181)}, 0.04413894839788072, 'baseline'), ({(2457, 13, 32)}, 0.03791240881048641, 'baseline'), ({(2457, 13, 308)}, 0.03717712587375824, 'baseline'), ({(2457, 13, 853)}, 0.03112320130480155, 'baseline'), ({(2457, 13, 119)}, 0.027473489689627775, 'baseline'), ({(2457, 13, 1046)}, 0.024721185640297603, 'baseline'), ({(2457, 34, 90)}, 0.022361795370711122, 'baseline')]",3.0,[3],"[(2457, 13, 32), (2457, 13, 1080), (11609, 150, 382), (11609, 150, 1080), (382, 218, 32)]"
