prediction,new_rank,new_score,facts,new_scores,#facts,original_rank,new_ranks,original_score
"(5305, 8, 7410)",1.5,2.6308298,"[([(5305, 2, 31), (19943, 2, 31), (19943, 8, 7410)], 1.4251003, 'xrule'), ([(5305, 3, 41), (14559, 8, 7410), (14559, 3, 41)], 1.3154001, 'xrule'), ([(5305, 3, 6), (14559, 3, 6), (14559, 8, 7410)], 0.80650043, 'xrule'), ([(14559, 8, 7410), (5305, 2, 172), (14559, 2, 172)], 0.6501999, 'xrule'), ([(23608, 8, 7410), (5305, 2, 31), (23608, 2, 31)], 0.625, 'xrule'), ([(5305, 2, 31), (14559, 2, 31), (14559, 8, 7410)], 0.5689001, 'xrule'), ([(5305, 2, 31), (16573, 8, 7410), (16573, 2, 31)], 0.21110058, 'xrule'), ([(19943, 8, 7410), (5305, 2, 172), (19943, 2, 172)], -0.18270016, 'xrule'), ([(5305, 3, 772)], -0.3089770861306231, 6.423364430160977), ([(23816, 3, 6), (23816, 8, 7410), (5305, 3, 6)], -1.4952993, 'xrule'), ([(5305, 2, 30), (14559, 2, 30), (14559, 8, 7410)], -2.2919998, 'xrule')]","[2.458394, 2.8032656]",11,3,"[2, 1]",5.182078
"(6766, 8, 7410)",1.0,2.3431063,"[([(6766, 3, 1417)], -2.692058394889757, 3.063443591611817)]","[2.1977315, 2.4884813]",1,4,"[1, 1]",4.9720592
"(6730, 8, 7408)",4.0,2.689137,"[([(6730, 3, 10), (25390, 8, 7408), (25390, 3, 10)], 5.3201, 'xrule'), ([(8161, 8, 7408), (6730, 3, 78), (8161, 3, 78)], 3.3126001, 'xrule'), ([(6730, 3, 78), (25390, 8, 7408), (25390, 3, 78)], 2.6963005, 'xrule'), ([(6730, 3, 9), (25390, 3, 9), (25390, 8, 7408)], 2.6763, 'xrule'), ([(6730, 3, 10), (21364, 3, 10), (21364, 8, 7408)], 2.3844004, 'xrule'), ([(6730, 3, 78), (21297, 8, 7408), (21297, 3, 78)], 2.2717, 'xrule'), ([(6730, 3, 9), (21364, 8, 7408), (21364, 3, 9)], 1.4723997, 'xrule'), ([(6730, 3, 9), (21297, 3, 9), (21297, 8, 7408)], 1.1025, 'xrule'), ([(6730, 2, 309)], 0.6631637065390775, 13857.659970702744), ([(21364, 8, 7408), (6730, 3, 78), (21364, 3, 78)], 0.19089985, 'xrule'), ([(6730, 3, 10), (15227, 3, 10), (15227, 8, 7408)], 0.15280056, 'xrule')]","[2.6175208, 2.760753]",11,1,"[4, 4]",5.244982
"(6162, 8, 7427)",2.0,2.410088,"[([(18068, 2, 31), (18068, 8, 7427), (6162, 2, 31)], 4.5158005, 'xrule'), ([(24564, 8, 7427), (6162, 2, 31), (24564, 2, 31)], 3.7647, 'xrule'), ([(24564, 8, 7427), (6162, 3, 346), (24564, 3, 346)], 3.4568996, 'xrule'), ([(22396, 2, 31), (22396, 8, 7427), (6162, 2, 31)], 2.8603, 'xrule'), ([(17289, 8, 7427), (6162, 2, 31), (17289, 2, 31)], 2.1882, 'xrule'), ([(15654, 8, 7427), (6162, 2, 31), (15654, 2, 31)], 1.6026993, 'xrule'), ([(25180, 2, 31), (25180, 8, 7427), (6162, 2, 31)], 1.5489998, 'xrule'), ([(6162, 2, 2011)], 1.5134306630545158, 132.81956906451776), ([(6162, 2, 31), (10273, 8, 7427), (10273, 2, 31)], 1.3316994, 'xrule'), ([(22515, 8, 7427), (22515, 2, 31), (6162, 2, 31)], 1.1201992, 'xrule'), ([(6162, 2, 31), (7426, 2, 31), (7426, 8, 7427)], 0.15499973, 'xrule'), ([(21386, 8, 7427), (21386, 2, 31), (6162, 2, 31)], -0.074700356, 'xrule')]","[2.3699346, 2.4502416]",12,6,"[1, 3]",5.207631
"(7536, 12, 4492)",2.0,4.324338,"[([(19666, 3, 651), (19666, 12, 4492), (7536, 3, 651)], 0.5738001, 'xrule'), ([(10558, 8, 7393), (7536, 8, 7393), (10558, 12, 4492)], 0.5507002, 'xrule'), ([(19666, 2, 68), (7536, 2, 68), (19666, 12, 4492)], 0.51329994, 'xrule'), ([(19666, 3, 37), (19666, 12, 4492), (7536, 3, 37)], 0.41469955, 'xrule'), ([(11978, 12, 4492), (7536, 2, 68), (11978, 2, 68)], 0.37110043, 'xrule'), ([(7536, 2, 68)], -0.18645473260995724, 22538.45352088416), ([(18840, 2, 68), (18840, 12, 4492), (7536, 2, 68)], -0.30819988, 'xrule'), ([(10558, 12, 4492), (7536, 2, 68), (10558, 2, 68)], -1.1049995, 'xrule'), ([(19666, 3, 1839), (19666, 12, 4492), (7536, 3, 1839)], -1.2325001, 'xrule'), ([(10558, 2, 30), (10558, 12, 4492), (7536, 2, 30)], -1.9581003, 'xrule'), ([(11978, 12, 4492), (11978, 2, 30), (7536, 2, 30)], -2.9888, 'xrule')]","[4.9619718, 3.6867042]",11,5,"[2, 2]",2.8666697
"(5041, 8, 7427)",3.0,2.3625793,"[([(5041, 3, 370)], 1.0415993255262712, 7.73915846912551), ([(5041, 2, 68), (24600, 8, 7427), (24600, 2, 68)], 0.6140003, 'xrule'), ([(5041, 3, 6), (14100, 3, 6), (14100, 8, 7427)], 0.4918003, 'xrule'), ([(5041, 2, 68), (18043, 2, 68), (18043, 8, 7427)], -0.17809963, 'xrule'), ([(5041, 2, 68), (24326, 2, 68), (24326, 8, 7427)], -0.59979916, 'xrule'), ([(5041, 3, 78), (24326, 3, 78), (24326, 8, 7427)], -1.3105993, 'xrule'), ([(5041, 2, 68), (7788, 8, 7427), (7788, 2, 68)], -1.3501997, 'xrule'), ([(5041, 3, 78), (18043, 3, 78), (18043, 8, 7427)], -1.9567995, 'xrule'), ([(5041, 3, 78), (24600, 8, 7427), (24600, 3, 78)], -2.3076992, 'xrule'), ([(25768, 8, 7427), (5041, 3, 6), (25768, 3, 6)], -2.3680992, 'xrule'), ([(24326, 8, 7427), (5041, 3, 47), (24326, 3, 47)], -3.0955992, 'xrule')]","[2.2096915, 2.515467]",11,11,"[3, 3]",4.879652
"(6822, 11, 7869)",2.0,3.1729856,"[([(6822, 2, 30), (13441, 11, 7869), (13441, 2, 30)], 2.4862003, 'xrule'), ([(6822, 3, 40), (11565, 3, 40), (11565, 11, 7869)], 1.8781004, 'xrule'), ([(9576, 11, 7869), (9576, 3, 39), (6822, 3, 39)], 1.8121996, 'xrule'), ([(6822, 3, 40), (9576, 3, 40), (9576, 11, 7869)], 1.0174999, 'xrule'), ([(6822, 4, 66), (9608, 4, 66), (9608, 11, 7869)], 0.8625002, 'xrule'), ([(11565, 3, 6), (11565, 11, 7869), (6822, 3, 6)], 0.77320004, 'xrule'), ([(6822, 2, 30), (11565, 2, 30), (11565, 11, 7869)], 0.6227999, 'xrule'), ([(6822, 4, 66), (11565, 4, 66), (11565, 11, 7869)], 0.35289955, 'xrule'), ([(9576, 11, 7869), (9576, 3, 6), (6822, 3, 6)], -0.0036001205, 'xrule'), ([(6822, 3, 9)], -0.18402238626895806, 8.454123783988424), ([(6822, 3, 40), (10240, 3, 40), (10240, 11, 7869)], -0.4347, 'xrule'), ([(6822, 2, 30), (9576, 11, 7869), (9576, 2, 30)], -0.8731003, 'xrule')]","[2.6498652, 3.696106]",12,2,"[1, 3]",3.2896733
"(7769, 11, 7956)",1.0,3.039025,"[([(7769, 2, 68)], 2.198203674804132, 11118.900088074275)]","[2.482946, 3.5951042]",1,3,"[1, 1]",3.0966597
"(7469, 11, 7956)",1.0,3.0701087,"[([(10914, 1, 65), (7469, 1, 65), (10914, 11, 7956)], 2.0503998, 'xrule'), ([(7469, 8, 7429), (25281, 11, 7956), (25281, 8, 7429)], 1.7313995, 'xrule'), ([(7469, 8, 7409), (20274, 8, 7409), (20274, 11, 7956)], 1.6100998, 'xrule'), ([(20775, 11, 7956), (20775, 1, 65), (7469, 1, 65)], 1.5579004, 'xrule'), ([(7469, 3, 91), (9096, 11, 7956), (9096, 3, 91)], 1.3329, 'xrule'), ([(7469, 8, 7429), (20274, 11, 7956), (20274, 8, 7429)], 0.9207001, 'xrule'), ([(7469, 3, 368)], 0.677288100209577, 21591.663133150952), ([(9096, 8, 7411), (9096, 11, 7956), (7469, 8, 7411)], 0.13099957, 'xrule'), ([(7469, 3, 91), (20274, 3, 91), (20274, 11, 7956)], -0.079099655, 'xrule'), ([(9096, 11, 7956), (9096, 1, 65), (7469, 1, 65)], -0.7266998, 'xrule')]","[2.4213896, 3.7188277]",10,5,"[1, 1]",3.213222
"(5110, 8, 7410)",1.0,2.421318,"[([(5110, 3, 5114)], 1.0882845455281314, 0.7480585427301992)]","[2.2800589, 2.562577]",1,3,"[1, 1]",4.852529
"(6766, 10, 7830)",1.0,2.9580295,"[([(6766, 3, 78)], 2.176001658067253, 2.8980736465113734)]","[2.7725942, 3.1434648]",1,5,"[1, 1]",3.4640522
"(7838, 11, 7956)",1.0,2.8783138,"[([(7838, 3, 1005)], -0.6228646791806722, 2.3491301955613793)]","[2.2844896, 3.472138]",1,2,"[1, 1]",3.4227931
"(5770, 10, 7830)",1.0,3.0304205,"[([(22707, 10, 7830), (5770, 2, 31), (22707, 2, 31)], 3.1166, 'xrule'), ([(5770, 2, 789)], 2.476544520034135, 22124.92248104779), ([(13240, 10, 7830), (5770, 2, 31), (13240, 2, 31)], 2.3916006, 'xrule'), ([(14712, 10, 7830), (5770, 3, 58), (14712, 3, 58)], 2.3303003, 'xrule'), ([(14712, 10, 7830), (5770, 3, 41), (14712, 3, 41)], 1.9189005, 'xrule'), ([(19622, 2, 31), (5770, 2, 31), (19622, 10, 7830)], 0.89570045, 'xrule'), ([(8287, 10, 7830), (5770, 2, 31), (8287, 2, 31)], 0.8455, 'xrule'), ([(8416, 10, 7830), (5770, 2, 31), (8416, 2, 31)], 0.77750015, 'xrule'), ([(14712, 10, 7830), (5770, 2, 31), (14712, 2, 31)], 0.34420013, 'xrule'), ([(5770, 2, 31), (14377, 2, 31), (14377, 10, 7830)], 0.19890022, 'xrule'), ([(13240, 10, 7830), (5770, 3, 772), (13240, 3, 772)], -0.10319996, 'xrule')]","[2.8918118, 3.1690292]",11,5,"[1, 1]",4.1098666
"(7236, 9, 7903)",7.0,3.772551,"[([(7236, 3, 39), (11127, 3, 39), (11127, 9, 7903)], 3.4614, 'xrule'), ([(16201, 9, 7903), (16201, 3, 418), (7236, 3, 418)], 3.0853996, 'xrule'), ([(7236, 3, 39), (12767, 3, 39), (12767, 9, 7903)], 2.7502995, 'xrule'), ([(7236, 3, 39), (15410, 3, 39), (15410, 9, 7903)], 2.7466002, 'xrule'), ([(9737, 9, 7903), (7236, 3, 418), (9737, 3, 418)], 2.071, 'xrule'), ([(7236, 3, 39), (10198, 3, 39), (10198, 9, 7903)], 1.6159, 'xrule'), ([(10198, 3, 149), (7236, 3, 149), (10198, 9, 7903)], 1.3928003, 'xrule'), ([(7236, 3, 39), (16201, 3, 39), (16201, 9, 7903)], 1.2747002, 'xrule'), ([(7236, 3, 39), (15964, 3, 39), (15964, 9, 7903)], 1.0016994, 'xrule'), ([(16201, 9, 7903), (7236, 3, 149), (16201, 3, 149)], -0.71640015, 'xrule'), ([(7236, 3, 748)], -0.7192325137974848, 17179.32756200101)]","[3.7797785, 3.7653234]",11,9,"[6, 8]",2.871933
"(5920, 11, 7956)",1.0,3.134266,"[([(5920, 3, 74), (13851, 3, 74), (13851, 11, 7956)], -0.8361006, 'xrule'), ([(5920, 3, 5925)], -1.0756596991441005, 2692.2543282466904), ([(24085, 11, 7956), (24085, 3, 39), (5920, 3, 39)], -1.1548004, 'xrule'), ([(5920, 3, 74), (19418, 3, 74), (19418, 11, 7956)], -1.1728001, 'xrule'), ([(18840, 3, 279), (5920, 3, 279), (18840, 11, 7956)], -1.2807999, 'xrule'), ([(18334, 3, 39), (18334, 11, 7956), (5920, 3, 39)], -1.3383999, 'xrule'), ([(5920, 3, 74), (25366, 3, 74), (25366, 11, 7956)], -1.7735004, 'xrule'), ([(18840, 2, 68), (5920, 2, 68), (18840, 11, 7956)], -1.9714003, 'xrule'), ([(13851, 3, 748), (13851, 11, 7956), (5920, 3, 748)], -2.7540998, 'xrule'), ([(19418, 3, 218), (19418, 11, 7956), (5920, 3, 218)], -2.8881998, 'xrule'), ([(18840, 11, 7956), (18840, 3, 39), (5920, 3, 39)], -3.6201, 'xrule')]","[2.6459343, 3.6225972]",11,3,"[1, 1]",3.3415859
"(6492, 8, 7429)",1.0,2.3350244,"[([(6492, 3, 3448)], -0.6786317377782409, 2.33656674293862)]","[2.1945894, 2.4754596]",1,1,"[1, 1]",5.1737347
"(6300, 11, 7869)",2.0,3.253649,"[([(12557, 3, 40), (6300, 3, 40), (12557, 11, 7869)], 2.4836006, 'xrule'), ([(10240, 3, 40), (6300, 3, 40), (10240, 11, 7869)], 1.8845005, 'xrule'), ([(6300, 2, 31), (11925, 2, 31), (11925, 11, 7869)], 1.8048, 'xrule'), ([(11925, 3, 41), (6300, 3, 41), (11925, 11, 7869)], 1.0160007, 'xrule'), ([(15494, 3, 40), (6300, 3, 40), (15494, 11, 7869)], 0.85890007, 'xrule'), ([(6300, 2, 31), (11192, 11, 7869), (11192, 2, 31)], 0.7772007, 'xrule'), ([(11192, 3, 10), (11192, 11, 7869), (6300, 3, 10)], 0.61880016, 'xrule'), ([(6300, 3, 41), (11192, 11, 7869), (11192, 3, 41)], 0.35249996, 'xrule'), ([(11925, 11, 7869), (11925, 3, 10), (6300, 3, 10)], -0.009399414, 'xrule'), ([(6300, 1, 168)], -0.18223377007752833, 8.454567209930348), ([(11925, 3, 40), (6300, 3, 40), (11925, 11, 7869)], -0.4336996, 'xrule'), ([(10240, 2, 31), (6300, 2, 31), (10240, 11, 7869)], -0.8803997, 'xrule')]","[2.5812793, 3.9260187]",12,2,"[1, 3]",3.1339943
"(5067, 11, 7956)",1.0,2.9831443,"[([(5067, 3, 40)], 2.198107830641759, 11460.900079454714)]","[2.3655145, 3.6007743]",1,2,"[1, 1]",3.9591098
"(5781, 8, 7410)",1.0,2.4762385,"[([(5781, 2, 131), (17094, 8, 7410), (17094, 2, 131)], 1.6019001, 'xrule'), ([(14788, 8, 7410), (5781, 2, 31), (14788, 2, 31)], 1.4958, 'xrule'), ([(5781, 2, 31), (22405, 2, 31), (22405, 8, 7410)], 1.1513996, 'xrule'), ([(5781, 3, 434)], 0.9522495767382819, 1.7215673509662697), ([(5781, 2, 31), (21960, 2, 31), (21960, 8, 7410)], 0.6595001, 'xrule'), ([(5781, 2, 31), (11569, 2, 31), (11569, 8, 7410)], 0.1743002, 'xrule'), ([(17094, 2, 31), (17094, 8, 7410), (5781, 2, 31)], -0.55130005, 'xrule'), ([(5781, 2, 131), (20003, 8, 7410), (20003, 2, 131)], -0.7023001, 'xrule'), ([(5781, 2, 31), (20003, 8, 7410), (20003, 2, 31)], -0.73840046, 'xrule'), ([(5781, 2, 31), (21828, 2, 31), (21828, 8, 7410)], -1.1042004, 'xrule'), ([(5781, 2, 31), (16162, 8, 7410), (16162, 2, 31)], -1.2364998, 'xrule')]","[2.438686, 2.513791]",11,3,"[1, 1]",5.775256
"(4870, 8, 7408)",3.0,2.3925471,"[([(15219, 8, 7408), (4870, 2, 31), (15219, 2, 31)], 1.8508997, 'xrule'), ([(4870, 3, 88)], 1.5315218656048863, 153.82222886220399), ([(4870, 3, 10), (15219, 3, 10), (15219, 8, 7408)], 0.011799812, 'xrule'), ([(4870, 3, 149), (20789, 8, 7408), (20789, 3, 149)], -0.16090012, 'xrule'), ([(4870, 3, 10), (17883, 8, 7408), (17883, 3, 10)], -0.4151001, 'xrule'), ([(17883, 8, 7408), (17883, 2, 31), (4870, 2, 31)], -0.7055998, 'xrule'), ([(20789, 2, 31), (20789, 8, 7408), (4870, 2, 31)], -0.7536001, 'xrule'), ([(4870, 3, 149), (15219, 3, 149), (15219, 8, 7408)], -1.2213001, 'xrule'), ([(4870, 3, 149), (23195, 3, 149), (23195, 8, 7408)], -1.9626999, 'xrule'), ([(9688, 8, 7408), (9688, 2, 31), (4870, 2, 31)], -3.1622, 'xrule'), ([(23195, 8, 7408), (4870, 2, 31), (23195, 2, 31)], -6.4344997, 'xrule')]","[2.2911956, 2.4938984]",11,2,"[3, 3]",5.1319237
"(6373, 10, 7830)",1.0,3.1026392,"[([(6373, 2, 68), (23552, 10, 7830), (23552, 2, 68)], 2.3731995, 'xrule'), ([(23374, 10, 7830), (23374, 3, 10), (6373, 3, 10)], 1.8639002, 'xrule'), ([(6373, 2, 4244)], 1.4312153504946772, 10.8070906008197), ([(25548, 10, 7830), (6373, 3, 10), (25548, 3, 10)], 0.35459995, 'xrule'), ([(23374, 10, 7830), (23374, 3, 9), (6373, 3, 9)], 0.24720001, 'xrule'), ([(23552, 10, 7830), (23552, 3, 9), (6373, 3, 9)], -0.06099987, 'xrule'), ([(6373, 3, 731), (23552, 10, 7830), (23552, 3, 731)], -0.2453003, 'xrule'), ([(6373, 2, 68), (22843, 10, 7830), (22843, 2, 68)], -0.84380054, 'xrule'), ([(23552, 10, 7830), (23552, 3, 10), (6373, 3, 10)], -1.2153997, 'xrule'), ([(6373, 2, 68), (23374, 10, 7830), (23374, 2, 68)], -1.3762999, 'xrule'), ([(6373, 2, 68), (17302, 10, 7830), (17302, 2, 68)], -1.9049006, 'xrule')]","[2.8807049, 3.3245733]",11,5,"[1, 1]",4.1042304
"(5107, 11, 7869)",2.0,3.4079268,"[([(5107, 3, 10), (21088, 3, 10), (21088, 11, 7869)], 1.3827, 'xrule'), ([(5107, 2, 68), (13761, 2, 68), (13761, 11, 7869)], 1.2793007, 'xrule'), ([(5107, 3, 1061), (21088, 3, 1061), (21088, 11, 7869)], 0.83820057, 'xrule'), ([(5107, 3, 1061)], 0.35341553044954227, 3498.5874455803882), ([(5107, 2, 68), (23513, 11, 7869), (23513, 2, 68)], -0.028899193, 'xrule'), ([(5107, 3, 10), (11759, 3, 10), (11759, 11, 7869)], -0.6499996, 'xrule'), ([(5107, 2, 68), (11759, 2, 68), (11759, 11, 7869)], -0.89979935, 'xrule'), ([(5107, 2, 68), (21088, 2, 68), (21088, 11, 7869)], -1.3869991, 'xrule'), ([(5107, 3, 149), (11759, 3, 149), (11759, 11, 7869)], -1.4031, 'xrule'), ([(5107, 3, 149), (21088, 3, 149), (21088, 11, 7869)], -2.1168995, 'xrule'), ([(5107, 3, 10), (23513, 11, 7869), (23513, 3, 10)], -2.5527, 'xrule')]","[2.9134393, 3.9024143]",11,4,"[1, 3]",3.9894578
"(7628, 12, 4492)",1.0,4.0599666,"[([(7628, 3, 38)], 0.11709789474757638, 18188.529241058728)]","[4.696438, 3.4234955]",1,3,"[1, 1]",2.7237372
