#facts,new_scores,new_score,original_score,new_rank,prediction,original_rank,new_ranks,facts
11,"[2.5646281, 2.8119988]",2.6883135,5.182078,4.5,"(5305, 8, 7410)",3,"[3, 6]","[([(5305, 2, 31), (19943, 2, 31), (19943, 8, 7410)], 1.4251003, 'xrule'), ([(5305, 3, 41), (14559, 8, 7410), (14559, 3, 41)], 1.3154001, 'xrule'), ([(5305, 3, 6), (14559, 3, 6), (14559, 8, 7410)], 0.80650043, 'xrule'), ([(14559, 8, 7410), (5305, 2, 172), (14559, 2, 172)], 0.6501999, 'xrule'), ([(23608, 8, 7410), (5305, 2, 31), (23608, 2, 31)], 0.625, 'xrule'), ([(5305, 2, 31), (14559, 2, 31), (14559, 8, 7410)], 0.5689001, 'xrule'), ([(5305, 2, 31), (16573, 8, 7410), (16573, 2, 31)], 0.21110058, 'xrule'), ([(19943, 8, 7410), (5305, 2, 172), (19943, 2, 172)], -0.18270016, 'xrule'), ([(23816, 3, 6), (23816, 8, 7410), (5305, 3, 6)], -1.4952993, 'xrule'), ([(5305, 2, 30), (14559, 2, 30), (14559, 8, 7410)], -2.2919998, 'xrule'), ([(5305, 3, 175)], -2.6756923924826426, 18011.064423010896)]"
1,"[2.2992764, 2.6085727]",2.4539247,4.9720592,3.0,"(6766, 8, 7410)",4,"[2, 4]","[([(6766, 3, 1417), (6766, 3, 40), (6766, 3, 476)], -0.429188686435718, 22.39432007238164)]"
11,"[2.8011541, 2.9647799]",2.882967,5.244982,5.5,"(6730, 8, 7408)",1,"[6, 5]","[([(6730, 3, 10), (25390, 8, 7408), (25390, 3, 10)], 5.3201, 'xrule'), ([(8161, 8, 7408), (6730, 3, 78), (8161, 3, 78)], 3.3126001, 'xrule'), ([(6730, 3, 78), (25390, 8, 7408), (25390, 3, 78)], 2.6963005, 'xrule'), ([(6730, 3, 9), (25390, 3, 9), (25390, 8, 7408)], 2.6763, 'xrule'), ([(6730, 3, 10), (21364, 3, 10), (21364, 8, 7408)], 2.3844004, 'xrule'), ([(6730, 3, 78), (21297, 8, 7408), (21297, 3, 78)], 2.2717, 'xrule'), ([(6730, 3, 9), (21364, 8, 7408), (21364, 3, 9)], 1.4723997, 'xrule'), ([(6730, 3, 9), (21297, 3, 9), (21297, 8, 7408)], 1.1025, 'xrule'), ([(21364, 8, 7408), (6730, 3, 78), (21364, 3, 78)], 0.19089985, 'xrule'), ([(6730, 3, 10), (15227, 3, 10), (15227, 8, 7408)], 0.15280056, 'xrule'), ([(6730, 2, 309)], -2.0129069320929376, 24703.117854413438)]"
11,"[4.592608, 3.7370095]",4.1648088,2.8666697,1.5,"(7536, 12, 4492)",5,"[1, 2]","[([(19666, 3, 651), (19666, 12, 4492), (7536, 3, 651)], 0.5738001, 'xrule'), ([(10558, 8, 7393), (7536, 8, 7393), (10558, 12, 4492)], 0.5507002, 'xrule'), ([(19666, 2, 68), (7536, 2, 68), (19666, 12, 4492)], 0.51329994, 'xrule'), ([(19666, 3, 37), (19666, 12, 4492), (7536, 3, 37)], 0.41469955, 'xrule'), ([(11978, 12, 4492), (7536, 2, 68), (11978, 2, 68)], 0.37110043, 'xrule'), ([(7536, 2, 68)], -0.18645473260995724, 22538.45352088416), ([(18840, 2, 68), (18840, 12, 4492), (7536, 2, 68)], -0.30819988, 'xrule'), ([(10558, 12, 4492), (7536, 2, 68), (10558, 2, 68)], -1.1049995, 'xrule'), ([(19666, 3, 1839), (19666, 12, 4492), (7536, 3, 1839)], -1.2325001, 'xrule'), ([(10558, 2, 30), (10558, 12, 4492), (7536, 2, 30)], -1.9581003, 'xrule'), ([(11978, 12, 4492), (11978, 2, 30), (7536, 2, 30)], -2.9888, 'xrule')]"
12,"[2.4572272, 2.602852]",2.5300398,5.207631,2.5,"(6162, 8, 7427)",6,"[1, 4]","[([(18068, 2, 31), (18068, 8, 7427), (6162, 2, 31)], 4.5158005, 'xrule'), ([(24564, 8, 7427), (6162, 2, 31), (24564, 2, 31)], 3.7647, 'xrule'), ([(24564, 8, 7427), (6162, 3, 346), (24564, 3, 346)], 3.4568996, 'xrule'), ([(22396, 2, 31), (22396, 8, 7427), (6162, 2, 31)], 2.8603, 'xrule'), ([(17289, 8, 7427), (6162, 2, 31), (17289, 2, 31)], 2.1882, 'xrule'), ([(15654, 8, 7427), (6162, 2, 31), (15654, 2, 31)], 1.6026993, 'xrule'), ([(25180, 2, 31), (25180, 8, 7427), (6162, 2, 31)], 1.5489998, 'xrule'), ([(6162, 2, 31), (10273, 8, 7427), (10273, 2, 31)], 1.3316994, 'xrule'), ([(22515, 8, 7427), (22515, 2, 31), (6162, 2, 31)], 1.1201992, 'xrule'), ([(6162, 3, 149)], 0.3373785430190395, 19463.58355358949), ([(6162, 2, 31), (7426, 2, 31), (7426, 8, 7427)], 0.15499973, 'xrule'), ([(21386, 8, 7427), (21386, 2, 31), (6162, 2, 31)], -0.074700356, 'xrule')]"
11,"[2.2855034, 2.4420004]",2.363752,4.879652,2.0,"(5041, 8, 7427)",11,"[1, 3]","[([(5041, 2, 68), (24600, 8, 7427), (24600, 2, 68)], 0.6140003, 'xrule'), ([(5041, 3, 6), (14100, 3, 6), (14100, 8, 7427)], 0.4918003, 'xrule'), ([(5041, 3, 346), (5041, 3, 56), (5041, 3, 10), (5041, 2, 28)], -0.11800094406908275, 1062.4705339370453), ([(5041, 2, 68), (18043, 2, 68), (18043, 8, 7427)], -0.17809963, 'xrule'), ([(5041, 2, 68), (24326, 2, 68), (24326, 8, 7427)], -0.59979916, 'xrule'), ([(5041, 3, 78), (24326, 3, 78), (24326, 8, 7427)], -1.3105993, 'xrule'), ([(5041, 2, 68), (7788, 8, 7427), (7788, 2, 68)], -1.3501997, 'xrule'), ([(5041, 3, 78), (18043, 3, 78), (18043, 8, 7427)], -1.9567995, 'xrule'), ([(5041, 3, 78), (24600, 8, 7427), (24600, 3, 78)], -2.3076992, 'xrule'), ([(25768, 8, 7427), (5041, 3, 6), (25768, 3, 6)], -2.3680992, 'xrule'), ([(24326, 8, 7427), (5041, 3, 47), (24326, 3, 47)], -3.0955992, 'xrule')]"
12,"[2.6437075, 3.658008]",3.150858,3.2896733,1.5,"(6822, 11, 7869)",2,"[1, 2]","[([(6822, 2, 30), (13441, 11, 7869), (13441, 2, 30)], 2.4862003, 'xrule'), ([(6822, 3, 40), (11565, 3, 40), (11565, 11, 7869)], 1.8781004, 'xrule'), ([(9576, 11, 7869), (9576, 3, 39), (6822, 3, 39)], 1.8121996, 'xrule'), ([(6822, 3, 40), (9576, 3, 40), (9576, 11, 7869)], 1.0174999, 'xrule'), ([(6822, 4, 66), (9608, 4, 66), (9608, 11, 7869)], 0.8625002, 'xrule'), ([(11565, 3, 6), (11565, 11, 7869), (6822, 3, 6)], 0.77320004, 'xrule'), ([(6822, 2, 30), (11565, 2, 30), (11565, 11, 7869)], 0.6227999, 'xrule'), ([(6822, 4, 66), (11565, 4, 66), (11565, 11, 7869)], 0.35289955, 'xrule'), ([(9576, 11, 7869), (9576, 3, 6), (6822, 3, 6)], -0.0036001205, 'xrule'), ([(6822, 3, 9)], -0.18402238626895806, 8.454123783988424), ([(6822, 3, 40), (10240, 3, 40), (10240, 11, 7869)], -0.4347, 'xrule'), ([(6822, 2, 30), (9576, 11, 7869), (9576, 2, 30)], -0.8731003, 'xrule')]"
1,"[2.5268192, 3.4728115]",2.9998155,3.0966597,1.0,"(7769, 11, 7956)",3,"[1, 1]","[([(7769, 3, 9)], 0.5344343614669002, 16889.63051675119)]"
10,"[2.5393443, 3.6029663]",3.0711553,3.213222,1.0,"(7469, 11, 7956)",5,"[1, 1]","[([(7469, 3, 91)], 2.0769358691582753, 23449.888641163812), ([(10914, 1, 65), (7469, 1, 65), (10914, 11, 7956)], 2.0503998, 'xrule'), ([(7469, 8, 7429), (25281, 11, 7956), (25281, 8, 7429)], 1.7313995, 'xrule'), ([(7469, 8, 7409), (20274, 8, 7409), (20274, 11, 7956)], 1.6100998, 'xrule'), ([(20775, 11, 7956), (20775, 1, 65), (7469, 1, 65)], 1.5579004, 'xrule'), ([(7469, 3, 91), (9096, 11, 7956), (9096, 3, 91)], 1.3329, 'xrule'), ([(7469, 8, 7429), (20274, 11, 7956), (20274, 8, 7429)], 0.9207001, 'xrule'), ([(9096, 8, 7411), (9096, 11, 7956), (7469, 8, 7411)], 0.13099957, 'xrule'), ([(7469, 3, 91), (20274, 3, 91), (20274, 11, 7956)], -0.079099655, 'xrule'), ([(9096, 11, 7956), (9096, 1, 65), (7469, 1, 65)], -0.7266998, 'xrule')]"
1,"[2.4290962, 2.680667]",2.5548816,4.852529,2.0,"(5110, 8, 7410)",3,"[1, 3]","[([(5110, 3, 50)], 0.30565742771390514, 17664.57582492614)]"
1,"[2.8156805, 3.1167207]",2.9662006,3.4640522,1.0,"(6766, 10, 7830)",5,"[1, 1]","[([(6766, 3, 10)], -0.3212070054582869, 14.420381609566318)]"
1,"[2.3865333, 3.3822856]",2.8844094,3.4227931,1.0,"(7838, 11, 7956)",2,"[1, 1]","[([(7838, 3, 7844)], -1.1630649015188228, 5.238110812711305)]"
11,"[2.9964373, 3.0564632]",3.0264502,4.1098666,1.0,"(5770, 10, 7830)",5,"[1, 1]","[([(22707, 10, 7830), (5770, 2, 31), (22707, 2, 31)], 3.1166, 'xrule'), ([(13240, 10, 7830), (5770, 2, 31), (13240, 2, 31)], 2.3916006, 'xrule'), ([(14712, 10, 7830), (5770, 3, 58), (14712, 3, 58)], 2.3303003, 'xrule'), ([(14712, 10, 7830), (5770, 3, 41), (14712, 3, 41)], 1.9189005, 'xrule'), ([(19622, 2, 31), (5770, 2, 31), (19622, 10, 7830)], 0.89570045, 'xrule'), ([(8287, 10, 7830), (5770, 2, 31), (8287, 2, 31)], 0.8455, 'xrule'), ([(8416, 10, 7830), (5770, 2, 31), (8416, 2, 31)], 0.77750015, 'xrule'), ([(5770, 3, 5779)], 0.5393591356944824, 35.63166331377537), ([(14712, 10, 7830), (5770, 2, 31), (14712, 2, 31)], 0.34420013, 'xrule'), ([(5770, 2, 31), (14377, 2, 31), (14377, 10, 7830)], 0.19890022, 'xrule'), ([(13240, 10, 7830), (5770, 3, 772), (13240, 3, 772)], -0.10319996, 'xrule')]"
11,"[3.8330312, 3.778819]",3.8059251,2.871933,6.5,"(7236, 9, 7903)",9,"[7, 6]","[([(7236, 3, 39), (11127, 3, 39), (11127, 9, 7903)], 3.4614, 'xrule'), ([(16201, 9, 7903), (16201, 3, 418), (7236, 3, 418)], 3.0853996, 'xrule'), ([(7236, 3, 39), (12767, 3, 39), (12767, 9, 7903)], 2.7502995, 'xrule'), ([(7236, 3, 39), (15410, 3, 39), (15410, 9, 7903)], 2.7466002, 'xrule'), ([(9737, 9, 7903), (7236, 3, 418), (9737, 3, 418)], 2.071, 'xrule'), ([(7236, 3, 39), (10198, 3, 39), (10198, 9, 7903)], 1.6159, 'xrule'), ([(10198, 3, 149), (7236, 3, 149), (10198, 9, 7903)], 1.3928003, 'xrule'), ([(7236, 3, 39), (16201, 3, 39), (16201, 9, 7903)], 1.2747002, 'xrule'), ([(7236, 3, 39), (15964, 3, 39), (15964, 9, 7903)], 1.0016994, 'xrule'), ([(16201, 9, 7903), (7236, 3, 149), (16201, 3, 149)], -0.71640015, 'xrule'), ([(7236, 3, 748)], -0.7192325137974848, 17179.32756200101)]"
11,"[2.5487976, 3.4874094]",3.0181036,3.3415859,1.0,"(5920, 11, 7956)",3,"[1, 1]","[([(5920, 3, 5928)], 1.8816238321105283, 2809.8677975218475), ([(5920, 3, 74), (13851, 3, 74), (13851, 11, 7956)], -0.8361006, 'xrule'), ([(24085, 11, 7956), (24085, 3, 39), (5920, 3, 39)], -1.1548004, 'xrule'), ([(5920, 3, 74), (19418, 3, 74), (19418, 11, 7956)], -1.1728001, 'xrule'), ([(18840, 3, 279), (5920, 3, 279), (18840, 11, 7956)], -1.2807999, 'xrule'), ([(18334, 3, 39), (18334, 11, 7956), (5920, 3, 39)], -1.3383999, 'xrule'), ([(5920, 3, 74), (25366, 3, 74), (25366, 11, 7956)], -1.7735004, 'xrule'), ([(18840, 2, 68), (5920, 2, 68), (18840, 11, 7956)], -1.9714003, 'xrule'), ([(13851, 3, 748), (13851, 11, 7956), (5920, 3, 748)], -2.7540998, 'xrule'), ([(19418, 3, 218), (19418, 11, 7956), (5920, 3, 218)], -2.8881998, 'xrule'), ([(18840, 11, 7956), (18840, 3, 39), (5920, 3, 39)], -3.6201, 'xrule')]"
1,"[2.2970645, 2.565187]",2.4311256,5.1737347,2.5,"(6492, 8, 7429)",1,"[2, 3]","[([(6492, 3, 3448), (6492, 2, 68)], 0.9223738208278665, 10.715525531043399)]"
12,"[2.6422634, 3.8035975]",3.2229304,3.1339943,1.5,"(6300, 11, 7869)",2,"[1, 2]","[([(12557, 3, 40), (6300, 3, 40), (12557, 11, 7869)], 2.4836006, 'xrule'), ([(10240, 3, 40), (6300, 3, 40), (10240, 11, 7869)], 1.8845005, 'xrule'), ([(6300, 2, 31), (11925, 2, 31), (11925, 11, 7869)], 1.8048, 'xrule'), ([(11925, 3, 41), (6300, 3, 41), (11925, 11, 7869)], 1.0160007, 'xrule'), ([(15494, 3, 40), (6300, 3, 40), (15494, 11, 7869)], 0.85890007, 'xrule'), ([(6300, 2, 31), (11192, 11, 7869), (11192, 2, 31)], 0.7772007, 'xrule'), ([(11192, 3, 10), (11192, 11, 7869), (6300, 3, 10)], 0.61880016, 'xrule'), ([(6300, 3, 41), (11192, 11, 7869), (11192, 3, 41)], 0.35249996, 'xrule'), ([(11925, 11, 7869), (11925, 3, 10), (6300, 3, 10)], -0.009399414, 'xrule'), ([(6300, 1, 168)], -0.18223377007752833, 8.454567209930348), ([(11925, 3, 40), (6300, 3, 40), (11925, 11, 7869)], -0.4336996, 'xrule'), ([(10240, 2, 31), (6300, 2, 31), (10240, 11, 7869)], -0.8803997, 'xrule')]"
1,"[2.4941459, 3.5248244]",3.0094852,3.9591098,1.0,"(5067, 11, 7956)",2,"[1, 1]","[([(5067, 3, 10), (5067, 3, 1074)], 0.4831848568542136, 1059.618499639774)]"
11,"[2.5650594, 2.5452042]",2.555132,5.775256,3.0,"(5781, 8, 7410)",3,"[1, 5]","[([(5781, 2, 131), (17094, 8, 7410), (17094, 2, 131)], 1.6019001, 'xrule'), ([(14788, 8, 7410), (5781, 2, 31), (14788, 2, 31)], 1.4958, 'xrule'), ([(5781, 2, 31), (22405, 2, 31), (22405, 8, 7410)], 1.1513996, 'xrule'), ([(5781, 2, 31), (21960, 2, 31), (21960, 8, 7410)], 0.6595001, 'xrule'), ([(5781, 2, 31), (11569, 2, 31), (11569, 8, 7410)], 0.1743002, 'xrule'), ([(17094, 2, 31), (17094, 8, 7410), (5781, 2, 31)], -0.55130005, 'xrule'), ([(5781, 2, 131), (20003, 8, 7410), (20003, 2, 131)], -0.7023001, 'xrule'), ([(5781, 2, 31), (20003, 8, 7410), (20003, 2, 31)], -0.73840046, 'xrule'), ([(5781, 3, 772)], -0.7875546944064927, 28.312693954961283), ([(5781, 2, 31), (21828, 2, 31), (21828, 8, 7410)], -1.1042004, 'xrule'), ([(5781, 2, 31), (16162, 8, 7410), (16162, 2, 31)], -1.2364998, 'xrule')]"
11,"[2.476817, 2.5355043]",2.5061607,5.1319237,3.5,"(4870, 8, 7408)",2,"[4, 3]","[([(15219, 8, 7408), (4870, 2, 31), (15219, 2, 31)], 1.8508997, 'xrule'), ([(4870, 3, 3987)], 0.5819626289374953, 132.64151887208462), ([(4870, 3, 10), (15219, 3, 10), (15219, 8, 7408)], 0.011799812, 'xrule'), ([(4870, 3, 149), (20789, 8, 7408), (20789, 3, 149)], -0.16090012, 'xrule'), ([(4870, 3, 10), (17883, 8, 7408), (17883, 3, 10)], -0.4151001, 'xrule'), ([(17883, 8, 7408), (17883, 2, 31), (4870, 2, 31)], -0.7055998, 'xrule'), ([(20789, 2, 31), (20789, 8, 7408), (4870, 2, 31)], -0.7536001, 'xrule'), ([(4870, 3, 149), (15219, 3, 149), (15219, 8, 7408)], -1.2213001, 'xrule'), ([(4870, 3, 149), (23195, 3, 149), (23195, 8, 7408)], -1.9626999, 'xrule'), ([(9688, 8, 7408), (9688, 2, 31), (4870, 2, 31)], -3.1622, 'xrule'), ([(23195, 8, 7408), (4870, 2, 31), (23195, 2, 31)], -6.4344997, 'xrule')]"
11,"[3.042467, 3.2432916]",3.1428795,4.1042304,1.0,"(6373, 10, 7830)",5,"[1, 1]","[([(6373, 2, 68), (23552, 10, 7830), (23552, 2, 68)], 2.3731995, 'xrule'), ([(23374, 10, 7830), (23374, 3, 10), (6373, 3, 10)], 1.8639002, 'xrule'), ([(25548, 10, 7830), (6373, 3, 10), (25548, 3, 10)], 0.35459995, 'xrule'), ([(23374, 10, 7830), (23374, 3, 9), (6373, 3, 9)], 0.24720001, 'xrule'), ([(23552, 10, 7830), (23552, 3, 9), (6373, 3, 9)], -0.06099987, 'xrule'), ([(6373, 3, 731), (23552, 10, 7830), (23552, 3, 731)], -0.2453003, 'xrule'), ([(6373, 2, 68), (6373, 3, 78), (6373, 2, 31)], -0.4489745673457095, 8.389604589499305), ([(6373, 2, 68), (22843, 10, 7830), (22843, 2, 68)], -0.84380054, 'xrule'), ([(23552, 10, 7830), (23552, 3, 10), (6373, 3, 10)], -1.2153997, 'xrule'), ([(6373, 2, 68), (23374, 10, 7830), (23374, 2, 68)], -1.3762999, 'xrule'), ([(6373, 2, 68), (17302, 10, 7830), (17302, 2, 68)], -1.9049006, 'xrule')]"
