original_rank,facts,original_score,new_score,new_scores,new_rank,new_ranks,prediction,#facts
1,"[(3741, 6, 9062), (3741, 0, 3742), (3741, 6, 29582)]",1.0016706,2.6968064,"[2.572928, 2.8206847]",36.5,"[43, 30]","(3741, 6, 11977)",3
1,"[(18018, 2, 121)]",1.0748414,5.001072,"[5.0114546, 4.990689]",84.0,"[46, 122]","(18018, 2, 916)",1
1,"[(36972, 0, 220), (13177, 2, 36972), (11166, 0, 36972)]",4.8635826,5.129525,"[5.063496, 5.1955543]",13.0,"[1, 25]","(36972, 5, 172)",3
1,"[(33791, 4, 11695), (33791, 4, 36514), (19383, 4, 33791)]",1.1540937,5.335131,"[5.305672, 5.36459]",13865.0,"[2339, 25391]","(33791, 0, 2687)",3
1,"[(2924, 4, 33324)]",0.75780964,5.0127907,"[5.1124883, 4.9130936]",2115.5,"[297, 3934]","(33324, 0, 284)",1
1,"[(18332, 4, 18333), (18333, 4, 1248)]",1.5995007,5.267335,"[5.0408597, 5.4938097]",12713.0,"[126, 25300]","(18333, 0, 1929)",2
1,"[(3408, 8, 27097), (38312, 0, 27097)]",2.6455247,5.3415747,"[5.57421, 5.108939]",4375.0,"[8382, 368]","(27097, 0, 10241)",2
1,"[(19442, 5, 774), (3188, 8, 19442)]",1.2696587,5.921724,"[6.7687364, 5.0747113]",46.0,"[91, 1]","(19442, 2, 1137)",2
1,"[(1864, 4, 15092), (1864, 4, 1865), (1864, 4, 14164)]",1.4160054,1.2475305,"[1.341887, 1.1531739]",1.5,"[1, 2]","(1864, 0, 1703)",3
1,"[(18451, 5, 2971), (18451, 0, 17127)]",0.9023785,4.8238564,"[5.0386124, 4.6091003]",71.0,"[95, 47]","(18451, 5, 1238)",2
1,"[(3608, 4, 7396), (7396, 4, 7397), (7396, 4, 9983)]",2.1907704,1.2945888,"[1.4558537, 1.1333239]",1.0,"[1, 1]","(7396, 0, 39)",3
1,"[(15952, 4, 19515), (15951, 4, 15952)]",2.5990837,4.7372017,"[4.822857, 4.651546]",451.5,"[674, 229]","(15952, 0, 3163)",2
1,"[(40221, 0, 3411)]",2.976766,5.2307677,"[5.772456, 4.6890793]",46.5,"[90, 3]","(40221, 5, 73)",1
1,"[(33163, 5, 19146), (33163, 0, 34125)]",1.3780348,5.495041,"[5.5783067, 5.4117746]",64.5,"[35, 94]","(33163, 5, 4554)",2
1,"[(6122, 4, 19351), (19351, 4, 11121)]",1.6982498,5.2121906,"[5.1579237, 5.266458]",10203.0,"[122, 20284]","(19351, 0, 265)",2
1,"[(1864, 4, 14814), (14814, 4, 14815)]",0.8656637,5.065415,"[5.061006, 5.0698237]",435.0,"[745, 125]","(14814, 0, 292)",2
1,"[(21561, 4, 21562), (21561, 4, 7954), (1930, 4, 21561)]",1.9819248,1.6381612,"[1.5064124, 1.7699099]",1.5,"[2, 1]","(21561, 0, 39)",3
1,"[(7922, 4, 34758)]",1.2893803,4.9373193,"[4.971903, 4.9027357]",2488.0,"[4714, 262]","(34758, 0, 284)",1
1,"[(1432, 4, 38617)]",1.6508205,4.8108826,"[4.8916917, 4.730074]",4264.0,"[8492, 36]","(38617, 0, 21)",1
1,"[(4927, 6, 9939)]",1.4379002,4.807423,"[4.987792, 4.627054]",10.0,"[11, 9]","(9939, 2, 2580)",1
1,"[(76, 4, 36255), (36255, 6, 33439)]",1.2075223,5.1130695,"[5.1165895, 5.1095495]",5661.5,"[7009, 4314]","(36255, 0, 10055)",2
1,"[(12272, 6, 31376), (10052, 6, 31376), (23887, 6, 31376)]",0.3502208,5.4700556,"[6.1534386, 4.7866726]",83.0,"[164, 2]","(31376, 2, 743)",3
1,"[(14888, 4, 14889), (14888, 4, 24718), (14888, 4, 35180)]",0.6015825,0.6048297,"[0.49339497, 0.7162645]",1.5,"[1, 2]","(14888, 0, 2518)",3
1,"[(35944, 2, 121)]",0.8335239,5.1337113,"[5.0684237, 5.198999]",7.0,"[7, 7]","(35944, 2, 916)",1
1,"[(5767, 4, 19213), (5767, 4, 24316), (5767, 4, 10066)]",1.4449646,0.84042704,"[0.8335857, 0.84726846]",2.0,"[2, 2]","(5767, 4, 21704)",3
1,"[(21810, 4, 37756)]",1.6959426,5.2509084,"[5.161413, 5.3404036]",20734.5,"[13592, 27877]","(37756, 0, 278)",1
1,"[(7700, 6, 38545), (523, 6, 38545)]",0.52756256,4.839513,"[4.872098, 4.806928]",90.0,"[69, 111]","(38545, 2, 3943)",2
1,"[(6962, 4, 1521), (1521, 4, 1522)]",2.5358155,5.4125137,"[5.5182557, 5.3067718]",692.5,"[217, 1168]","(1521, 0, 532)",2
1,"[(1864, 4, 516), (516, 4, 517)]",0.56383824,5.1585975,"[5.1232815, 5.1939135]",1413.5,"[676, 2151]","(516, 0, 292)",2
1,"[(10303, 1, 1771), (1771, 1, 10303), (28372, 1, 10303)]",2.244032,1.375023,"[1.1731648, 1.5768812]",42.0,"[12, 72]","(10303, 0, 1380)",3
1,"[(2381, 6, 21795), (2381, 6, 33080), (2381, 6, 5200)]",0.6526841,1.095722,"[1.0726411, 1.1188028]",3.0,"[1, 5]","(2381, 2, 12273)",3
1,"[(14588, 2, 916), (8693, 6, 14588)]",0.89742965,5.6286945,"[5.46249, 5.794899]",98.0,"[32, 164]","(14588, 2, 121)",2
1,"[(193, 6, 37558), (37558, 6, 37709)]",0.9920295,5.55066,"[5.4061832, 5.695137]",49.5,"[4, 95]","(37558, 2, 741)",2
1,"[(15314, 4, 39375)]",3.3573053,5.276716,"[5.421941, 5.131491]",3678.0,"[437, 6919]","(39375, 0, 265)",1
1,"[(1038, 4, 30773)]",1.2787083,5.076549,"[5.02824, 5.124858]",3725.5,"[7306, 145]","(30773, 0, 184)",1
1,"[(27989, 5, 2404), (27989, 2, 499), (27989, 2, 1646)]",0.405201,5.959112,"[6.5974774, 5.320747]",62.0,"[55, 69]","(27989, 2, 17930)",3
1,"[(15016, 4, 37725)]",1.7977273,5.868381,"[6.2006063, 5.5361557]",1314.5,"[1497, 1132]","(37725, 0, 23377)",1
1,"[(512, 4, 22121), (22121, 4, 13498)]",0.61166525,5.1479597,"[5.0236216, 5.272298]",542.5,"[230, 855]","(22121, 0, 351)",2
1,"[(450, 4, 27757), (27757, 4, 13223)]",1.4945084,5.32565,"[5.566454, 5.084846]",2856.0,"[5467, 245]","(27757, 0, 1929)",2
1,"[(7396, 4, 7397), (7397, 4, 34529), (7397, 4, 39152)]",0.49443048,0.74956274,"[0.8188271, 0.68029845]",1.5,"[2, 1]","(7397, 0, 296)",3
1,"[(4502, 6, 36622), (637, 8, 36622)]",1.264704,5.0388365,"[5.182482, 4.8951917]",42.5,"[63, 22]","(36622, 2, 2580)",2
1,"[(17623, 4, 25076)]",2.0178685,5.0025997,"[4.629548, 5.375652]",146.0,"[13, 279]","(25076, 0, 265)",1
1,"[(13084, 4, 35086), (35086, 4, 38712)]",1.266521,5.375367,"[5.15646, 5.5942745]",9134.0,"[17577, 691]","(35086, 0, 1929)",2
1,"[(5382, 4, 29122), (29122, 1, 5382), (5382, 1, 29122)]",3.2201586,5.086212,"[4.95855, 5.213874]",6980.5,"[2382, 11579]","(29122, 0, 1500)",3
1,"[(23647, 0, 14302)]",1.3406936,5.6764855,"[5.312421, 6.04055]",1509.0,"[839, 2179]","(23647, 0, 1338)",1
