new_scores,original_score,new_ranks,#facts,prediction,new_score,original_rank,facts,new_rank
"[0.094646305, 0.115284905]",1.2048147,"[1, 1]",3,"(80, 19, 559)",0.104965605,1,"[(1367, 3, 80), (4602, 8, 80), (80, 3, 6697)]",1.0
"[0.40208736, 0.5335349]",5.6463876,"[1, 1]",3,"(2446, 48, 32)",0.4678111,1,"[(9147, 71, 2446), (578, 47, 2446), (5945, 12, 2446)]",1.0
"[0.8416199, 1.9501078]",9.008254,"[2, 1]",3,"(11737, 43, 141)",1.3958639,2,"[(11737, 24, 249), (11737, 66, 249), (11737, 48, 1124)]",1.5
"[5.245489, 5.224001]",9.085274,"[1, 1]",4,"(2899, 25, 62)",5.234745,1,"[(2899, 83, 2900), (2899, 46, 9740), (2899, 199, 2900), (2899, 46, 9740)]",1.0
"[0.18154132, 0.21148252]",3.7558599,"[2, 3]",3,"(4551, 26, 1098)",0.19651192,2,"[(77, 7, 4551), (4551, 26, 990), (1085, 6, 4551)]",2.5
"[4.496537, 2.6454997]",8.62182,"[3, 1]",3,"(12379, 120, 791)",3.5710185,1,"[(12379, 133, 32), (3796, 15, 12379), (12379, 194, 3796)]",2.0
"[0.24672788, 0.42559785]",5.3139343,"[1, 1]",3,"(6597, 48, 32)",0.33616287,1,"[(6597, 66, 592), (6710, 3, 6597), (6597, 19, 1661)]",1.0
"[0.33615974, 0.2665456]",3.4511123,"[2, 1]",3,"(5745, 35, 2589)",0.30135268,9,"[(4733, 64, 5745), (5745, 35, 611), (5745, 64, 7663)]",1.5
"[3.15965, 4.133462]",9.557828,"[2, 1]",3,"(6443, 43, 141)",3.646556,1,"[(6443, 21, 8171), (6443, 17, 2006), (6443, 196, 3593)]",1.5
"[6.7180347, 6.5143585]",13.831659,"[1, 1]",1,"(11326, 25, 62)",6.6161966,1,"[(3466, 15, 11326)]",1.0
"[3.507109, 3.5143526]",12.060263,"[1, 1]",4,"(8572, 25, 62)",3.5107307,1,"[(8572, 120, 791), (8572, 56, 8572), (8572, 56, 8572), (8572, 120, 791)]",1.0
"[0.05716747, 0.025039557]",0.2021465,"[1, 1]",9,"(8630, 56, 8630)",0.041103512,1,"[(1695, 15, 8630), (32, 15, 8630), (3389, 66, 8630), (10479, 15, 8630), (32, 15, 8630), (3389, 66, 8630), (10479, 15, 8630), (10479, 190, 8630), (3389, 66, 8630)]",1.0
"[0.22207424, 0.3483312]",4.6080956,"[4, 11]",3,"(6404, 13, 449)",0.28520274,6,"[(6404, 13, 2282), (6404, 34, 90), (2413, 102, 6404)]",7.5
"[0.05716748, 0.025039587]",0.2021465,"[1, 1]",8,"(6089, 56, 6089)",0.041103534,1,"[(1591, 24, 6089), (6089, 154, 2706), (10156, 39, 6089), (10915, 24, 6089), (6089, 133, 32), (10156, 39, 6089), (1591, 24, 6089), (10156, 39, 6089)]",1.0
"[1.0779815, 2.122504]",3.695775,"[1, 2]",3,"(9896, 167, 1768)",1.6002427,1,"[(9896, 146, 9896), (32, 15, 9896), (706, 89, 9896)]",1.5
"[0.5214452, 0.66767955]",3.9198654,"[3, 3]",3,"(3785, 14, 5334)",0.5945624,3,"[(283, 6, 3785), (3785, 155, 7120), (3785, 28, 181)]",3.0
"[1.2887518, 1.4281287]",3.145742,"[1, 1]",3,"(6223, 167, 1768)",1.3584403,1,"[(6223, 124, 1749), (226, 15, 6223), (6223, 124, 2956)]",1.0
"[0.4398146, 0.22453195]",5.4018598,"[3, 5]",3,"(3592, 26, 342)",0.3321733,12,"[(3592, 28, 32), (12142, 6, 3592), (3592, 26, 1881)]",4.0
"[6.250134, 5.2025747]",10.881088,"[1, 1]",3,"(6787, 25, 62)",5.7263546,1,"[(6787, 120, 791), (1014, 37, 6787), (6787, 56, 6787)]",1.0
"[0.16472231, 0.22645643]",5.030762,"[1, 1]",3,"(2789, 11, 23)",0.19558936,3,"[(2789, 13, 181), (2789, 13, 993), (1062, 7, 2789)]",1.0
"[0.5086518, 0.39208743]",5.0243015,"[1, 2]",3,"(2552, 43, 141)",0.4503696,1,"[(9203, 109, 2552), (2552, 17, 243), (2552, 17, 12356)]",1.5
"[0.21953452, 0.26926595]",3.3159878,"[1, 1]",3,"(7221, 106, 592)",0.24440023,3,"[(7221, 109, 7703), (7221, 31, 11725), (7221, 31, 4)]",1.0
"[0.36344182, 1.7130222]",6.757516,"[1, 1]",3,"(1477, 60, 90)",1.0382321,1,"[(1477, 17, 3482), (1477, 175, 8065), (1477, 8, 1476)]",1.0
"[6.4523935, 6.2914014]",11.303192,"[1, 1]",6,"(10456, 25, 62)",6.3718977,1,"[(10456, 154, 2620), (4358, 15, 10456), (10456, 154, 2620), (6550, 226, 10456), (4358, 15, 10456), (6550, 226, 10456)]",1.0
"[0.78345835, 0.3898276]",6.0524263,"[1, 1]",3,"(848, 17, 862)",0.586643,2,"[(848, 19, 3250), (848, 164, 417), (2053, 77, 848)]",1.0
"[1.1053939, 1.903399]",4.4272175,"[1, 5]",3,"(5481, 95, 521)",1.5043964,7,"[(5481, 96, 8305), (5481, 96, 12569), (4478, 130, 5481)]",3.0
"[0.23987179, 0.2714736]",3.5137227,"[1, 1]",3,"(4583, 11, 23)",0.2556727,1,"[(4479, 6, 4583), (3113, 38, 4583), (2227, 7, 4583)]",1.0
"[0.19613044, 0.14988002]",2.5623288,"[4, 2]",3,"(8913, 13, 4474)",0.17300522,2,"[(8913, 13, 4468), (8913, 13, 382), (8913, 11, 23)]",3.0
"[0.45815647, 0.3005147]",5.5365562,"[1, 1]",3,"(3196, 11, 23)",0.37933558,4,"[(3196, 13, 449), (3205, 32, 3196), (3196, 14, 160)]",1.0
"[0.79577506, 1.082698]",9.786621,"[6, 12]",3,"(2181, 17, 818)",0.9392365,60,"[(2181, 17, 393), (2181, 17, 862), (2181, 48, 32)]",9.0
"[3.1539807, 4.220634]",6.379358,"[2, 3]",3,"(12232, 33, 90)",3.6873074,1,"[(11984, 58, 12232), (12232, 58, 11950), (12232, 58, 7141)]",2.5
"[0.44769573, 0.6930795]",2.8489885,"[1, 1]",3,"(9329, 172, 2759)",0.5703876,1,"[(9329, 30, 467), (636, 38, 9329), (9329, 14, 160)]",1.0
"[0.239738, 0.31944883]",5.4222198,"[1, 1]",4,"(738, 115, 6114)",0.2795934,1,"[(738, 30, 739), (483, 7, 738), (738, 30, 739), (483, 7, 738)]",1.0
"[1.1078775, 0.88325036]",3.1120298,"[1, 2]",4,"(8753, 10, 2875)",0.9955639,1,"[(8753, 10, 5382), (8753, 10, 5491), (8753, 10, 5491), (8753, 47, 4868)]",1.5
"[0.29217434, 0.4512018]",6.4752617,"[1, 1]",3,"(5263, 48, 32)",0.37168807,1,"[(948, 8, 5263), (5263, 8, 2109), (5263, 8, 1025)]",1.0
"[0.18915614, 0.22688815]",4.163462,"[5, 7]",3,"(148, 26, 1098)",0.20802215,2,"[(4130, 6, 148), (148, 109, 4130), (148, 11, 23)]",6.0
"[2.086945, 1.3075442]",8.3503,"[2, 1]",3,"(1927, 212, 4563)",1.6972446,2,"[(4418, 47, 1927), (1927, 17, 862), (1927, 19, 1724)]",1.5
"[0.18928005, 0.17928131]",2.024353,"[2, 1]",3,"(5819, 13, 68)",0.18428068,3,"[(5819, 13, 2091), (5819, 31, 470), (5819, 13, 5209)]",1.5
"[0.16336933, 0.53239304]",3.294287,"[1, 2]",5,"(8165, 106, 592)",0.3478812,3,"[(2319, 6, 8165), (8165, 34, 90), (283, 38, 8165), (8165, 34, 90), (3352, 2, 8165)]",1.5
"[2.0530455, 2.8702524]",7.7777796,"[1, 1]",3,"(8023, 120, 791)",2.461649,1,"[(8023, 25, 62), (8023, 33, 90), (1551, 15, 8023)]",1.0
"[0.78395176, 0.18087018]",5.6515408,"[1, 1]",3,"(8848, 34, 90)",0.48241097,1,"[(7318, 6, 8848), (8848, 11, 23), (8848, 13, 32)]",1.0
"[2.4682517, 3.9679792]",11.653254,"[1, 1]",3,"(10221, 25, 62)",3.2181153,1,"[(10221, 76, 5012), (10221, 76, 2720), (10221, 76, 9981)]",1.0
"[0.20061916, 0.2605952]",3.449703,"[1, 3]",3,"(7664, 26, 342)",0.23060718,6,"[(9008, 6, 7664), (5362, 32, 7664), (7664, 14, 160)]",2.0
"[0.8061369, 0.7672174]",5.7174397,"[303, 243]",3,"(5302, 122, 3325)",0.7866771,338,"[(5302, 15, 6403), (740, 37, 5302), (2035, 58, 5302)]",273.0
"[1.2888707, 0.72032535]",7.1802206,"[1, 1]",3,"(4945, 17, 871)",1.004598,6,"[(4945, 6, 5032), (4945, 17, 862), (4945, 17, 393)]",1.0
"[1.8354812, 5.426866]",3.8528743,"[1, 462]",5,"(8397, 80, 344)",3.6311736,1,"[(12164, 170, 8397), (9415, 170, 8397), (12164, 40, 8397), (9415, 40, 8397), (7389, 170, 8397)]",231.5
"[0.14334744, 0.13609692]",4.1493998,"[5, 2]",3,"(552, 26, 64)",0.13972218,2,"[(552, 31, 11181), (552, 28, 32), (552, 86, 10220)]",3.5
"[0.46194434, 0.44479856]",9.394058,"[2, 2]",3,"(9906, 43, 141)",0.45337147,2,"[(7366, 8, 9906), (4693, 8, 9906), (9906, 8, 4693)]",2.0
"[3.1532125, 5.0951886]",8.240005,"[37, 59]",3,"(9530, 48, 32)",4.124201,1,"[(9530, 17, 871), (9530, 66, 592), (9530, 17, 215)]",48.0
"[6.8787546, 6.3731966]",15.6308975,"[1, 1]",4,"(7155, 25, 62)",6.6259756,3,"[(7155, 67, 911), (7155, 47, 996), (7155, 47, 996), (7155, 67, 911)]",1.0
"[0.16620919, 0.15478775]",2.8738413,"[1, 1]",3,"(3861, 14, 160)",0.16049847,1,"[(3861, 26, 1881), (3861, 13, 32), (84, 2, 3861)]",1.0
"[3.3783417, 3.33549]",9.411259,"[2, 2]",3,"(1392, 43, 141)",3.356916,1,"[(6549, 88, 1392), (1392, 17, 5529), (1392, 82, 13692)]",2.0
"[0.13327193, 0.20885065]",4.157199,"[1, 1]",3,"(1897, 14, 160)",0.17106129,2,"[(1897, 12, 9802), (2771, 6, 1897), (8353, 6, 1897)]",1.0
"[3.830488, 3.2825036]",7.8994675,"[1, 2]",3,"(10238, 85, 434)",3.5564957,2,"[(10238, 19, 1759), (10238, 66, 1327), (10730, 22, 10238)]",1.5
"[0.90779495, 1.3733413]",3.708118,"[1, 1]",3,"(1432, 98, 8236)",1.1405681,1,"[(1432, 49, 5453), (1432, 98, 11218), (1432, 98, 11551)]",1.0
"[0.5457208, 0.54205734]",6.1907783,"[5, 1]",3,"(8789, 17, 862)",0.54388905,26,"[(9720, 77, 8789), (2279, 71, 8789), (8789, 66, 3120)]",3.0
"[0.17764544, 0.31424534]",4.5881968,"[1, 3]",3,"(1259, 13, 202)",0.2459454,7,"[(1259, 13, 92), (1259, 13, 1934), (1259, 13, 640)]",2.0
"[3.1697133, 1.5175076]",7.894772,"[1, 2]",3,"(4819, 85, 434)",2.3436103,1,"[(4819, 82, 2456), (4819, 21, 5162), (7942, 22, 4819)]",1.5
"[0.51784, 1.0135212]",3.0339537,"[1, 1]",3,"(4123, 172, 1978)",0.7656806,1,"[(4123, 101, 3135), (4123, 101, 3835), (4123, 225, 924)]",1.0
"[5.894574, 4.853285]",12.2361145,"[1, 1]",3,"(1309, 25, 62)",5.3739295,1,"[(1308, 66, 1309), (1308, 24, 1309), (1309, 56, 1309)]",1.0
"[0.40482762, 0.6417136]",5.9332037,"[13, 22]",3,"(3866, 28, 274)",0.5232706,14,"[(3866, 13, 32), (441, 32, 3866), (3866, 26, 1098)]",17.5
"[0.68319505, 0.65462786]",3.366718,"[1, 1]",3,"(8425, 124, 4722)",0.66891146,5,"[(8425, 166, 90), (3942, 68, 8425), (1019, 89, 8425)]",1.0
"[0.6286658, 0.62614733]",5.5954394,"[2, 2]",3,"(11039, 43, 141)",0.6274066,1,"[(4908, 47, 11039), (11039, 177, 212), (11039, 39, 12031)]",2.0
"[1.5172257, 2.9822006]",9.356104,"[1, 2]",3,"(7474, 85, 434)",2.2497132,3,"[(6912, 47, 7474), (7474, 38, 10926), (7241, 47, 7474)]",1.5
"[0.5425904, 0.56182194]",4.5499496,"[1, 1]",3,"(1431, 91, 494)",0.55220616,1,"[(675, 38, 1431), (1925, 145, 1431), (7263, 145, 1431)]",1.0
"[0.14828525, 0.17959514]",4.9227076,"[2, 2]",3,"(1598, 26, 342)",0.16394019,4,"[(1598, 13, 816), (1598, 13, 1280), (69, 7, 1598)]",2.0
"[3.1483533, 1.2679758]",8.570226,"[1, 2]",3,"(6433, 85, 434)",2.2081647,1,"[(6433, 102, 12546), (6433, 17, 818), (6433, 48, 4224)]",1.5
"[2.7334337, 2.227862]",3.3958833,"[8758, 5]",3,"(1956, 98, 8986)",2.4806478,1,"[(1956, 98, 11218), (5453, 130, 1956), (1956, 49, 5453)]",4381.5
"[2.7362914, 3.0247898]",6.228981,"[2, 1]",3,"(7729, 43, 141)",2.8805406,1,"[(7729, 85, 1665), (1857, 47, 7729), (7729, 17, 862)]",1.5
"[1.7540315, 1.6365088]",13.760386,"[1, 1]",3,"(4282, 25, 62)",1.6952702,1,"[(4282, 116, 527), (4282, 34, 90), (3734, 6, 4282)]",1.0
"[0.23822445, 0.16367969]",2.5320902,"[13, 15]",3,"(5958, 13, 308)",0.20095207,19,"[(5958, 13, 2046), (410, 32, 5958), (5958, 13, 637)]",14.0
"[1.1268973, 0.6205747]",2.8390942,"[2, 2]",3,"(9448, 0, 4494)",0.873736,1,"[(434, 161, 9448), (4744, 13, 9448), (2115, 13, 9448)]",2.0
"[0.19067952, 0.23650186]",5.4507256,"[1, 1]",3,"(7349, 11, 23)",0.21359068,2,"[(13785, 59, 7349), (7349, 13, 1163), (2767, 6, 7349)]",1.0
"[0.2092789, 0.26564717]",5.48673,"[2, 1]",3,"(4270, 14, 160)",0.23746303,1,"[(6638, 97, 4270), (4270, 141, 4480), (4270, 141, 5168)]",1.5
"[0.27741405, 0.1930878]",3.426412,"[1, 1]",3,"(5563, 34, 90)",0.23525092,1,"[(5563, 31, 8400), (5563, 147, 382), (5563, 84, 6350)]",1.0
"[0.21525218, 0.16409674]",5.8760414,"[1, 1]",3,"(1174, 60, 90)",0.18967447,1,"[(941, 84, 1174), (7252, 84, 1174), (1917, 8, 1174)]",1.0
"[1.7093275, 1.3327998]",14.561535,"[2, 2]",3,"(7448, 43, 141)",1.5210636,2102,"[(441, 32, 7448), (7448, 141, 727), (11530, 6, 7448)]",2.0
"[1.2194755, 2.4591827]",8.304846,"[2, 1]",3,"(12589, 43, 141)",1.8393291,1,"[(12589, 19, 1654), (53, 22, 12589), (12589, 39, 592)]",1.5
"[0.15945996, 0.14710584]",3.670332,"[1, 1]",4,"(2302, 60, 90)",0.15328291,1,"[(2302, 6, 7019), (2302, 48, 32), (1490, 12, 2302), (2302, 6, 7019)]",1.0
