facts,new_score,new_rank,original_score,new_ranks,#facts,prediction,original_rank,new_scores
"[(19504, 1, 21993), (11202, 0, 21993), (21993, 0, 11328)]",-0.3205468,16022.0,8.579209,"[21161, 10883]",3,"(21993, 1, 19504)",1,"[-0.5607313, -0.080362305]"
"[(14201, 1, 14202), (14202, 0, 31982)]",-3.6017752,15899.5,10.240109,"[14259, 17540]",2,"(14202, 1, 14201)",1,"[-4.0820613, -3.1214893]"
"[(6752, 1, 3450), (3450, 1, 13763), (13763, 1, 3450)]",5.447935,6.0,8.6875305,"[5, 7]",3,"(3450, 1, 6752)",1,"[5.533682, 5.362189]"
"[(1287, 1, 18173), (23932, 1, 18173), (30417, 1, 18173)]",0.30592006,1911.0,8.870047,"[1913, 1909]",3,"(18173, 1, 1287)",1,"[0.28389418, 0.32794592]"
"[(17826, 3, 14917), (14917, 3, 17825), (14917, 1, 21699)]",-0.0132855475,7125.0,8.515327,"[12891, 1359]",3,"(14917, 3, 17826)",1,"[-0.48341382, 0.45684272]"
"[(9037, 1, 26613), (26613, 1, 9459), (9459, 1, 26613)]",0.3585772,2347.5,9.101814,"[236, 4459]",3,"(26613, 1, 9037)",1,"[0.97688746, -0.2597331]"
"[(1019, 4, 28305), (28305, 4, 28306)]",3.2177112,79.0,8.571083,"[61, 97]",2,"(28305, 0, 3141)",1,"[3.5527005, 2.882722]"
"[(4747, 5, 3149)]",-2.4934833,1926.0,7.647258,"[2908, 944]",1,"(4747, 0, 22951)",1,"[-3.7220006, -1.2649659]"
"[(2938, 1, 15497), (7315, 0, 15497), (16075, 0, 15497)]",1.3089776,227.0,9.88568,"[163, 291]",3,"(15497, 1, 2938)",1,"[1.384349, 1.2336063]"
"[(5862, 1, 14121), (14121, 3, 14122), (14122, 3, 14121)]",-0.6295661,27071.0,7.876352,"[20863, 33279]",3,"(14121, 1, 5862)",1,"[-0.4409461, -0.818186]"
"[(1038, 4, 39279)]",6.289851,9.0,8.77287,"[6, 12]",1,"(39279, 0, 184)",1,"[7.0034065, 5.576296]"
"[(25165, 1, 7514), (7514, 1, 21485), (21485, 1, 7514)]",3.9179392,13.0,9.075606,"[12, 14]",3,"(7514, 1, 25165)",1,"[3.9355972, 3.9002812]"
"[(5116, 1, 15028), (16314, 1, 15028), (15028, 1, 21701)]",7.870721,2.0,9.27175,"[2, 2]",3,"(15028, 1, 5116)",1,"[7.6660695, 8.075373]"
"[(5782, 1, 6726), (37556, 0, 6726), (6726, 1, 35914)]",-0.20062959,16040.0,9.564367,"[16066, 16014]",3,"(6726, 1, 5782)",1,"[-0.20147449, -0.19978471]"
"[(5329, 1, 12530), (12530, 0, 1025), (12530, 0, 11638)]",-1.8118441,11287.0,10.27132,"[808, 21766]",3,"(12530, 1, 5329)",1,"[-0.049933195, -3.573755]"
"[(14159, 1, 40286), (40286, 0, 5905)]",-3.750773,15225.0,10.40897,"[21961, 8489]",2,"(40286, 1, 14159)",1,"[-5.4560065, -2.0455391]"
"[(7703, 1, 26785), (26785, 0, 17167)]",-2.1138062,7462.5,10.314679,"[3249, 11676]",2,"(26785, 1, 7703)",1,"[-1.7542107, -2.4734018]"
"[(7329, 1, 5855), (5855, 1, 28317), (28317, 1, 5855)]",5.520795,9.0,8.925503,"[11, 7]",3,"(5855, 1, 7329)",1,"[5.090849, 5.9507403]"
"[(6485, 1, 30984), (30984, 0, 957), (34866, 0, 30984)]",0.6828184,583.0,9.050512,"[353, 813]",3,"(30984, 1, 6485)",1,"[0.7140604, 0.6515764]"
"[(29963, 2, 1137), (1914, 8, 29963)]",7.9813595,11.0,8.869197,"[3, 19]",2,"(29963, 5, 774)",1,"[8.461415, 7.5013037]"
"[(2573, 1, 17030), (17030, 1, 13110), (13110, 1, 17030)]",1.1778519,146.5,8.604788,"[108, 185]",3,"(17030, 1, 2573)",1,"[1.2694079, 1.086296]"
"[(20114, 6, 20115), (12790, 8, 20115)]",4.153652,66.0,8.1901455,"[60, 72]",2,"(20115, 2, 2580)",1,"[5.072162, 3.2351418]"
"[(18271, 1, 3741), (23931, 0, 3741), (3741, 6, 29582)]",-1.6731175,23742.5,10.975729,"[25924, 21561]",3,"(3741, 1, 18271)",1,"[-1.7911899, -1.5550451]"
"[(7531, 1, 7532), (13150, 1, 7532), (7532, 1, 13150)]",-0.16556184,7954.0,8.390123,"[6442, 9466]",3,"(7532, 1, 7531)",1,"[-0.05321458, -0.2779091]"
"[(36226, 1, 1771), (36656, 0, 1771), (29196, 0, 1771)]",4.9562554,15.5,9.191784,"[17, 14]",3,"(1771, 1, 36226)",1,"[4.848881, 5.06363]"
"[(10563, 9, 6882), (6882, 1, 9971), (9971, 1, 6882)]",2.2904203,16.0,10.239602,"[17, 15]",3,"(6882, 9, 10563)",1,"[2.410567, 2.1702735]"
"[(27614, 0, 28580), (28580, 0, 13179)]",9.777285,2.0,7.0875874,"[1, 3]",2,"(28580, 5, 172)",1,"[10.489625, 9.064944]"
"[(28165, 1, 40453)]",-4.236504,20937.0,9.401691,"[16987, 24887]",1,"(40453, 1, 28165)",1,"[-4.5536346, -3.9193738]"
"[(16026, 1, 21645), (21645, 1, 14574), (14574, 1, 21645)]",6.276354,1.5,9.251232,"[1, 2]",3,"(21645, 1, 16026)",1,"[6.5311136, 6.021594]"
"[(13752, 1, 11251), (11251, 0, 23434), (11251, 1, 5715)]",-1.4612548,16249.5,9.526362,"[27595, 4904]",3,"(11251, 1, 13752)",1,"[-2.292119, -0.63039076]"
"[(11702, 1, 26645), (11590, 0, 26645), (26645, 5, 129)]",-5.7221565,29895.0,10.44846,"[24522, 35268]",3,"(26645, 1, 11702)",1,"[-5.976472, -5.467841]"
"[(23887, 6, 31376), (10052, 6, 31376), (12272, 6, 31376)]",5.990203,18.0,7.7001705,"[14, 22]",3,"(31376, 2, 743)",1,"[7.3372374, 4.6431684]"
"[(11144, 0, 21098), (2617, 1, 11144)]",-5.770711,26882.0,9.984545,"[32883, 20881]",2,"(11144, 1, 2617)",1,"[-8.062994, -3.478428]"
"[(2601, 1, 5394), (20358, 0, 5394), (19801, 0, 5394)]",4.0653286,14.0,9.64728,"[17, 11]",3,"(5394, 1, 2601)",1,"[3.6395047, 4.491153]"
"[(8153, 1, 10925), (12946, 1, 10925), (10925, 1, 5889)]",0.87129223,254.5,9.006329,"[381, 128]",3,"(10925, 1, 8153)",1,"[0.66447026, 1.0781143]"
"[(15171, 1, 12999), (12999, 1, 15171), (12999, 0, 30527)]",-0.8872363,9722.5,6.798723,"[6223, 13222]",3,"(12999, 1, 15729)",1,"[-0.87412024, -0.90035236]"
"[(19910, 9, 8634), (8634, 0, 30340), (8634, 9, 5388)]",-1.0470302,10866.5,9.567928,"[8363, 13370]",3,"(8634, 9, 19910)",1,"[-0.8535538, -1.2405065]"
"[(5596, 1, 32633), (32633, 0, 5176), (32633, 1, 6813)]",5.3819056,2.5,9.348708,"[3, 2]",3,"(32633, 1, 5596)",1,"[5.4136004, 5.350211]"
"[(8525, 4, 21505)]",4.987455,25.5,6.9597425,"[30, 21]",1,"(21505, 0, 296)",1,"[4.815882, 5.1590276]"
"[(9012, 0, 2536)]",3.7958627,102.0,8.305224,"[119, 85]",1,"(9012, 5, 7786)",1,"[3.2675135, 4.3242116]"
"[(4691, 1, 36188), (36188, 1, 20727), (20727, 1, 36188)]",-1.8885156,19317.5,9.827701,"[6418, 32217]",3,"(36188, 1, 4691)",1,"[-0.8370804, -2.9399507]"
"[(25496, 0, 25497)]",-4.783676,5509.0,7.0187235,"[3405, 7613]",1,"(25496, 0, 5310)",1,"[-4.0909624, -5.4763904]"
"[(16736, 1, 7605), (7605, 1, 7606), (7606, 1, 7605)]",-0.7187779,6127.0,9.469548,"[6928, 5326]",3,"(7605, 1, 16736)",1,"[-0.9248315, -0.5127242]"
"[(14493, 1, 37743), (37743, 0, 25874), (37743, 0, 770)]",-3.9830232,20146.0,9.327404,"[10961, 29331]",3,"(37743, 1, 14493)",1,"[-3.5026174, -4.463429]"
"[(2944, 9, 2945), (2945, 0, 203)]",-6.396675,35199.5,10.549395,"[36638, 33761]",2,"(2945, 9, 2944)",1,"[-7.440253, -5.3530974]"
"[(3408, 6, 2381), (2380, 6, 2381), (4109, 6, 2381)]",6.124178,1.0,8.170172,"[1, 1]",3,"(2381, 2, 12273)",1,"[6.109825, 6.1385307]"
"[(3847, 1, 17802), (17802, 1, 17801), (17801, 1, 17802)]",-0.9711911,9455.0,8.961193,"[16085, 2825]",3,"(17802, 1, 3847)",1,"[-1.6173016, -0.3250806]"
"[(8629, 1, 7673), (7673, 1, 3533), (3533, 1, 7673)]",-0.48103157,11585.0,9.002323,"[15156, 8014]",3,"(7673, 1, 8629)",1,"[-0.57969165, -0.3823715]"
"[(16054, 1, 26644), (4985, 1, 26644), (26644, 3, 16053)]",4.4292,2.0,9.2418165,"[2, 2]",3,"(26644, 1, 16054)",1,"[3.9598837, 4.8985167]"
"[(5305, 1, 29442), (29442, 1, 8152), (8152, 1, 29442)]",3.3905087,14.0,8.90522,"[13, 15]",3,"(29442, 1, 5305)",1,"[3.5045252, 3.2764924]"
"[(1770, 1, 1771), (29196, 0, 1771), (1771, 1, 7171)]",4.7891116,18.0,8.726723,"[17, 19]",3,"(1771, 1, 1770)",1,"[4.922552, 4.655671]"
"[(512, 4, 22121), (22121, 4, 13498)]",4.8841558,26.0,8.308378,"[24, 28]",2,"(22121, 0, 351)",1,"[5.2650676, 4.503244]"
"[(4301, 1, 10990), (10990, 0, 1380), (10990, 1, 23716)]",1.5025027,421.5,9.040138,"[109, 734]",3,"(10990, 1, 4301)",1,"[1.9529023, 1.0521032]"
"[(22873, 1, 25501), (22873, 0, 29374), (22873, 1, 31727)]",9.622199,1.5,9.392544,"[2, 1]",3,"(22873, 1, 37187)",1,"[9.576036, 9.668362]"
"[(13776, 2, 916), (2181, 6, 13776)]",9.332943,1.5,8.00515,"[1, 2]",2,"(13776, 2, 121)",1,"[11.095157, 7.5707283]"
"[(17464, 1, 17465), (17465, 0, 21131), (17465, 1, 10330)]",-3.7754521,37079.5,9.928814,"[39077, 35082]",3,"(17465, 1, 17464)",1,"[-4.162585, -3.3883195]"
"[(33614, 0, 5517), (26515, 4, 33614)]",9.777237,2.0,7.783125,"[1, 3]",2,"(33614, 5, 172)",1,"[10.489516, 9.064957]"
"[(8993, 1, 7948), (7948, 0, 15464), (7948, 1, 22982)]",-0.03523925,5664.0,9.079611,"[10056, 1272]",3,"(7948, 1, 8993)",1,"[-0.5329036, 0.4624251]"
