new_score,new_ranks,prediction,facts,new_scores,exp_length,original_rank,exp,new_rank,original_score
4.237375,[9],"(6195, 9, 8721)","[([(6195, 2, 3219), (25757, 2, 3219), (25757, 9, 8721)], 0.7607994, 'xrule'), ([(6195, 2, 31), (25757, 2, 31), (25757, 9, 8721)], 0.6313, 'xrule'), ([(25757, 1, 65), (25757, 9, 8721), (6195, 1, 65)], 0.6264, 'xrule'), ([(6195, 3, 40), (25757, 3, 40), (25757, 9, 8721)], 0.6182995, 'xrule'), ([(25757, 3, 2022), (6195, 3, 2022), (25757, 9, 8721)], 0.6114998, 'xrule'), ({(6195, 2, 3219)}, 0.2912455013683378, 'baseline'), ({(6195, 3, 2021)}, 0.09681419568368937, 'baseline'), ({(6195, 3, 40)}, 0.09104828073961584, 'baseline'), ({(6195, 2, 31)}, 0.08444551659042457, 'baseline'), ({(6195, 3, 6197)}, 0.07741646002886782, 'baseline'), ({(6195, 3, 6200)}, 0.07347063252734096, 'baseline'), ({(6195, 1, 65)}, 0.05339769552184091, 'baseline'), ({(6195, 3, 2022)}, 0.038840333881821926, 'baseline'), ({(6195, 3, 6196)}, -0.013596017894065225, 'baseline'), ({(6195, 3, 157)}, -0.013825853379287626, 'baseline')]",[4.237375],11,1,"[(6195, 2, 31), (25757, 2, 31), (6195, 3, 40), (6195, 2, 3219), (25757, 2, 3219), (25757, 3, 40), (6195, 3, 2022), (6195, 1, 65), (25757, 9, 8721), (25757, 3, 2022), (25757, 1, 65)]",9.0,6.0124025
6.77961,[3],"(5717, 9, 2010)","[([(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014)], 0.46399975, 'xrule'), ([(5717, 2, 2011), (23410, 2, 2011), (23410, 9, 2010)], 0.43190002, 'xrule'), ([(5717, 3, 40), (23410, 9, 2010), (23410, 3, 40)], 0.40509987, 'xrule'), ([(5717, 3, 6), (23410, 9, 2010), (23410, 3, 6)], 0.36419964, 'xrule'), ([(23410, 9, 2010), (23410, 2, 30), (5717, 2, 30)], 0.35919952, 'xrule'), ({(5717, 3, 2013)}, 0.12932209218999144, 'baseline'), ({(5717, 3, 2014)}, 0.12590793813539786, 'baseline'), ({(5717, 2, 2011)}, 0.10536102491104984, 'baseline'), ({(5717, 3, 1345)}, 0.062052766798142193, 'baseline'), ({(5717, 3, 279)}, 0.055563013074275906, 'baseline'), ({(5717, 2, 4760)}, 0.0492601795033043, 'baseline'), ({(5717, 3, 5723)}, 0.018795053430075946, 'baseline'), ({(5717, 3, 6)}, 0.01529030029862759, 'baseline'), ({(5717, 3, 78)}, 0.012426416346802407, 'baseline'), ({(5717, 3, 9)}, 0.011306802720829645, 'baseline')]",[6.77961],11,1,"[(5717, 3, 6), (23410, 9, 2010), (23410, 3, 2014), (23410, 3, 40), (5717, 3, 2014), (5717, 2, 2011), (5717, 2, 30), (5717, 3, 40), (23410, 2, 2011), (23410, 3, 6), (23410, 2, 30)]",3.0,7.6262035
8.195021,[1],"(5179, 9, 13676)","[([(25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)], 0.4864006, 'xrule'), ([(5179, 3, 113), (25534, 9, 13676), (25534, 3, 113)], 0.4758997, 'xrule'), ([(25534, 9, 13676), (25534, 3, 9), (5179, 3, 9)], 0.46460056, 'xrule'), ([(25534, 9, 13676), (25534, 2, 5181), (5179, 2, 5181)], 0.46420002, 'xrule'), ([(25534, 9, 13676), (25534, 2, 2584), (5179, 2, 2584)], 0.46210003, 'xrule'), ({(5179, 5, 5180)}, 0.09984497264619574, 'baseline'), ({(5179, 3, 2586)}, 0.08590034677540559, 'baseline'), ({(5179, 2, 2584)}, 0.08436397743759194, 'baseline'), ({(5179, 2, 5181)}, 0.07845977974160352, 'baseline'), ({(5179, 3, 78)}, 0.060416261641394214, 'baseline'), ({(5179, 3, 5184)}, 0.03709701726546703, 'baseline'), ({(5179, 3, 10)}, 0.034474412881134835, 'baseline'), ({(5179, 3, 39)}, 0.02627186010270741, 'baseline'), ({(5179, 1, 65)}, 0.02121643252458386, 'baseline'), ({(5179, 3, 56)}, 0.013917962958070686, 'baseline')]",[8.195021],11,1,"[(25534, 3, 113), (5179, 3, 113), (5179, 2, 2584), (25534, 3, 9), (5179, 3, 9), (5179, 2, 5181), (25534, 9, 13676), (25534, 2, 5181), (25534, 3, 2586), (25534, 2, 2584), (5179, 3, 2586)]",1.0,8.899089
7.035498,[2],"(4912, 11, 7869)","[([(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869)], 0.53200054, 'xrule'), ([(23412, 11, 7869), (23412, 3, 2043), (4912, 3, 2043)], 0.49740028, 'xrule'), ([(4912, 3, 75), (24926, 3, 75), (24926, 11, 7869)], 0.4116001, 'xrule'), ([(4912, 3, 2044), (12997, 11, 7869), (12997, 3, 2044)], 0.3945999, 'xrule'), ([(15227, 3, 7), (15227, 11, 7869), (4912, 3, 7)], 0.38440037, 'xrule'), ({(4912, 3, 2044)}, 0.10558513838990846, 'baseline'), ({(4912, 3, 2043)}, 0.1048489018061891, 'baseline'), ({(4912, 3, 436)}, 0.06916050148460319, 'baseline'), ({(4912, 3, 6)}, 0.05957607458977173, 'baseline'), ({(4912, 3, 504)}, 0.04724125098267301, 'baseline'), ({(4912, 3, 7)}, 0.04503921696903803, 'baseline'), ({(4912, 3, 40)}, 0.03439907262998727, 'baseline'), ({(4912, 3, 2966)}, 0.030149499833704994, 'baseline'), ({(4912, 3, 10)}, 0.017682115475852803, 'baseline'), ({(4912, 4, 66)}, 0.015300790747577328, 'baseline')]",[7.035498],14,1,"[(4912, 3, 75), (23412, 11, 7869), (24926, 11, 7869), (12997, 3, 2044), (15227, 11, 7869), (4912, 3, 7), (20378, 11, 7869), (4912, 3, 2044), (20378, 3, 75), (12997, 11, 7869), (23412, 3, 2043), (4912, 3, 2043), (15227, 3, 7), (24926, 3, 75)]",2.0,7.3935227
8.117457,[1],"(7517, 9, 7759)","[([(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279)], 0.20429993, 'xrule'), ([(7517, 3, 4), (15740, 9, 7759), (15740, 3, 4)], 0.20390034, 'xrule'), ([(15740, 1, 168), (15740, 9, 7759), (7517, 1, 168)], 0.20040035, 'xrule'), ([(15740, 9, 7759), (7517, 3, 6), (15740, 3, 6)], 0.19210052, 'xrule'), ([(15740, 9, 7759), (7517, 3, 293), (15740, 3, 293)], 0.18770027, 'xrule'), ({(7517, 3, 2279)}, 0.1226158543627455, 'baseline'), ({(7517, 3, 4)}, 0.10069469648545487, 'baseline'), ({(7517, 1, 168)}, 0.0958843632063545, 'baseline'), ({(7517, 2, 2271)}, 0.08407406047611027, 'baseline'), ({(7517, 3, 293)}, 0.08091739845512026, 'baseline'), ({(7517, 3, 6)}, 0.07606605722707348, 'baseline'), ({(7517, 3, 5934)}, 0.05796245763259254, 'baseline'), ({(7517, 3, 3121)}, 0.038448373770056964, 'baseline'), ({(7517, 3, 5846)}, 0.03722004121748308, 'baseline'), ({(7517, 3, 58)}, 0.026134530946877697, 'baseline')]",[8.117457],11,1,"[(7517, 3, 4), (7517, 3, 293), (7517, 3, 2279), (15740, 3, 6), (15740, 3, 293), (7517, 3, 6), (15740, 1, 168), (7517, 1, 168), (15740, 9, 7759), (15740, 3, 4), (15740, 3, 2279)]",1.0,8.731943
5.434144,[2],"(6162, 9, 2010)","[([(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31)], 0.34810066, 'xrule'), ([(18479, 9, 2010), (6162, 2, 30), (18479, 2, 30)], 0.34600067, 'xrule'), ([(18479, 9, 2010), (18479, 3, 6), (6162, 3, 6)], 0.33530045, 'xrule'), ([(24132, 3, 40), (6162, 3, 40), (24132, 9, 2010)], 0.33210087, 'xrule'), ([(24132, 3, 88), (6162, 3, 88), (24132, 9, 2010)], 0.32140064, 'xrule'), ({(6162, 3, 88)}, 0.08967975807036987, 'baseline'), ({(6162, 3, 40)}, 0.07505706976754095, 'baseline'), ({(6162, 3, 149)}, 0.07278064917872429, 'baseline'), ({(6162, 3, 5727)}, 0.06137279698216193, 'baseline'), ({(6162, 3, 6166)}, 0.06082061953999624, 'baseline'), ({(6162, 3, 5730)}, 0.05795482823731499, 'baseline'), ({(6162, 3, 2017)}, 0.05686287115062855, 'baseline'), ({(6162, 3, 1345)}, 0.05075554082388289, 'baseline'), ({(6162, 3, 2013)}, 0.04769710725533349, 'baseline'), ({(6162, 2, 2011)}, 0.0472612781418579, 'baseline')]",[5.434144],12,1,"[(18479, 2, 31), (6162, 3, 6), (18479, 9, 2010), (18479, 2, 30), (6162, 3, 40), (24132, 3, 88), (6162, 3, 88), (24132, 3, 40), (6162, 2, 31), (18479, 3, 6), (24132, 9, 2010), (6162, 2, 30)]",2.0,8.629868
8.870287,[1],"(5920, 9, 8418)","[([(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111)], 0.1534996, 'xrule'), ([(25812, 9, 8418), (25812, 3, 111), (5920, 3, 111)], 0.15069962, 'xrule'), ([(22405, 3, 111), (22405, 9, 8418), (5920, 3, 111)], 0.14039993, 'xrule'), ([(5920, 3, 218), (25113, 9, 8418), (25113, 3, 218)], 0.13739967, 'xrule'), ([(5920, 3, 111), (8674, 9, 8418), (8674, 3, 111)], 0.13700008, 'xrule'), ({(5920, 3, 111)}, 0.12038521011987842, 'baseline'), ({(5920, 2, 69)}, 0.1064434452921392, 'baseline'), ({(5920, 3, 74)}, 0.07888607214051954, 'baseline'), ({(5920, 3, 10)}, 0.07198719215266251, 'baseline'), ({(5920, 3, 9)}, 0.05675224490156033, 'baseline'), ({(5920, 3, 532)}, 0.05419925875385202, 'baseline'), ({(5920, 3, 220)}, 0.050884286827239465, 'baseline'), ({(5920, 3, 40)}, 0.04968265723306971, 'baseline'), ({(5920, 3, 7)}, 0.03020862765636208, 'baseline'), ({(5920, 2, 68)}, 0.023923913927795245, 'baseline')]",[8.870287],11,1,"[(22405, 9, 8418), (25812, 9, 8418), (5920, 3, 111), (25113, 3, 111), (22405, 3, 111), (25812, 3, 111), (8674, 9, 8418), (8674, 3, 111), (5920, 3, 218), (25113, 9, 8418), (25113, 3, 218)]",1.0,9.054642
6.3997965,[1],"(6822, 11, 7869)","[([(6822, 3, 2043), (17096, 3, 2043), (17096, 11, 7869)], 0.18109989, 'xrule'), ({(6822, 3, 2044)}, 0.14841751308820653, 'baseline'), ({(6822, 3, 2043)}, 0.1483612462549376, 'baseline'), ({(6822, 3, 436)}, 0.10992435654774942, 'baseline'), ([(6822, 3, 436), (17096, 11, 7869), (17096, 3, 436)], 0.10560036, 'xrule'), ({(6822, 3, 1112)}, 0.0753326816398739, 'baseline'), ([(6822, 3, 436), (23983, 11, 7869), (23983, 3, 436)], 0.067700386, 'xrule'), ({(6822, 3, 6)}, 0.06591037940682339, 'baseline'), ([(6822, 3, 436), (24159, 3, 436), (24159, 11, 7869)], 0.05870056, 'xrule'), ({(6822, 3, 40)}, 0.049996416082971215, 'baseline'), ([(6822, 3, 2043), (23983, 3, 2043), (23983, 11, 7869)], 0.045300484, 'xrule'), ({(6822, 2, 30)}, 0.039315263702115494, 'baseline'), ({(6822, 3, 41)}, 0.03216365999747425, 'baseline'), ({(6822, 1, 65)}, 0.02829555696011054, 'baseline'), ({(6822, 4, 66)}, 0.02492241088817219, 'baseline')]",[6.3997965],9,1,"[(6822, 3, 2044), (17096, 3, 2043), (6822, 3, 436), (17096, 3, 436), (6822, 3, 2043), (7869, 3, 2044), (7869, 3, 2043), (7869, 3, 436), (17096, 11, 7869)]",1.0,6.63501
3.8528447,[45],"(7365, 12, 6095)","[([(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095)], 2.2503, 'xrule'), ([(16696, 3, 7), (7365, 3, 7), (16696, 12, 6095)], 2.2185001, 'xrule'), ([(16696, 3, 276), (7365, 3, 276), (16696, 12, 6095)], 2.2147002, 'xrule'), ([(16696, 3, 277), (7365, 3, 277), (16696, 12, 6095)], 2.2140002, 'xrule'), ([(16696, 4, 66), (7365, 4, 66), (16696, 12, 6095)], 2.2081003, 'xrule'), ({(7365, 3, 6)}, 0.07213644217731376, 'baseline'), ({(7365, 3, 279)}, 0.06923774907210672, 'baseline'), ({(7365, 3, 2226)}, 0.0660658283273398, 'baseline'), ({(7365, 3, 277)}, 0.063554326997149, 'baseline'), ({(7365, 3, 91)}, 0.05788044163431066, 'baseline'), ({(7365, 3, 276)}, 0.054463903413218676, 'baseline'), ({(7365, 3, 40)}, 0.04964212606493348, 'baseline'), ({(7365, 3, 7)}, 0.039665262156886344, 'baseline'), ({(7365, 2, 30)}, 0.038768331497626596, 'baseline'), ({(7365, 3, 75)}, 0.02544120976694518, 'baseline')]",[3.8528447],11,2,"[(16696, 3, 6), (16696, 3, 276), (7365, 3, 6), (7365, 3, 276), (7365, 4, 66), (16696, 4, 66), (16696, 3, 277), (16696, 3, 7), (7365, 3, 277), (7365, 3, 7), (16696, 12, 6095)]",45.0,7.641706
5.240637,[4],"(5110, 11, 6729)","[([(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40)], 0.18410015, 'xrule'), ([(5110, 1, 65), (25172, 11, 6729), (25172, 1, 65)], 0.17850018, 'xrule'), ([(24053, 3, 40), (5110, 3, 40), (24053, 11, 6729)], 0.17140007, 'xrule'), ([(23335, 3, 40), (5110, 3, 40), (23335, 11, 6729)], 0.16329956, 'xrule'), ([(11096, 11, 6729), (5110, 3, 40), (11096, 3, 40)], 0.16320038, 'xrule'), ({(5110, 2, 788)}, 0.11248783309953582, 'baseline'), ({(5110, 1, 65)}, 0.10055975157642323, 'baseline'), ({(5110, 3, 39)}, 0.06378940768852628, 'baseline'), ({(5110, 3, 5115)}, 0.059024850802233096, 'baseline'), ({(5110, 3, 2040)}, 0.055613557782120196, 'baseline'), ({(5110, 3, 277)}, 0.04686693379892431, 'baseline'), ({(5110, 2, 31)}, 0.04651550479203957, 'baseline'), ({(5110, 3, 2031)}, 0.040761034002970375, 'baseline'), ({(5110, 2, 30)}, 0.03293375204242681, 'baseline'), ({(5110, 3, 5113)}, 0.028278390823241576, 'baseline')]",[5.240637],11,2,"[(25172, 3, 40), (5110, 3, 40), (11096, 11, 6729), (24053, 3, 40), (23335, 3, 40), (25172, 1, 65), (11096, 3, 40), (24053, 11, 6729), (23335, 11, 6729), (5110, 1, 65), (25172, 11, 6729)]",4.0,6.395771
5.603219,[2],"(7655, 11, 8038)","[([(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220)], 0.6907997, 'xrule'), ([(21168, 3, 39), (21168, 11, 8038), (7655, 3, 39)], 0.21819973, 'xrule'), ([(7655, 3, 40), (13114, 11, 8038), (13114, 3, 40)], 0.20129967, 'xrule'), ([(13114, 11, 8038), (7655, 3, 10), (13114, 3, 10)], 0.16380024, 'xrule'), ([(17655, 3, 479), (7655, 3, 479), (17655, 11, 8038)], 0.12829971, 'xrule'), ({(7655, 3, 479)}, 0.1103725834623326, 'baseline'), ({(7655, 3, 476)}, 0.08625320627085449, 'baseline'), ({(7655, 3, 10)}, 0.08316044047481516, 'baseline'), ({(7655, 3, 39)}, 0.0815363330738681, 'baseline'), ({(7655, 3, 220)}, 0.0788288517004274, 'baseline'), ({(7655, 3, 9)}, 0.07107834052060016, 'baseline'), ({(7655, 3, 40)}, 0.06691650577717562, 'baseline'), ({(7655, 8, 7427)}, 0.05792717170813237, 'baseline'), ({(7655, 3, 2132)}, 0.04555896948441655, 'baseline'), ({(7655, 2, 68)}, 0.042876283606244375, 'baseline')]",[5.603219],13,1,"[(7655, 3, 220), (7655, 3, 40), (13114, 3, 40), (7655, 3, 10), (7655, 3, 39), (17655, 11, 8038), (7655, 3, 479), (21168, 3, 39), (13114, 3, 10), (13114, 11, 8038), (21168, 11, 8038), (17655, 3, 479), (21168, 3, 220)]",2.0,6.992312
5.202075,[5],"(6812, 12, 13960)","[([(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960)], 1.1051002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 1870), (6812, 3, 1870)], 1.0924001, 'xrule'), ([(6812, 3, 9), (22481, 12, 13960), (22481, 3, 9)], 1.0916004, 'xrule'), ([(22481, 3, 78), (6812, 3, 78), (22481, 12, 13960)], 1.0879002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 7), (6812, 3, 7)], 1.0726004, 'xrule'), ({(6812, 3, 6815)}, 0.17612795093849096, 'baseline'), ({(6812, 3, 6818)}, 0.16803840851504565, 'baseline'), ({(6812, 3, 1870)}, 0.09618047907609478, 'baseline'), ({(6812, 3, 294)}, 0.09525207712468073, 'baseline'), ({(6812, 5, 6813)}, 0.07240537832274306, 'baseline'), ({(6812, 3, 1)}, 0.06690220067097985, 'baseline'), ({(6812, 3, 694)}, 0.06591943930942312, 'baseline'), ({(6812, 3, 6209)}, 0.05858234591554801, 'baseline'), ({(6812, 2, 1813)}, 0.039391557667473445, 'baseline'), ({(6812, 3, 6817)}, 0.007708589486935959, 'baseline')]",[5.202075],11,1,"[(22481, 3, 9), (22481, 3, 1870), (6812, 3, 78), (6812, 3, 7), (6812, 3, 10), (22481, 3, 78), (22481, 12, 13960), (22481, 3, 7), (22481, 3, 10), (6812, 3, 1870), (6812, 3, 9)]",5.0,7.1088166
3.6465068,[13],"(5218, 9, 11980)","[([(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083)], 0.56550026, 'xrule'), ([(5218, 3, 2085), (18965, 3, 2085), (18965, 9, 11980)], 0.559, 'xrule'), ([(18965, 2, 2082), (5218, 2, 2082), (18965, 9, 11980)], 0.48690033, 'xrule'), ([(18965, 3, 2084), (18965, 9, 11980), (5218, 3, 2084)], 0.45230007, 'xrule'), ([(5218, 3, 2092), (18965, 3, 2092), (18965, 9, 11980)], 0.4055004, 'xrule'), ({(5218, 2, 2083)}, 0.2247882294421074, 'baseline'), ({(5218, 3, 2085)}, 0.21927074663181895, 'baseline'), ({(5218, 3, 3675)}, 0.15321735588080188, 'baseline'), ({(5218, 2, 2082)}, 0.15197900978740295, 'baseline'), ({(5218, 3, 1728)}, 0.14636282174517862, 'baseline'), ({(5218, 3, 2084)}, 0.11508897982112408, 'baseline'), ({(5218, 3, 2092)}, 0.08952907757873821, 'baseline'), ({(5218, 3, 5229)}, 0.06257442660822508, 'baseline'), ({(5218, 3, 4026)}, 0.04602770036829964, 'baseline'), ({(5218, 3, 20)}, 0.04448703951038445, 'baseline')]",[3.6465068],11,1,"[(18965, 3, 2084), (18965, 2, 2082), (5218, 3, 2092), (18965, 9, 11980), (18965, 3, 2092), (5218, 3, 2085), (18965, 3, 2085), (18965, 2, 2083), (5218, 2, 2083), (5218, 3, 2084), (5218, 2, 2082)]",13.0,6.9315023
7.7441263,[1],"(7236, 9, 7903)","[([(14237, 9, 7903), (14237, 3, 418), (7236, 3, 418)], 0.26390076, 'xrule'), ([(14237, 9, 7903), (14237, 2, 1188), (7236, 2, 1188)], 0.2538004, 'xrule'), ([(16337, 2, 1188), (16337, 9, 7903), (7236, 2, 1188)], 0.24590015, 'xrule'), ([(7236, 4, 66), (16337, 4, 66), (16337, 9, 7903)], 0.23520088, 'xrule'), ([(14237, 3, 40), (7236, 3, 40), (14237, 9, 7903)], 0.22530079, 'xrule'), ({(7236, 2, 1188)}, 0.17445759034578104, 'baseline'), ({(7236, 3, 418)}, 0.17102531646122757, 'baseline'), ({(7236, 3, 40)}, 0.10138324932127188, 'baseline'), ({(7236, 3, 2218)}, 0.0681124133997483, 'baseline'), ({(7236, 3, 220)}, 0.058525125508016584, 'baseline'), ({(7236, 3, 39)}, 0.05754284094380733, 'baseline'), ({(7236, 3, 149)}, 0.05070308870728163, 'baseline'), ({(7236, 2, 31)}, 0.04908661078680662, 'baseline'), ({(7236, 3, 253)}, 0.047870676009502164, 'baseline'), ({(7236, 3, 88)}, 0.037344018875687675, 'baseline')]",[7.7441263],11,1,"[(16337, 4, 66), (16337, 2, 1188), (14237, 3, 418), (14237, 2, 1188), (14237, 9, 7903), (7236, 3, 40), (7236, 2, 1188), (14237, 3, 40), (7236, 4, 66), (7236, 3, 418), (16337, 9, 7903)]",1.0,8.511835
6.61666,[1],"(5756, 11, 7869)","[([(20946, 11, 7869), (20946, 2, 30), (5756, 2, 30)], 0.61310005, 'xrule'), ([(5756, 3, 75), (13995, 11, 7869), (13995, 3, 75)], 0.59959984, 'xrule'), ([(5756, 3, 6), (24457, 11, 7869), (24457, 3, 6)], 0.5937004, 'xrule'), ([(23399, 2, 30), (23399, 11, 7869), (5756, 2, 30)], 0.58650017, 'xrule'), ([(5756, 2, 31), (20946, 11, 7869), (20946, 2, 31)], 0.54730034, 'xrule'), ({(5756, 3, 6)}, 0.13857130254838712, 'baseline'), ({(5756, 4, 924)}, 0.117488901237601, 'baseline'), ({(5756, 3, 5760)}, 0.11396936615616325, 'baseline'), ({(5756, 2, 172)}, 0.09285072523251296, 'baseline'), ({(5756, 2, 30)}, 0.0869980259273495, 'baseline'), ({(5756, 3, 651)}, 0.08271364401723276, 'baseline'), ({(5756, 3, 462)}, 0.07322744561409303, 'baseline'), ({(5756, 3, 37)}, 0.05574468800713987, 'baseline'), ({(5756, 3, 1321)}, 0.03971342275357063, 'baseline'), ({(5756, 1, 864)}, 0.02256206697425102, 'baseline')]",[6.61666],13,2,"[(5756, 3, 75), (24457, 11, 7869), (20946, 2, 30), (24457, 3, 6), (20946, 11, 7869), (23399, 11, 7869), (13995, 3, 75), (5756, 3, 6), (23399, 2, 30), (5756, 2, 31), (20946, 2, 31), (13995, 11, 7869), (5756, 2, 30)]",1.0,6.1215763
6.197645,[1],"(6419, 9, 7991)","[([(6419, 3, 1823), (11461, 3, 1823), (11461, 9, 7991)], 0.35149956, 'xrule'), ([(16014, 9, 7991), (6419, 3, 1823), (16014, 3, 1823)], 0.3164997, 'xrule'), ([(11461, 9, 7991), (6419, 3, 733), (11461, 3, 733)], 0.3135996, 'xrule'), ([(11461, 9, 7991), (6419, 3, 756), (11461, 3, 756)], 0.31029987, 'xrule'), ([(6419, 4, 66), (11461, 4, 66), (11461, 9, 7991)], 0.30569935, 'xrule'), ({(6419, 3, 1823)}, 0.19016079168039682, 'baseline'), ({(6419, 3, 756)}, 0.15439991207663786, 'baseline'), ({(6419, 3, 506)}, 0.14960579126442958, 'baseline'), ({(6419, 3, 755)}, 0.11831096847282992, 'baseline'), ({(6419, 2, 729)}, 0.11750606734761859, 'baseline'), ({(6419, 3, 1348)}, 0.10318760112496023, 'baseline'), ({(6419, 3, 1)}, 0.09848598675543933, 'baseline'), ({(6419, 2, 1813)}, 0.06105236243535098, 'baseline'), ({(6419, 3, 6425)}, 0.03359798617780001, 'baseline'), ({(6419, 3, 20)}, 0.02981380648332318, 'baseline')]",[6.197645],11,1,"[(16014, 9, 7991), (11461, 3, 1823), (6419, 3, 733), (11461, 9, 7991), (11461, 3, 733), (11461, 4, 66), (6419, 4, 66), (6419, 3, 756), (6419, 3, 1823), (16014, 3, 1823), (11461, 3, 756)]",1.0,7.2348595
9.160532,[1],"(6323, 9, 8418)","[({(6323, 3, 2638)}, 0.1772795126660145, 'baseline'), ({(6323, 3, 111)}, 0.17308906769456092, 'baseline'), ([(14712, 9, 8418), (14712, 3, 111), (6323, 3, 111)], 0.13290024, 'xrule'), ([(13048, 9, 8418), (6323, 3, 111), (13048, 3, 111)], 0.13229942, 'xrule'), ({(6323, 2, 70)}, 0.13203911033085575, 'baseline'), ([(6323, 3, 111), (14580, 3, 111), (14580, 9, 8418)], 0.13070011, 'xrule'), ([(13048, 9, 8418), (6323, 3, 2638), (13048, 3, 2638)], 0.12879944, 'xrule'), ([(6323, 3, 111), (12131, 9, 8418), (12131, 3, 111)], 0.12809944, 'xrule'), ({(6323, 3, 85)}, 0.07080177498094781, 'baseline'), ({(6323, 3, 1878)}, 0.057924310673065575, 'baseline'), ({(6323, 3, 9)}, 0.048184434872167024, 'baseline'), ({(6323, 3, 78)}, 0.03573517035032439, 'baseline'), ({(6323, 3, 149)}, 0.02845386691764821, 'baseline'), ({(6323, 3, 39)}, 0.024344484303785188, 'baseline'), ({(6323, 3, 1902)}, 0.022673646877367466, 'baseline')]",[9.160532],13,1,"[(23769, 2, 70), (14712, 3, 111), (13048, 9, 8418), (6323, 3, 2638), (17052, 3, 111), (14712, 9, 8418), (6323, 3, 111), (13048, 3, 111), (23769, 9, 8418), (18264, 9, 8418), (18264, 3, 2638), (17052, 9, 8418), (6323, 2, 70)]",1.0,9.2064905
7.5077896,[1],"(6885, 9, 1470)","[([(6885, 2, 1166), (12340, 2, 1166), (12340, 9, 1470)], 0.21510029, 'xrule'), ([(6885, 3, 516), (12340, 3, 516), (12340, 9, 1470)], 0.2105999, 'xrule'), ([(6885, 2, 1166), (14626, 9, 1470), (14626, 2, 1166)], 0.19029999, 'xrule'), ({(6885, 2, 1166)}, 0.17881302096896173, 'baseline'), ([(6885, 3, 40), (12340, 3, 40), (12340, 9, 1470)], 0.17740059, 'xrule'), ([(25735, 2, 1166), (6885, 2, 1166), (25735, 9, 1470)], 0.17170048, 'xrule'), ({(6885, 3, 516)}, 0.1506872579373182, 'baseline'), ({(6885, 3, 1842)}, 0.13997272693711915, 'baseline'), ({(6885, 3, 40)}, 0.09344295695158823, 'baseline'), ({(6885, 4, 924)}, 0.09163765146527385, 'baseline'), ({(6885, 3, 2099)}, 0.09068588450301922, 'baseline'), ({(6885, 1, 65)}, 0.07740501592275208, 'baseline'), ({(6885, 3, 2185)}, 0.06098179054865005, 'baseline'), ({(6885, 3, 39)}, 0.06080917546717494, 'baseline'), ({(6885, 3, 10)}, 0.03864769168802852, 'baseline')]",[7.5077896],11,1,"[(6885, 2, 1166), (12340, 2, 1166), (24435, 9, 1470), (14626, 9, 1470), (6885, 3, 516), (12340, 3, 516), (6885, 3, 40), (12340, 3, 40), (24435, 2, 1166), (12340, 9, 1470), (14626, 2, 1166)]",1.0,9.047374
8.63695,[1],"(5770, 9, 1470)","[([(5770, 2, 1166), (14803, 9, 1470), (14803, 2, 1166)], 0.16839981, 'xrule'), ([(5770, 2, 1166), (25424, 9, 1470), (25424, 2, 1166)], 0.14150047, 'xrule'), ([(8628, 2, 1166), (5770, 2, 1166), (8628, 9, 1470)], 0.12930012, 'xrule'), ({(5770, 2, 789)}, 0.1259289189703128, 'baseline'), ([(5770, 2, 1166), (10961, 2, 1166), (10961, 9, 1470)], 0.125, 'xrule'), ([(5770, 2, 1166), (20277, 9, 1470), (20277, 2, 1166)], 0.12020016, 'xrule'), ({(5770, 3, 75)}, 0.0780067844508026, 'baseline'), ({(5770, 1, 65)}, 0.07632354925641203, 'baseline'), ({(5770, 3, 46)}, 0.06308750343328907, 'baseline'), ({(5770, 3, 517)}, 0.054085771560104835, 'baseline'), ({(5770, 3, 35)}, 0.05015377234356965, 'baseline'), ({(5770, 3, 40)}, 0.043863336513710896, 'baseline'), ({(5770, 3, 34)}, 0.03806690401588727, 'baseline'), ({(5770, 3, 7)}, 0.024101297306981188, 'baseline'), ({(5770, 2, 30)}, 0.02377418701755048, 'baseline')]",[8.63695],12,1,"[(8628, 2, 1166), (5770, 2, 789), (14803, 9, 1470), (10961, 9, 1470), (25424, 9, 1470), (13201, 9, 1470), (8628, 9, 1470), (14803, 2, 1166), (13201, 2, 789), (5770, 2, 1166), (10961, 2, 1166), (25424, 2, 1166)]",1.0,9.176466
