new_ranks,prediction,exp,original_score,exp_length,new_score,facts,new_rank,new_scores,original_rank
[1],"(7681, 48, 32)","[(7681, 17, 818), (1669, 222, 32), (12424, 48, 32), (7681, 102, 3044), (2797, 48, 32), (7681, 202, 1669), (7681, 17, 393), (7681, 39, 10717), (12424, 17, 818), (10717, 133, 32), (2797, 17, 393), (3044, 13, 32)]",0.9179816246032715,12,0.8234069347381592,"[({(7681, 17, 818)}, -9.0364288379615, 'baseline'), ({(7681, 17, 393)}, -9.544411229651633, 'baseline'), ({(7681, 102, 3044)}, -10.139030446646684, 'baseline'), ({(7681, 39, 10717)}, -10.463192138894957, 'baseline'), ({(7681, 202, 1669)}, -10.826116185278515, 'baseline'), ({(7681, 43, 141)}, -14.53533566034945, 'baseline')]",1.0,[0.8234069347381592],1
[1],"(9201, 48, 32)","[(8357, 48, 32), (9201, 77, 8357), (9201, 85, 1665), (32, 15, 9273), (8357, 53, 9201), (8357, 77, 9201), (1665, 161, 9273), (9201, 53, 8357)]",0.6412914395332336,8,0.7137588858604431,"[({(9201, 85, 1665)}, 9.94609384459371, 'baseline'), ({(8357, 77, 9201)}, 9.495929898958977, 'baseline'), ({(9201, 77, 8357)}, 9.309086508947981, 'baseline'), ({(9201, 53, 8357)}, 9.292769656981834, 'baseline'), ({(8357, 53, 9201)}, 9.227611474926132, 'baseline'), ({(9201, 45, 10937)}, 9.19303615997512, 'baseline'), ({(9201, 123, 8357)}, 9.169868937617117, 'baseline'), ({(9201, 17, 862)}, -9.738609417291093, 'baseline'), ({(9201, 224, 5949)}, -10.45307199102797, 'baseline'), ({(9201, 85, 434)}, -10.732418885649755, 'baseline')]",1.0,[0.7137588858604431],1
[2],"(2062, 43, 384)","[(2062, 6, 8452), (361, 8, 2062), (6906, 43, 384), (5469, 43, 384), (2062, 8, 266), (2062, 8, 1352), (266, 43, 384), (361, 192, 9525), (1352, 8, 5469), (8452, 1, 7073), (7073, 43, 384), (2062, 8, 6906), (9525, 43, 384)]",0.8457817435264587,13,0.8160489797592163,"[({(2062, 8, 266)}, 16.029999599791207, 'baseline'), ({(2062, 8, 6906)}, 13.552143812739704, 'baseline'), ({(2062, 6, 8452)}, -8.29192602600127, 'baseline'), ({(361, 8, 2062)}, -10.210354643772748, 'baseline'), ({(2062, 8, 1352)}, -10.666372464987782, 'baseline'), ({(2062, 8, 2228)}, -10.676651137294375, 'baseline'), ({(2062, 8, 1218)}, -11.085788323058924, 'baseline'), ({(2062, 8, 5846)}, -11.458424624416898, 'baseline'), ({(2062, 8, 2327)}, -12.018746054133187, 'baseline'), ({(2062, 8, 8955)}, -12.967675728975339, 'baseline')]",2.0,[0.8160489797592163],1
[1],"(409, 100, 160)","[(409, 8, 1440), (409, 8, 6036), (409, 6, 11452), (9747, 14, 160), (6036, 100, 160), (11452, 14, 160), (6036, 8, 409), (409, 8, 9033), (9033, 232, 160), (1440, 6, 9747)]",0.9844846725463867,10,0.9905080795288086,"[({(409, 8, 1440)}, -11.714319366662721, 'baseline'), ({(409, 8, 6036)}, -12.179230962518108, 'baseline'), ({(6036, 8, 409)}, -12.497681283284107, 'baseline'), ({(409, 8, 9033)}, -12.917874158516815, 'baseline'), ({(409, 6, 11452)}, -12.98052353628282, 'baseline'), ({(409, 6, 1810)}, -13.72221515893777, 'baseline'), ({(4171, 77, 409)}, -14.014791122896757, 'baseline'), ({(409, 6, 983)}, -14.483156763237837, 'baseline'), ({(409, 6, 426)}, -14.738246140869816, 'baseline'), ({(409, 6, 7056)}, -14.911824387347236, 'baseline')]",1.0,[0.9905080795288086],1
[1],"(7739, 48, 32)","[(8804, 48, 32), (3330, 151, 32), (920, 45, 7739), (5979, 28, 32), (3330, 71, 7739), (7739, 6, 5979), (7739, 45, 920), (7739, 45, 8804), (920, 48, 32)]",0.8271660208702087,9,0.8755767345428467,"[({(7739, 45, 920)}, -9.20908091425124, 'baseline'), ({(920, 45, 7739)}, -9.373753489839578, 'baseline'), ({(7739, 45, 8804)}, -9.770191434894194, 'baseline'), ({(3330, 71, 7739)}, -9.951913796796832, 'baseline'), ({(7739, 6, 5979)}, -9.99604529990963, 'baseline'), ({(7739, 123, 8084)}, -10.45100866166818, 'baseline'), ({(8804, 45, 7739)}, -10.719529825112973, 'baseline'), ({(9821, 45, 7739)}, -11.950254702431401, 'baseline'), ({(7739, 6, 2835)}, -12.14255709359507, 'baseline'), ({(6537, 45, 7739)}, -14.993090346594268, 'baseline')]",1.0,[0.8755767345428467],1
[1],"(8557, 25, 62)","[(8139, 15, 8557), (8139, 15, 11478), (11478, 25, 62)]",0.9874509572982788,3,0.9863735437393188,"[({(8139, 15, 8557)}, 13.002368750742718, 'baseline')]",1.0,[0.9863735437393188],1
[2],"(6678, 43, 384)","[(6912, 47, 10981), (3637, 47, 13024), (11288, 43, 384), (10981, 43, 384), (6678, 19, 1062), (3637, 47, 6678), (6678, 19, 5182), (6671, 43, 384), (12299, 19, 1062), (6678, 19, 601), (6671, 19, 601), (6912, 47, 6678), (12299, 43, 384), (13024, 43, 384), (5182, 47, 11288)]",0.9217239618301392,15,0.6436320543289185,"[({(6678, 19, 601)}, -7.629866606716617, 'baseline'), ({(6678, 19, 1062)}, -7.953801819440273, 'baseline'), ({(3637, 47, 6678)}, -7.960146060341271, 'baseline'), ({(6912, 47, 6678)}, -8.166580161973846, 'baseline'), ({(6678, 19, 5182)}, -8.55745302622137, 'baseline'), ({(6678, 85, 1665)}, -8.70942639793842, 'baseline'), ({(6678, 48, 158)}, -9.619827331940272, 'baseline'), ({(13513, 71, 6678)}, -10.506633931042643, 'baseline'), ({(6678, 17, 862)}, -10.91138085751365, 'baseline')]",2.0,[0.6436320543289185],1
[1],"(5361, 177, 1271)","[(5361, 19, 153), (1271, 92, 5659), (5659, 19, 153), (1271, 75, 570), (2556, 42, 5361), (1271, 9, 1834), (2750, 20, 5361), (2750, 20, 10356), (2556, 9, 1271), (1271, 92, 10356), (570, 42, 5361), (1834, 42, 5361)]",0.6285704970359802,12,0.4386482834815979,"[({(2750, 20, 5361)}, -7.058844819174918, 'baseline'), ({(5361, 19, 153)}, -7.193474474592331, 'baseline'), ({(1834, 42, 5361)}, -7.916967519049882, 'baseline'), ({(2556, 42, 5361)}, -8.027958813927949, 'baseline'), ({(570, 42, 5361)}, -8.044922706643142, 'baseline'), ({(2085, 42, 5361)}, -8.15499230418086, 'baseline'), ({(1756, 42, 5361)}, -8.34120229416853, 'baseline'), ({(5360, 76, 5361)}, -8.53649038169213, 'baseline'), ({(3117, 20, 5361)}, -8.53968695096977, 'baseline'), ({(124, 42, 5361)}, -8.685506936687204, 'baseline')]",1.0,[0.4386482834815979],1
[1],"(9774, 25, 62)","[(1184, 47, 9774), (9668, 25, 62), (9668, 19, 3086), (9774, 17, 243), (9774, 19, 9004), (12191, 17, 243), (5060, 25, 62), (5060, 19, 9004), (13930, 47, 9774), (10979, 25, 62), (13930, 47, 10979), (3086, 47, 9774), (12191, 25, 62), (10979, 19, 1184)]",0.9894706010818481,14,0.9906646013259888,"[({(3086, 47, 9774)}, -11.243402961716868, 'baseline'), ({(13930, 47, 9774)}, -11.797912266887716, 'baseline'), ({(9774, 17, 243)}, -11.915529931518211, 'baseline'), ({(1184, 47, 9774)}, -11.938070254175944, 'baseline'), ({(9774, 19, 9004)}, -11.961130375119524, 'baseline'), ({(9774, 24, 592)}, -12.580830420115161, 'baseline'), ({(9774, 19, 1184)}, -12.634254713589597, 'baseline'), ({(9774, 19, 8599)}, -13.400082197727048, 'baseline'), ({(9774, 43, 141)}, -13.79249739556116, 'baseline'), ({(9774, 85, 434)}, -14.53533566034945, 'baseline')]",1.0,[0.9906646013259888],1
[1],"(3039, 85, 434)","[(4311, 85, 434), (2380, 8, 3039), (1291, 85, 434), (3039, 8, 3607), (434, 161, 8745), (3039, 8, 1291), (4311, 8, 3039), (3607, 24, 8745), (3039, 8, 2380), (2380, 85, 434)]",0.988152801990509,10,0.9657757878303528,"[({(3039, 8, 1291)}, 16.81918131247045, 'baseline'), ({(4311, 8, 3039)}, 15.060224433833548, 'baseline'), ({(2380, 8, 3039)}, 15.060224433833548, 'baseline'), ({(3039, 8, 2380)}, 14.872132924629524, 'baseline'), ({(3039, 8, 3607)}, 14.577284870995431, 'baseline'), ({(3039, 17, 818)}, -12.128324958709001, 'baseline'), ({(6036, 8, 3039)}, -13.371002190336016, 'baseline'), ({(3039, 48, 32)}, -13.735881986560829, 'baseline'), ({(8871, 8, 3039)}, -14.316308601309064, 'baseline'), ({(1291, 8, 3039)}, -14.4198374789911, 'baseline')]",1.0,[0.9657757878303528],1
[2],"(4878, 39, 592)","[(4860, 39, 592), (6121, 39, 592), (6121, 8, 4878), (879, 71, 12703), (6121, 3, 4878), (7799, 66, 592), (879, 71, 4878), (12703, 24, 592), (4878, 19, 2099), (4853, 8, 4860), (4878, 8, 4853), (2099, 47, 7799)]",0.1647690385580063,12,0.046665165573358536,"[({(879, 71, 4878)}, -7.922876000910421, 'baseline'), ({(4878, 19, 2099)}, -8.422156242126919, 'baseline'), ({(4878, 8, 4853)}, -8.605536110752315, 'baseline'), ({(6121, 3, 4878)}, -8.625934125116885, 'baseline'), ({(6121, 8, 4878)}, -8.810870230449487, 'baseline'), ({(4878, 8, 4860)}, -9.384693760360797, 'baseline'), ({(4878, 3, 4860)}, -9.409119344919018, 'baseline'), ({(4853, 8, 4878)}, -9.869095603386453, 'baseline'), ({(4860, 3, 4878)}, -10.17532726118775, 'baseline'), ({(4860, 8, 4878)}, -10.367982060174718, 'baseline')]",2.0,[0.046665165573358536],1
[1],"(7614, 91, 494)","[(7614, 30, 4569), (3127, 2, 7614), (8550, 38, 7614), (2095, 19, 7570), (11535, 91, 494), (3127, 2, 11535), (7614, 136, 8550), (4569, 47, 8550), (8550, 110, 494), (7570, 7, 7614), (2095, 110, 494)]",0.9964919686317444,11,0.9935546517372131,"[({(7570, 7, 7614)}, -12.315805275685438, 'baseline'), ({(7614, 136, 8550)}, -12.356534454623587, 'baseline'), ({(3127, 2, 7614)}, -12.513767194577829, 'baseline'), ({(7614, 30, 4569)}, -12.538391884367126, 'baseline'), ({(8550, 38, 7614)}, -12.98052353628282, 'baseline'), ({(4491, 103, 7614)}, -13.082534321635253, 'baseline'), ({(261, 7, 7614)}, -13.133951670085212, 'baseline'), ({(4569, 7, 7614)}, -13.492768770630098, 'baseline'), ({(7614, 14, 160)}, -14.816194269272193, 'baseline'), ({(7614, 11, 23)}, -15.861832218425489, 'baseline')]",1.0,[0.9935546517372131],1
[1],"(13452, 212, 4563)","[(10651, 85, 434), (13452, 85, 434), (5969, 212, 4563), (12312, 212, 4563), (2283, 212, 4563), (3387, 215, 13452), (10651, 212, 4563), (4055, 50, 2283), (12312, 25, 62), (3387, 215, 5969), (4055, 50, 13452), (9285, 48, 32), (13452, 25, 62), (13452, 48, 32), (9285, 212, 4563)]",0.9722623825073242,15,0.9123451709747314,"[({(13452, 25, 62)}, 15.292085790158758, 'baseline'), ({(13452, 85, 434)}, 14.577284870995431, 'baseline'), ({(13452, 48, 32)}, 13.507357932984833, 'baseline'), ({(3387, 215, 13452)}, 11.53667966500109, 'baseline'), ({(4055, 50, 13452)}, -11.287613679582488, 'baseline'), ({(13452, 82, 1771)}, -12.214667457300756, 'baseline'), ({(13452, 39, 1327)}, -12.825145814006774, 'baseline')]",1.0,[0.9123451709747314],1
[1],"(7417, 33, 90)","[(7417, 58, 10419), (9985, 33, 90), (32, 206, 90), (12058, 58, 10419), (7417, 133, 32), (961, 144, 7417), (961, 15, 9985), (32, 15, 7417), (32, 87, 7417), (12058, 33, 90)]",0.9863195419311523,10,0.9812626242637634,"[({(7417, 58, 10419)}, 11.616045708972806, 'baseline'), ({(32, 87, 7417)}, -10.663819219711874, 'baseline'), ({(32, 15, 7417)}, -10.88558645794536, 'baseline'), ({(961, 144, 7417)}, -11.63717827450689, 'baseline'), ({(7417, 133, 32)}, -11.889135515313628, 'baseline'), ({(961, 15, 7417)}, -12.30258935777889, 'baseline'), ({(434, 161, 7417)}, -13.409966539811913, 'baseline'), ({(7417, 120, 791)}, -13.984561669932072, 'baseline'), ({(7417, 194, 961)}, -14.136740777924341, 'baseline'), ({(7417, 25, 62)}, -14.53533566034945, 'baseline')]",1.0,[0.9812626242637634],1
[1],"(4550, 60, 90)","[(7972, 77, 6860), (4550, 8, 3289), (3289, 60, 90), (6860, 45, 4550), (32, 206, 90), (2458, 175, 4550), (2458, 8, 3289), (7972, 60, 90), (4550, 48, 32), (3289, 8, 4550)]",0.9950908422470093,10,0.996978759765625,"[({(4550, 8, 3289)}, -13.79249739556116, 'baseline'), ({(3289, 8, 4550)}, -13.79249739556116, 'baseline'), ({(2458, 175, 4550)}, -14.020490854254755, 'baseline'), ({(4550, 48, 32)}, -14.316308601309064, 'baseline'), ({(6860, 45, 4550)}, -14.59038780241949, 'baseline'), ({(2458, 45, 4550)}, -14.993090346594268, 'baseline'), ({(4550, 25, 62)}, -15.861832218425489, 'baseline'), ({(3289, 192, 4550)}, -16.12404353414929, 'baseline'), ({(4550, 66, 5384)}, -16.20195133940596, 'baseline'), ({(4550, 17, 131)}, -16.48043446694949, 'baseline')]",1.0,[0.996978759765625],1
[1],"(5912, 100, 1672)","[(12026, 82, 363), (10039, 214, 1672), (13176, 100, 1672), (1672, 70, 1928), (5912, 82, 363), (13704, 100, 1672), (5912, 48, 1928), (10039, 214, 8832), (13704, 39, 7132), (4418, 47, 5912), (5912, 100, 8832), (5912, 66, 7132), (12026, 100, 1672), (13176, 19, 4418)]",0.902134120464325,14,0.33384987711906433,"[({(5912, 100, 8832)}, -7.170893045400713, 'baseline'), ({(5912, 66, 7132)}, -7.212601516964158, 'baseline'), ({(4418, 47, 5912)}, -8.305828022598691, 'baseline'), ({(5912, 48, 1928)}, -8.570339070771261, 'baseline'), ({(5912, 82, 363)}, -8.594846363350749, 'baseline'), ({(5912, 24, 11927)}, -8.718454587544954, 'baseline'), ({(5912, 39, 11927)}, -9.021201612416217, 'baseline'), ({(5912, 19, 4418)}, -9.293847771641909, 'baseline'), ({(5912, 17, 215)}, -10.074222242822156, 'baseline')]",1.0,[0.33384987711906433],1
[1],"(1504, 14, 5334)","[(3301, 38, 9959), (3301, 6, 1504), (4745, 14, 5334), (1504, 31, 658), (1504, 28, 382), (637, 221, 5334), (9959, 14, 5334), (8456, 14, 5334), (1504, 13, 637), (4019, 6, 4745), (382, 15, 11471), (11471, 221, 5334), (8456, 31, 658), (4019, 6, 1504)]",0.5538073182106018,14,0.3576938807964325,"[({(1504, 28, 382)}, -7.803095525001622, 'baseline'), ({(1504, 31, 658)}, -9.24206912735831, 'baseline'), ({(4019, 6, 1504)}, -9.506827516427762, 'baseline'), ({(3301, 6, 1504)}, -9.518117266046053, 'baseline'), ({(1504, 13, 637)}, -10.534810687365587, 'baseline'), ({(1504, 26, 1098)}, -10.611653967954057, 'baseline'), ({(1504, 13, 853)}, -10.958186719268374, 'baseline'), ({(1504, 14, 160)}, -11.062724901540678, 'baseline'), ({(4019, 38, 1504)}, -11.234339381759307, 'baseline'), ({(4346, 230, 1504)}, -11.995088765051577, 'baseline')]",1.0,[0.3576938807964325],1
[1],"(7494, 67, 259)","[(3565, 67, 259), (10800, 67, 259), (12298, 67, 259), (403, 30, 12403), (12403, 67, 259), (7494, 7, 7455), (8215, 30, 12298), (7455, 30, 7494), (10800, 7, 7455), (403, 30, 7494), (7494, 67, 6480), (3565, 67, 6480), (8215, 30, 7494)]",0.8372358083724976,13,0.9605644345283508,"[({(403, 30, 7494)}, 10.858380321129117, 'baseline'), ({(7494, 67, 6480)}, -7.730168711893586, 'baseline'), ({(7455, 30, 7494)}, -8.571282744486327, 'baseline'), ({(8215, 30, 7494)}, -9.002442484577637, 'baseline'), ({(7494, 7, 7455)}, -9.501230074574792, 'baseline'), ({(7494, 7, 3493)}, -9.58649727889349, 'baseline'), ({(7494, 7, 1581)}, -10.024229857135959, 'baseline'), ({(7494, 7, 8215)}, -11.35146557962228, 'baseline'), ({(2053, 19, 7494)}, -14.683530048267576, 'baseline')]",1.0,[0.9605644345283508],1
[1],"(805, 115, 747)","[(4530, 116, 3645), (4530, 115, 747), (805, 86, 2317), (2176, 115, 747), (1992, 115, 747), (805, 30, 3624), (805, 31, 4488), (805, 155, 350), (4341, 155, 350), (2176, 31, 4488), (805, 116, 3645), (8932, 115, 747), (3624, 7, 1992), (4341, 115, 747), (2317, 32, 8932)]",0.9535616040229797,15,0.866682767868042,"[({(805, 30, 3624)}, -9.723558088547648, 'baseline'), ({(805, 86, 2317)}, -9.968315252852852, 'baseline'), ({(805, 116, 3645)}, -10.459287645234191, 'baseline'), ({(805, 155, 350)}, -11.437478919258094, 'baseline'), ({(805, 31, 4488)}, -11.924485186195275, 'baseline'), ({(559, 7, 805)}, -11.942639933498826, 'baseline'), ({(4651, 6, 805)}, -11.989523331348323, 'baseline'), ({(502, 7, 805)}, -12.589538610141421, 'baseline'), ({(5009, 6, 805)}, -13.020088072059417, 'baseline'), ({(805, 12, 5387)}, -16.48043446694949, 'baseline')]",1.0,[0.866682767868042],1
[1],"(2600, 23, 57)","[(449, 58, 2600), (236, 44, 57), (8089, 13, 2600), (971, 13, 2600), (3481, 13, 1280), (57, 150, 449), (1280, 23, 57), (4468, 23, 57), (7429, 23, 57), (236, 37, 2600), (3481, 13, 2600), (971, 13, 7429), (8089, 13, 4468)]",0.9564436674118042,13,0.8666863441467285,"[({(8089, 13, 2600)}, -9.226195854059554, 'baseline'), ({(449, 58, 2600)}, -9.433038512474058, 'baseline'), ({(971, 13, 2600)}, -9.461367663815464, 'baseline'), ({(236, 37, 2600)}, -9.50362514333263, 'baseline'), ({(3481, 13, 2600)}, -9.598289460026113, 'baseline'), ({(5223, 13, 2600)}, -9.635891462032253, 'baseline'), ({(6481, 13, 2600)}, -9.70285966847635, 'baseline'), ({(2600, 58, 449)}, -9.721071409691136, 'baseline'), ({(2769, 29, 2600)}, -9.776734327681348, 'baseline'), ({(1705, 58, 2600)}, -9.855935595226109, 'baseline')]",1.0,[0.8666863441467285],1
