exp,original_score,new_ranks,exp_length,new_rank,new_score,prediction,original_rank,facts,new_scores
"[(3249, 34, 90), (3249, 13, 32), (644, 31, 1211), (9986, 34, 90), (742, 129, 90), (9986, 155, 6631), (5818, 13, 32), (5818, 31, 1211), (3249, 28, 32), (5818, 86, 742), (6631, 38, 5818), (644, 34, 90), (742, 32, 5818)]",0.9906631708145142,[1],13,1.0,0.9943875670433044,"(5818, 34, 90)",1,"[({(6631, 38, 5818)}, 0.030067603062454783, 'baseline'), ([(5818, 13, 32), (3249, 13, 32), (3249, 34, 90), (3249, 28, 32)], 0.02760002, 'xrule'), ({(5818, 86, 742)}, 0.010120372239013494, 'baseline'), ({(742, 32, 5818)}, 0.008056263367892435, 'baseline'), ({(5818, 31, 1211)}, 0.005150298516928032, 'baseline'), ({(1616, 103, 5818)}, 0.005133430407379251, 'baseline'), ({(2477, 173, 5818)}, 0.0026733679434034797, 'baseline'), ({(5818, 31, 147)}, 0.002207021204839412, 'baseline'), ({(5818, 223, 4624)}, 0.0018724007294955273, 'baseline'), ({(5818, 14, 6473)}, 0.0018477243852142347, 'baseline'), ({(9377, 38, 5818)}, 0.001123349137152744, 'baseline'), ([(3249, 34, 90), (5818, 11, 23), (3249, 11, 23)], -0.062000006, 'xrule'), ([(226, 219, 90), (5818, 13, 32), (226, 62, 32), (226, 135, 32), (226, 133, 32), (32, 15, 226)], -0.08249998, 'xrule'), ([(5818, 13, 32), (5688, 28, 32), (5688, 13, 32), (5688, 34, 90)], -0.0828, 'xrule'), ([(10555, 208, 90), (10555, 108, 90), (5818, 13, 32), (10555, 16, 32), (32, 15, 10555), (10555, 166, 90), (10555, 128, 90), (10555, 129, 90)], -0.109699994, 'xrule')]",[0.9943875670433044]
"[(13860, 43, 141), (7681, 17, 818), (14350, 48, 32), (14350, 43, 141), (1669, 222, 32), (7337, 48, 32), (7681, 17, 393), (13860, 48, 32), (7681, 202, 1669), (7681, 43, 141), (9934, 17, 818), (7337, 17, 393), (9934, 48, 32)]",0.9179816246032715,[1],13,1.0,0.7690516114234924,"(7681, 48, 32)",1,"[({(7681, 43, 141)}, 0.10364649728114185, 'baseline'), ([(13860, 43, 141), (7681, 43, 141), (13860, 48, 32)], 0.08709997, 'xrule'), ({(7681, 202, 1669)}, 0.04546872801685037, 'baseline'), ([(7681, 17, 818), (9934, 48, 32), (9934, 17, 818)], 0.032999992, 'xrule'), ([(7337, 17, 393), (7337, 48, 32), (7681, 17, 393)], 0.031199992, 'xrule'), ([(12406, 43, 141), (7681, 43, 141), (12406, 48, 32)], 0.010199964, 'xrule'), ({(7681, 102, 3044)}, 0.004641990142244452, 'baseline'), ({(7681, 17, 818)}, 0.002894381929006161, 'baseline'), ([(7681, 17, 818), (12406, 17, 818), (12406, 48, 32)], 0.0020999908, 'xrule'), ({(7681, 39, 10717)}, -0.005451818042843028, 'baseline'), ({(7681, 17, 393)}, -0.009692569288075626, 'baseline')]",[0.7690516114234924]
"[(8357, 192, 9201), (8357, 48, 32), (9201, 77, 8357), (8290, 48, 32), (10937, 48, 32), (9201, 45, 10937), (9201, 77, 8290), (9201, 53, 8357)]",0.6412914395332336,[1],8,1.0,0.6787105202674866,"(9201, 48, 32)",1,"[({(9201, 53, 8357)}, 0.17818532446765156, 'baseline'), ({(9201, 77, 8290)}, 0.16338793489580555, 'baseline'), ({(8357, 192, 9201)}, 0.04024122188214292, 'baseline'), ({(9201, 45, 10937)}, 0.03159884636486222, 'baseline'), ({(9201, 77, 8357)}, 0.031454960802338845, 'baseline'), ({(9201, 224, 5949)}, 0.01850460000307416, 'baseline'), ([(9201, 85, 434), (3261, 48, 32), (3261, 85, 434)], 0.016900003, 'xrule'), ({(9201, 85, 434)}, 0.015800158442038626, 'baseline'), ([(9201, 85, 434), (8914, 48, 32), (8914, 85, 434)], 0.0065999925, 'xrule'), ([(4677, 48, 32), (4677, 85, 1665), (9201, 85, 1665)], 0.004799992, 'xrule'), ([(9201, 85, 434), (10615, 48, 32), (10615, 85, 434)], 0.0045000017, 'xrule'), ([(2781, 48, 32), (2781, 85, 1665), (9201, 85, 1665)], 0.0019999743, 'xrule'), ({(9201, 123, 8357)}, -0.004265029965730961, 'baseline'), ({(8357, 123, 9201)}, -0.010592480264880178, 'baseline'), ({(8357, 53, 9201)}, -0.012204905073892812, 'baseline')]",[0.6787105202674866]
"[(1039, 8, 2788), (360, 8, 2062), (2788, 8, 1039), (2062, 8, 1218), (360, 43, 384), (8285, 8, 2062), (2062, 8, 1352), (2062, 8, 8285), (1218, 43, 384), (1352, 8, 2788), (2788, 8, 8285), (2062, 8, 1039), (2788, 43, 384)]",0.8457817435264587,[2],13,2.0,0.7918274998664856,"(2062, 43, 384)",1,"[([(2062, 8, 8285), (8285, 8, 2062), (2788, 8, 8285), (2788, 43, 384)], 0.18809998, 'xrule'), ([(1039, 8, 2788), (2788, 8, 1039), (2062, 8, 1039), (2788, 43, 384)], 0.045699984, 'xrule'), ([(1352, 8, 2788), (2062, 8, 1352), (2788, 43, 384)], -0.0099000335, 'xrule'), ({(360, 8, 2062)}, -0.018223454288803988, 'baseline'), ({(2062, 8, 1218)}, -0.019670059036883385, 'baseline'), ([(2062, 8, 2228), (2228, 8, 2788), (2788, 43, 384), (2788, 8, 2228)], -0.0431, 'xrule'), ([(2062, 8, 2788), (2788, 43, 384)], -0.046900034, 'xrule'), ({(6906, 8, 2062)}, -0.2300082337629706, 'baseline'), ({(5181, 8, 2062)}, -0.24526568168634144, 'baseline'), ({(2062, 8, 1352)}, -0.3561532680457705, 'baseline'), ({(5469, 8, 2062)}, -0.37387611299920487, 'baseline'), ({(2062, 8, 2327)}, -0.4199954449675561, 'baseline'), ({(2062, 8, 5846)}, -0.4346616444868146, 'baseline'), ({(2062, 8, 5181)}, -0.480890589312324, 'baseline'), ({(2062, 8, 5469)}, -0.48407615953930283, 'baseline')]",[0.7918274998664856]
"[(409, 6, 7056), (409, 19, 2248), (7337, 19, 2248), (409, 8, 1440), (409, 6, 2729), (7337, 100, 160), (2729, 14, 160), (9747, 14, 160), (7056, 13, 158), (160, 70, 158), (5653, 14, 160), (5653, 153, 409), (1440, 6, 9747)]",0.9844846725463867,[1],13,1.0,0.9366734623908997,"(409, 100, 160)",1,"[([(409, 6, 7056), (7056, 13, 158), (160, 70, 158)], 0.07889998, 'xrule'), ({(409, 8, 1440)}, 0.05022291371344033, 'baseline'), ({(5653, 153, 409)}, 0.030749539802816923, 'baseline'), ({(409, 6, 2729)}, 0.025805692152985008, 'baseline'), ({(409, 19, 2248)}, 0.022102813203524238, 'baseline'), ({(409, 38, 2729)}, 0.020806590981772816, 'baseline'), ({(409, 66, 6680)}, 0.0179252428787286, 'baseline'), ({(6036, 8, 409)}, 0.01648185675763754, 'baseline'), ({(409, 8, 6036)}, 0.015384058446800627, 'baseline'), ({(409, 6, 3892)}, 0.013927440090179646, 'baseline'), ({(409, 6, 1810)}, 0.006855885471524032, 'baseline')]",[0.9366734623908997]
"[(3142, 48, 32), (3142, 45, 7739), (8804, 48, 32), (7739, 45, 3142), (6537, 48, 32), (6537, 45, 7739), (8804, 45, 7739), (7849, 13, 32), (7739, 6, 7849)]",0.8271660208702087,[1],9,1.0,0.9552153944969177,"(7739, 48, 32)",1,"[({(3142, 45, 7739)}, 0.47315896807470575, 'baseline'), ({(7739, 6, 7849)}, 0.08877370788396098, 'baseline'), ({(6537, 45, 7739)}, 0.04209385343385071, 'baseline'), ({(8804, 45, 7739)}, 0.023510436514704452, 'baseline'), ({(7739, 45, 3142)}, 0.023348431036513642, 'baseline'), ({(920, 45, 7739)}, 0.010217289393897027, 'baseline'), ({(7739, 45, 6537)}, -0.0014866190327394609, 'baseline'), ({(7739, 45, 8804)}, -0.004685361931288467, 'baseline'), ({(7739, 45, 920)}, -0.008003492884385672, 'baseline'), ({(7739, 6, 2835)}, -0.011609931545416546, 'baseline')]",[0.9552153944969177]
"[(4623, 25, 62), (4623, 66, 8139), (7670, 160, 8139), (8139, 23, 57), (4623, 48, 8139), (8139, 15, 8557), (7670, 25, 62), (57, 25, 62), (8139, 15, 11478), (11478, 25, 62)]",0.9874509572982788,[1],10,1.0,0.9852226376533508,"(8557, 25, 62)",1,"[({(8139, 15, 8557)}, 0.004118244116474668, 'baseline'), ([(8139, 15, 8557), (7670, 25, 62), (7670, 160, 8139)], -0.4666, 'xrule'), ([(8139, 15, 8557), (8139, 15, 11478), (11478, 25, 62)], -0.49589998, 'xrule'), ([(8139, 15, 8557), (57, 25, 62), (8139, 23, 57)], -0.49799997, 'xrule'), ([(8139, 15, 8557), (4623, 25, 62), (4623, 66, 8139), (4623, 48, 8139)], -0.4992, 'xrule'), ([(8139, 15, 8557), (8139, 206, 90), (8139, 139, 90), (8139, 234, 90), (90, 25, 62)], -0.5003, 'xrule')]",[0.9852226376533508]
"[(4967, 43, 384), (1062, 47, 4967), (11288, 43, 384), (6678, 19, 1062), (12873, 43, 384), (6678, 19, 5182), (4130, 77, 6678), (13721, 43, 384), (5182, 47, 11288), (11071, 43, 384), (6678, 85, 1665), (12873, 24, 9277), (6678, 24, 9277), (13721, 85, 1665), (4130, 164, 11071)]",0.9217239618301392,[2],15,2.0,0.5795029997825623,"(6678, 43, 384)",1,"[({(6678, 19, 5182)}, 0.19905201659500385, 'baseline'), ({(4130, 77, 6678)}, 0.10849807698623036, 'baseline'), ({(6678, 85, 1665)}, 0.08608506159033744, 'baseline'), ([(6678, 19, 1062), (4967, 43, 384), (1062, 47, 4967)], 0.07369995, 'xrule'), ({(6678, 24, 9277)}, 0.04913316201484847, 'baseline'), ({(6678, 19, 601)}, 0.024758498152366984, 'baseline'), ([(6678, 19, 1062), (3860, 19, 1062), (3860, 43, 384)], 0.022799969, 'xrule'), ([(4269, 77, 4130), (4130, 164, 4269), (4269, 43, 384), (4269, 164, 4130), (4130, 77, 4269), (4130, 77, 6678)], 0.017099977, 'xrule'), ([(3496, 43, 384), (6678, 19, 5182), (3496, 19, 5182)], 0.0058999658, 'xrule'), ({(6678, 17, 393)}, -0.09203447863051387, 'baseline'), ({(6678, 209, 3173)}, -0.11597331323313466, 'baseline'), ({(6678, 48, 158)}, -0.1914936496484149, 'baseline')]",[0.5795029997825623]
"[(1271, 92, 4389), (10615, 134, 1271), (1374, 20, 5361), (3117, 20, 5361), (1756, 42, 5361), (1374, 20, 7884), (5361, 85, 434), (1271, 9, 1756), (10615, 85, 434), (1271, 92, 7884), (2028, 20, 7884), (3117, 20, 4389), (2028, 20, 5361)]",0.6285704970359802,[2],13,2.0,0.6343699097633362,"(5361, 177, 1271)",1,"[({(2028, 20, 5361)}, 0.3014387897307866, 'baseline'), ({(1756, 42, 5361)}, 0.25707326425466187, 'baseline'), ({(5361, 85, 434)}, 0.25136012921997974, 'baseline'), ({(3117, 20, 5361)}, 0.23431866946121885, 'baseline'), ({(1374, 20, 5361)}, 0.2048388229546681, 'baseline'), ({(2085, 42, 5361)}, 0.1841954098206884, 'baseline'), ({(570, 42, 5361)}, 0.15714375229274707, 'baseline'), ({(5361, 19, 153)}, 0.14217765180876146, 'baseline'), ({(138, 42, 5361)}, 0.14081449358184514, 'baseline'), ({(5361, 41, 138)}, -0.2767506728395895, 'baseline')]",[0.6343699097633362]
"[(3140, 25, 62), (9668, 25, 62), (9668, 19, 3086), (9774, 19, 1184), (9774, 19, 8599), (3140, 85, 434), (3140, 43, 141), (9774, 85, 434), (8599, 47, 9668), (10979, 25, 62), (3086, 47, 9774), (9774, 43, 141), (10979, 19, 1184)]",0.9894706010818481,[1],13,1.0,0.9853752851486206,"(9774, 25, 62)",1,"[([(3140, 43, 141), (3140, 25, 62), (9774, 43, 141)], 0.026700005, 'xrule'), ({(3086, 47, 9774)}, 0.023099104836035014, 'baseline'), ([(9774, 85, 434), (3140, 25, 62), (3140, 85, 434)], 0.014000006, 'xrule'), ({(9774, 19, 8599)}, 0.010461131993250501, 'baseline'), ({(9774, 19, 1184)}, 0.007464448899439322, 'baseline'), ({(9774, 66, 2607)}, 0.005233983478335113, 'baseline'), ([(6669, 43, 141), (6669, 25, 62), (9774, 43, 141)], 0.00500001, 'xrule'), ({(9774, 43, 141)}, 0.004113892958976817, 'baseline'), ({(9774, 17, 243)}, 0.002522925798865517, 'baseline'), ({(9774, 85, 434)}, 0.002359489852132276, 'baseline'), ({(9774, 19, 9004)}, 0.002315680436581427, 'baseline'), ({(9774, 24, 592)}, 0.0018424195673142731, 'baseline'), ([(6773, 43, 141), (6773, 25, 62), (9774, 43, 141)], -0.0011999905, 'xrule'), ([(2008, 43, 141), (2008, 25, 62), (9774, 43, 141)], -0.005799994, 'xrule')]",[0.9853752851486206]
